0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 29,March 31,April 30,May 31,June 30,Total,Accrued,,Estimated Revenues
REVENUES Real Estate Tax,10.2,7.1,8.6,8.3,6.9,11.2,48.5,321.7,112.1,24.0,13.6,8.9,581.2,(7.8),,573.4
"Total Wage, Earnings, Net Profits",125.5,102.5,102.0,110.0,122.4,98.0,132.0,122.1,133.4,124.2,125.6,99.4,1397.0,5.3,,1402.3
Realty Transfer Tax,25.0,23.2,18.6,20.1,20.0,14.4,18.9,18.1,21.9,16.2,17.5,21.2,235.1,2.4,,237.5
Sales Tax,15.1,27.0,11.7,11.0,13.1,10.0,12.4,13.7,9.6,11.0,12.5,11.9,158.9,8.7,,167.6
Business Income & Receipts Tax,5.3,3.8,18.2,22.2,5.8,8.9,5.6,13.6,58.0,241.9,105.8,10.2,499.3,(44.1),,455.2
Other Taxes,9.8,12.1,8.8,8.2,9.4,8.7,8.9,9.4,9.0,11.6,10.3,9.2,115.5,(0.1),,115.4
Locally Generated Non-tax,"22,9",29.2,25.2,21.2,22.6,24.4,29.1,18.2,26.8,25.8,28.6,18.3,292.2,0.4,,292.6
Total Other Governments,11.8,59.8,69.6,13.7,56.3,6.3,7.8,18.1,16.0,8.6,13.8,19.3,301.2,8.2,,309.4
Total PICA Other Governments,25.7,28.8,27.4,30.8,30.8,25.6,15.9,50.1,32.6,43.7,37.5,31.7,380.5,(10.2),,370.3
Interfund Transfers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4,17.4,45.0,,62.4
Total Current Revenue,251.3,293.4,290.2,245.5,287.4,207.5,279.0,584.9,419.4,506.8,365.2,247.5,3978.3,53.2,,3986.2
Collection of prior year(s) revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Other fund balance adjustments,,,,,,,,,,,,,,,,
TOTAL CASH RECEIPTS,251.3,293.4,290.2,245.5,287.4,207.5,279.0,584.9,419.4,506.8,365.2,247.5,3978.3,,,
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 29,March 31,April 30,May 31,June 30,Total,Vouchers Payable,Encum- brances,Estimated Obligations
EXPENSES AND OBLIGATIONS,,,,,,,,,,,,,,,,
Payroll,81.1,118.2,170.6,125.0,112.8,124.0,122.3,114.9,157.5,108.9,108.1,128.2,1471.6,90.7,3.4,1565.7
Employee Benefits,49.6,42.0,44.0,47.8,31.9,47.5,40.8,37.3,54.7,69.1,42.6,48.4,555.7,2.9,0.9,559.5
Pension,3.7,(7.9),(6.5),67.8,(6.6),(1.1),(7.2),(5.6),575.9,(2.9),(3.1),(2.6),603.9,15.2,,619.1
Purchase of Services,44.4,32.0,77.9,68.1,55.6,75.4,50.6,48.2,83.4,41.6,77.0,63.9,718.0,2.9,121.9,842.8
"Materials, Equipment",3.1,3.0,7.6,7.5,5.7,8.2,3.1,6.1,6.4,5.3,6.2,6.2,68.4,"0,5",30.9,99.7
"Contributions, Indemnities",14.2,5.8,10.4,39.0,14.6,3.4,3.0,4.0,14.4,6.0,3.5,74.3,192.7,0.4,0.0,193.1
Debt Service-Short Term,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,,1.5
Debt Service-Long Term,77.4,0.9,0.1,0.0,13.0,8.9,23.0,0.5,0.0,(0.0),8.0,0.1,131.8,5.1,,136.9
Interfund Charges,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,"0,0",0.0,0.8,32.0,,32.7
Advances & Misc. Pmts. / Labor Obligations,0.0,0.0,0.0,"0,0",0.0,0.0,0.0,0.0,"0,0",0.0,0.0,0.0,0.0,,,0.0
Current Year Appropriation,273.7,194.1,304.2,355.2,227.1,266.1,235.5,206.0,892.4,"227,9",242.4,318.3,3742.9,151.2,157.0,4051.1
,,,,,,,,,,,,,,,,
Prior Yr. Expenditures against Encumbrances,27.9,21.2,10.9,7.5,7.6,2.6,13.8,1.2,5.0,1.4,0.2,1.1,100.3,,,
Prior Yr. Salaries & Vouchers Payable,73.9,7.1,(25.0),3.4,8.3,(4.3),23.1,(5.4),(27.9),36.6,(29.4),27.6,88.1,,,
TOTAL DISBURSEMENTS,375.5,222.4,290.2,366.1,242.9,264.5,272.5,201.7,869.4,265.9,213.2,347.1,3931.3,,,
,,,,,,,,,,,,,,,,
Excess (Def) of Receipts over Disbursements,(124.2),71.0,0.0,(120.6),44.5,(56.9),6.6,383.2,(450.0),240.9,152.0,(99.5),,,,
Opening Balance,400.4,276.2,522.2,522.3,401.7,446.1,389.2,395.8,779.0,329.0,569.9,546.9,,,,
TRAN,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(175.0),0.0,,,,
,,,,,,,,,,,,,,,,
CLOSING BALANCE,276.2,522.2,522.3,401.7,446.1,389.2,395.8,779.0,329.0,569.9,546.9,447.4,,,,
