0,1,2,3,4,5,6,7,8,9,10,11,12
Projection,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Amounts in Dec 31,Millions Jan 31,Feb 28,March 31,April 30,May 31,June 30
General,648.0,552.1,472.5,313.2,270.1,190.2,166.4,158.7,164.9,490.5,523.9,829.2
Grants Revenue,658.1,730.6,701.8,711.1,640.1,587.7,652.3,759.7,519.7,644.7,1291.3,849.2
Community Development,(7.2),(7.1),(6.1),(4.5),(4.2),(6.5),(8.1),(4.9),(3.8),1.4,2.0,(6.7)
Vehicle Rental Tax,6.0,6.6,2.2,2.7,3.2,3.7,4.1,4.5,4.9,5.3,5.7,6.2
Hospital Assessment Fund,14.8,17.6,"27,7",15.3,15.0,32.1,17.2,16.2,22.5,17.2,43.7,19.2
Housing Trust Fund,65.8,56.8,54.7,52.6,50.5,48.4,46.3,44.2,42.1,40.0,37.9,35.8
Budget Stabilization Fund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Funds,9.4,9.5,8.8,8.7,9.0,8.9,8.9,8.8,8.8,8.7,8.4,8.1
TOTAL OPERATING FUNDS,1394.8,1366.0,1261.6,1099.2,983.8,864.5,887.1,987.2,759.0,1207.9,1912.8,1741.0
Capital Improvement,119.9,466.1,451.1,451.9,436.9,421.9,406.9,391.9,376.9,361.9,346.9,331.9
Industrial & Commercial Dev.,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2
TOTAL CAPITAL FUNDS,130.1,476.3,461.3,462.1,447.1,432.1,417.1,402.1,387.1,372.1,357.1,342.1
,,,,,,,,,,,,
TOTAL FUND EQUITY,1524.9,1842.3,1722.9,1561.3,1430.9,1296.6,1304.2,1389.3,1146.1,1580.1,2269.9,2083.2
