0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30
General,409.9,351.5,333.4,259.1,400.9,322.1,365.3,672.1,363.6,408.6,361.5,305.9
Grants Revenue,(117.0),(14.1),(64.8),(71.1),(105.7),(161.0),(183.6),(177.9),(114.1),(103.1),(136.1),(109.8)
Community Development,(3.1),(6.4),(2.5),(0.1),(3.5),(2.6),(7.9),(3.5),(6.2),(2.5),(5.0),(6.8)
Vehicle Rental Tax,7.3,7.8,2.4,2.8,3.4,3.7,4.0,6.7,5.6,6.0,5.4,5.9
Hospital Assessment Fund,12.4,12.1,46.0,12.7,12.5,18.6,9.6,7.6,17.8,8.7,23.0,18.1
Housing Trust Fund,18.6,18.5,18.8,19.4,19.8,24.0,18.2,15.3,15.0,14.5,14.3,14.2
Other Funds,15.3,11.4,17.2,14.5,35.1,27.7,14.4,20.2,3.2,14.6,18.0,33.0
TOTAL OPERATING FUNDS,343.3,380.7,350.5,237.4,362.5,232.6,220.1,540.5,284.9,346.9,281.2,260.5
Capital Improvement,146.2,137.7,124.6,119.6,113.2,103.2,92.6,85.1,"77,6",70.1,62.6,55.1
Industrial & Commercial Dev.,4.1,4.1,4.1,4.1,4.4,4.4,4.4,3.9,3.9,3.8,3.8,3.7
TOTAL CAPITAL FUNDS,150.2,141.8,128.6,123.7,117.6,107.6,97.0,89.0,81.5,73.9,66.4,58.8
TOTAL FUND EQUITY,493.6,"522,5",479.2,361.1,480.1,340.2,317.0,629.5,366.4,420.8,347.6,319.3
