0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
REVENUES,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,Mar 31,April 30,May 31,June 30,Total,Accrued,,Under (Over),Budget Revenues
Property Taxes,7.6,6.9,5.6,5.3,4.0,14.0,35.0,177.7,116.3,23.3,6.4,5.8,407.8,,,1.8,409.6
"Wage, Earnings, NP Tax",94.4,105.3,82.7,"93,5",103.5,85.8,114.2,84.3,83.6,105.4,121.4,81.9,"1,156.1",,,(22.2),"1,133.8"
Realty Transfer Tax,20.5,23.2,17.3,16.9,18.0,19.3,19.1,11.5,15.3,17.4,17.7,13.7,210.0,,,(15.0),195.0
Sales Tax,11.3,12.5,10.7,10.7,12.1,10.1,10.2,14.3,"10,3",10.8,10.5,11.6,135.0,,,(6.0),129.0
Business Privilege Tax,5.0,2.7,12.1,20.9,1.3,17.0,6.6,15.8,1.8,116.5,127.0,81.3,408.0,,,(29.1),378.9
Other Taxes,5.3,7.6,5.0,"4,0",4.1,4.3,4.7,6.5,6.3,8.9,7.2,6.6,70.5,,,(3.2),67.3
Locally Generated Non-tax,"15,0",18.2,21.2,19.5,18.0,20.5,25.7,22.6,21.3,18.4,19.1,20.8,240.3,,,4.7,245.0
Other Governments,0.0,116.0,105.7,"88,4",22.5,17.9,35.0,27.0,47.6,134.8,6.6,21.8,623.2,137.6,,28.8,789.6
Other Governments-PICA,16.3,27.8,"0,0",22.4,24.5,0.0,24.6,22.8,21.2,15.9,"29,6",23.6,228.8,8.2,,5.2,242.2
Interfund Transfers,0.2,"0,5",0.5,0.0,0.5,0.4,0.5,"0,5",0.5,0.5,0.5,21.3,25.7,,,1.9,27.6
Total Current Revenue,175.6,320.7,260.8,281.6,208.5,189.3,275.6,382.9,324.1,451.9,345.9,288.6,"3,505.4",145.8,,(33.1),"3,618.0"
,,,,,,,,,,,,,,,,,
Collection of 6-30-06/Govt.,106.6,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"131,6",0.0,,,
Other Fund Balance Adj.,7.0,,,,,,,,,,,(3.0),4.0,,,,
Non-revenue receipts Non-budget items,,,,,,,,,,,,,0.0 0.0,,,,
TOTAL CASH RECEIPTS,289.2,345.8,260.8,281.6,208.5,189.3,"275,6","382,9","324,1",451.9,345.9,285.6,"3,641.0",,,,
EXPENSES AND OBLIGATIONS,,,,,,,,,,,,,,V.P,Encum- brances,Mergers,Budget Obliga- tions
Payroll,56.9,143.2,100.9,102.1,110.1,100.2,138.9,92.8,134.9,92.4,101.4,99.8,"1,273.6",52.1,2.9,(21.3),"1,307.2"
Employee Benefits,35.0,41.0,32.8,33.8,33.6,41.7,"45,4",32.3,"36,9",36.1,33.2,54.4,456.2,0.2,"4,5",(15.5),445.4
Pension,"360,2",(1.7),(2.1),17.3,(2.0),(1.8),1.3,(1.6),(1.9),54.8,(1.8),(1.6),419.1,0.0,,0.0,419.1
Purchase of Services,27.4,"56,0",92.4,98.3,76.7,78.8,98.8,94.8,106.6,106.5,101.0,56.8,994.1,31.8,127.2,(5.0),"1,148.1"
"Materials, Equipment",2.3,5.3,8.0,4.6,"5,5",5.3,5.4,4.3,4.7,3.3,6.6,6.8,62.2,2.6,24.1,(6.1),82.8
"Contributions, Indemnities",9.0,5.7,"8,8",1.3,4.0,7.2,1.5,"2,7",7.8,18.7,19.3,22.7,108.8,2.2,1.8,(2.1),110.8
Debt Service-Short Term,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,0",13.1,13.1,,,4.4,17.5
Debt Service-Long Term,1.2,2.3,"18,8",0.7,7.5,"0,8",5.7,10.3,"18,9",1.4,12.9,4.1,"84,6",,,3.1,87.7
Interfund Charges,"0,6",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,61.6,"0,0",0.0,(32.3),29.3
"Advances, Subsidies",31.2,,,,,,,0.0,,,,,31.2,,,,31.2
Current Year Appropriation,523.8,251.8,259.6,258.1,"235,4",232.2,297.0,235.6,308.0,313.2,272.6,317.1,"3,504.4","89,0",160.5,(74.8),"3,679.1"
Prior Year Encumbrances,54.5,24.5,12.8,8.5,6.1,3.4,6.1,2.4,4.9,7.1,1.8,1.1,133.2,0.3,44.5,20.0,198.0
Prior Year Vouchers Payable,68.0,11.4,3.5,1.5,"0,6",,,,,,,,84.9,"89,2",205.0,,
TOTAL DISBURSEMENTS,646.3,287.7,"275,9",268.1,242.1,235.6,303.1,238.0,312.9,320.3,"274,4",318.2,"3,722.6",,,,
Excess (Def) of Receipts,,,,,,,,,,,,,,,,,
over Disbursements,(357.2),58.1,(15.1),13.5,(33.7),(46.3),(27.5),144.9,11.2,131.6,71.5,(32.6),(81.5),,,,
Opening Balance,355.7,308.6,366.7,351.6,365.1,331.4,285.1,257.6,402.5,413.7,"545,3",306.8,355.7,,,,
TRANS,310.0,,,,,,,,,,(310.0),,"0,0",,,,
CLOSING BALANCE,308.6,366.7,351.6,365.1,331.4,285.1,257.6,402.5,413.7,545.3,306.8,274.2,274.2,,,,
