0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30
General,677.1,696.4,747.4,602.0,564.8,515.8,543.5,922.2,548.4,902.7,973.3,966.4
Grants Revenue,24.4,84.5,35.8,77.9,(14.3),(83.6),(41.2),98.4,38.8,52.4,(15.7),(21.9)
Community Development,(4.5),(9.8),(7.6),(7.9),(4.1),(7.8),(9.6),(5.6),(0.7),0.1,1.5,(6.3)
Vehicle Rental Tax,5.8,6.4,0.1,0.6,1.2,1.7,2.1,2.5,2.9,3.3,3.8,4.4
Hospital Assessment Fund,17.4,17.5,25.9,18.1,17.8,45.8,19.1,18.6,28.1,20.0,37.7,23.0
Housing Trust Fund,35.5,35.6,36.7,36.1,36.5,36.6,56.5,57.1,57.1,58.0,57.3,58.0
Budget Stabilization Fund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Funds,8.5,9.4,8.8,8.7,8.8,8.7,8.7,8.4,8.8,8.6,7.8,8.3
TOTAL OPERATING FUNDS,764.2,840.0,847.1,735.5,610.6,517.2,579.1,1101.7,683.3,1045.0,1065.6,1031.8
Capital Improvement,174.4,158.1,152.1,136.7,132.2,116.3,102.0,94.2,77.3,51.1,36.5,44.0
Industrial & Commercial Dev.,9.9,9.9,9.9,9.9,9.9,9.9,10.0,10.0,10.0,10.0,10.0,10.0
TOTAL CAPITAL FUNDS,184.3,168.0,162.0,146.6,142.2,126.2,111.9,104.2,87.3,61.1,46.5,54.1
TOTAL FUND EQUITY,948.4,1008.0,1009.1,882.1,752.7,643.4,691.0,1205.9,770.6,1106.0,1112.2,1085.9
