0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Accrued,Not Accrued,Estimated Revenues
REVENUES Real Estate Tax,8.7,9.5,6.5,6.7,7.8,19.3,56.3,355.7,148.6,30.9,15.8,3.4,669.1,,,669.1
"Total Wage, Earnings, Net Profits",142.8,119.6,122.3,145.1,125.9,116.4,163.4,125.3,142.4,167.0,134.4,126.0,1630.6,(22.9),,1607.7
Realty Transfer Tax,38.0,"30,7",20.0,29.2,25.7,25.8,28.9,21.8,25.7,27.4,30.7,"29,5","333,4",,,333.4
Sales Tax,25.9,27.8,14.7,13.3,15.3,13.3,12.4,16.6,13.6,11.9,17.9,27.8,210.5,,,210.5
Business Income & Receipts Tax,5.6,2.3,15.8,16.7,1.7,8.4,16.9,5.1,55.1,270.5,61.2,7.5,466.8,,,466.8
Beverage Tax,7.1,6.5,6.6,6.6,6.0,5.9,6.6,5.9,5.5,6.6,6.3,7.2,76.6,,,76.6
Other Taxes,10.9,14.6,9.4,10.3,10.0,9.6,9.6,10.1,9.4,12.9,10.1,9.3,126.3,,,126.3
Locally Generated Non-tax,27.0,28.3,27.5,22.7,22.1,20.6,22.8,22.4,26.2,24.0,27.6,25.0,296.1,,,296.1
Total Other Governments,9.2,63.5,80.2,53.9,22.4,3.5,15.2,11.4,13.2,11.5,11.7,15.0,310.6,8.2,,318.9
Total PICA Other Governments,34.1,41.6,25.4,36.8,44.5,16.1,65.7,29.5,54.3,44.7,44.4,38.7,475.7,,,475.7
Interfund Transfers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.1,28.1,,45.0,73.1
Total Current Revenue,309.3,344.3,328.3,341.2,281.4,239.0,397.8,603.7,493.9,607.5,360.0,317.5,4623.8,(14.6),45.0,4654.2
Collection of prior year(s) revenue,26.4,23.3,16.4,10.6,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,77.1,,,
Other fund balance adjustments,,,,,,,,,,,,,,,,
TOTAL CASH RECEIPTS,335.7,367.6,344.7,351.9,281.5,239.0,398.1,603.7,493.9,607.5,360.0,317.5,4701.0,,,
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Payable,brances,Obligations
EXPENSES AND OBLIGATIONS Payroll,73.4,186.7,138.4,144.4,144.9,131.9,190.1,131.8,131.9,131.9,144.9,136.1,1686.4,69.3,3.5,1759.2
Employee Benefits,47.8,48.5,49.6,51.5,53.5,71.3,70.2,48.5,48.8,48.8,53.5,50.3,642.3,16.1,"0,5",658.9
Pension,3.7,(5.7),4.2,69.6,(6.0),(2.5),(6.5),(3.1),504.6,113.1,(2.0),(2.5),666.8,53.0,,719.8
Purchase of Services,38.0,55.6,55.4,63.1,61.9,74.6,58.2,58.3,83.0,80.5,72.3,92.2,793.1,24.8,128.8,946.7
"Materials, Equipment",3.6,3.8,8.0,7.1,6.9,8.6,9.8,6.8,8.0,8.7,8.2,10.8,90.3,8.1,19.0,117.5
"Contributions, Indemnities",16.7,5.5,56.3,5.6,2.0,59.3,7.7,2.8,55.6,4.8,17.9,47.9,282.1,,,282.1
Debt Service-Short Term,0.0,"0,0",0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.2,,,7.2
Debt Service-Long Term,111.0,0.5,0.0,0.0,0.1,9.4,7.3,29.9,0.6,0.1,0.1,3.2,162.3,,,162.3
Interfund Charges,3.8,"0,0","0,0",0.0,0.0,20.4,0.1,2.8,0.0,3.6,0.5,5.4,"36,6",50.3,,86.9
Advances & Misc. Pmts. / Labor Obligations,"0,0","0,0","0,0",0.0,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,"53,6",,,53.6
Current Year Appropriation,298.0,294.8,312.0,341.4,269.9,379.7,343.6,"284,5",839.2,398.3,302.1,357.2,4420.6,221.6,151.9,4794.1
Prior Yr. Expenditures against Encumbrances,39.1,25.7,17.8,11.6,6.9,4.4,9.9,6.3,4.1,3.7,1.6,1.8,132.8,,,
Prior Yr. Salaries & Vouchers Payable,90.5,27.8,(36.1),144.2,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.9,,,
,,,,,,,,,,,,,,,,
TOTAL DISBURSEMENTS,427.6,348.2,293.7,497.2,282.2,384.1,353.5,290.8,843.3,402.0,303.6,359.0,4785.3,,,
,,,,,,,,,,,,,,,,
Excess (Def) of Receipts over Disbursements,(91.9),19.4,51.0,(145.4),(0.7),(145.2),44.5,312.9,(349.3),205.5,56.3,(41.5),,,,
Opening Balance,768.9,677.1,696.4,747.4,602.0,601.3,456.1,500.6,813.5,464.2,669.7,726.0,,,,
TRAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
,,,,,,,,,,,,,,,,
CLOSING BALANCE,677.1,696.4,747.4,602.0,601.3,456.1,500.6,813.5,464.2,669.7,726.0,684.6,,,,
