0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Amounts Dec 31,in Millions Jan 31,Feb 28,March 31,April 30,May 31,June 30
General,225.2,315.2,312.0,326.6,283.9,192.2,190.6,408.9,273.8,276.5,39.9,108.9
Grants Revenue,111.5,108.1,104.3,100.9,105.7,94.4,106.6,92.3,88.7,"108,3",86.8,80.2
Community Development,(1.3),(5.0),(4.1),(6.3),(5.0),1.2,(7.5),(8.8),(3.7),(3.8),(3.3),(5.7)
Vehicle Rental Tax,5.2,5.7,2.2,2.6,3.1,3.5,3.8,4.2,4.5,4.9,5.3,5.8
Hospital Assessment Fund,4.2,3.6,35.1,5.0,"4,7",6.5,6.2,6.2,9.6,7.4,26.6,27.6
Housing Trust Fund,16.6,16.4,16.8,17.2,15.0,14.7,13.7,14.0,12.8,11.6,11.0,11.3
Other Funds,26.5,20.6,16.8,16.8,46.5,26.2,18.3,(1.9),(19.4),19.3,18.3,"44,5"
TOTAL OPERATING FUNDS,387.9,464.6,"483,1",462.8,453.9,338.7,"331,7",514.9,366.3,424.2,"184,6",272.5
Capital Improvement,124.3,122.1,111.6,105.6,99.3,90.9,87.8,84.8,79.0,223.2,"217,4",210.7
Industrial & Commercial Dev.,4.8,4.8,5.1,5.1,5.1,3.2,3.2,3.2,3.2,3.2,3.2,3.4
TOTAL CAPITAL FUNDS,129.1,126.9,116.7,110.7,104.4,94.1,91.0,88.0,82.2,226.4,220.6,214.1
TOTAL FUND EQUITY,517.0,591.5,599.8,573.5,"558,3",432.8,422.7,602.9,448.5,650.6,405.2,486.6
