0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Accrued,Not Accrued,Estimated Revenues
REVENUES,,,,,,,,,,,,,,,,
Real Estate Tax,11.6,10.6,5.2,17.7,7.1,30.6,33.2,81.4,"465,4",125.0,16.5,10.2,814.5,,,814.5
"Total Wage, Earnings, Net Profits",125.5,159.7,107.8,188.1,132.5,124.0,179.0,129.6,147.6,172.8,"135,4",124.7,1726.7,,,1726.7
Realty Transfer Tax,51.5,53.1,48.7,39.0,29.1,22.1,20.7,14.4,22.4,20.8,21.7,20.3,364.0,,,364.0
Sales Tax,"35,9","35,0",14.9,16.4,17.5,16.3,15.7,19.0,17.2,29.4,35.4,33.7,286.3,0.8,,287.1
Business Income & Receipts Tax,12.1,9.8,36.2,"31,8",4.8,25.5,28.2,6.4,63.9,339.5,70.7,23.6,652.4,,,652.4
Beverage Tax,6.3,4.8,6.2,7.2,6.4,6.4,6.6,6.1,6.0,6.8,6.6,6.8,76.3,,,76.3
Other Taxes,12.0,14.7,11.1,10.3,10.6,10.1,10.7,10.1,10.8,12.1,9.6,8.6,130.9,,,130.9
Locally Generated Non-tax,33.8,"38,4",34.9,22.5,29.3,25.4,29.3,24.0,28.7,"23,6",30.9,25.3,346.1,,,346.1
Total Other Governments,11.6,61.7,6.0,100.5,"62,7","0,6",25.5,0.5,"27,6",20.6,16.0,14.0,347.4,1.8,,349.1
Total PICA Other Governments,83.1,8.5,35.3,60.8,46.1,33.9,46.1,47.1,90.1,"41,7","47,6",38.7,578.9,,,578.9
Interfund Transfers,0.0,0.0,0.0,0.0,"0,0","0,0",0.0,0.0,335.0,"0,0",0.0,25.9,360.9,,40.1,401.0
Total Current Revenue,383.3,396.4,306.4,"494,4",346.1,295.0,395.2,"338,5",1214.7,792.2,390.3,331.7,5684.3,2.6,40.1,5727.0
Collection of prior year(s) revenue,30.1,0.0,34.0,83.8,0.0,0.0,0.0,0.0,"0,0","0,0","0,0",0.0,147.9,,,
Other fund balance adjustments,,,,,,,,,,,,,,,,
TOTAL CASH RECEIPTS,413.4,396.4,340.5,578.2,346.1,295.0,395.2,338.5,1214.7,"792,2",390.3,331.7,5832.2,,,
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Vouchers Payable,Encum- brances,Estimated Obligations
EXPENSES AND OBLIGATIONS,,,,,,,,,,,,,,,,
Payroll,115.0,"145,7",169.2,144.5,180.3,"163,4",235.6,"164,6",165.4,165.4,180.3,170.4,1999.8,73.4,4.4,2077.7
Employee Benefits,"53,9",62.5,"44,1",65.1,63.8,61.2,"83,7",60.9,61.2,61.2,63.8,63.5,745.0,16.1,0.5,761.6
Pension,"0,4",(4.4),11.4,79.9,(0.3),3.2,(0.3),(0.3),666.3,(0.6),(0.5),(4.6),750.1,90.1,,840.2
Purchase of Services,40.0,51.2,97.1,71.7,77.7,94.5,"81,7",80.5,118.0,111.4,117.2,89.1,1030.3,33.6,188.8,1252.7
"Materials, Equipment",1.3,6.1,12.0,5.7,12.9,"13,7",14.1,12.9,15.0,15.9,15.1,15.5,140.3,3.0,42.5,185.8
"Contributions, Indemnities",7.1,16.5,79.0,16.5,17.6,81.1,14.4,22.2,77.8,13.0,9.7,88.8,443.7,,,443.7
Debt Service-Short Term,0.0,"0,0",0.1,0.0,"0,0","0,0",0.0,"0,0","0,0",0.0,0.0,2.3,2.5,,,2.5
Debt Service-Long Term,123.7,1.0,0.0,6.5,0.2,0.2,5.1,42.1,0.2,0.2,0.2,12.0,191.2,,,191.2
Interfund Charges,0.4,29.1,40.1,0.2,0.0,0.0,69.5,0.0,"0,0","0,0","0,0",26.1,165.3,34.2,,199.5
Advances & Misc. Pmts. / Labor Obligations,0.0,0.0,0.0,0.0,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.5,65.4,,,65.4
Current Year Appropriation,341.7,307.7,452.9,390.1,360.4,425.4,511.9,391.0,1112.1,374.6,393.9,471.7,5533.7,250.5,236.2,6020.4
Prior Yr. Expenditures against Encumbrances,56.1,47.2,22.7,21.4,12.6,10.0,12.6,14.5,11.7,6.3,4.3,4.8,224.2,,,
Prior Yr. Salaries & Vouchers Payable,108.3,(7.2),16.3,109.3,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.3,,,
TOTAL DISBURSEMENTS,506.1,347.6,"492,0",520.8,375.6,435.5,524.5,405.6,1123.8,380.9,398.3,476.4,5987.1,,,
Excess (Def) of Receipts over Disbursements,(92.7),48.8,(151.5),"57,4",(29.5),(140.5),(129.3),(67.0),90.8,411.4,(8.0),(144.7),,,,
Opening Balance,1628.5,1535.8,1584.6,1433.0,1490.4,1460.9,1320.4,1191.1,1124.1,1214.9,1626.3,1618.3,,,,
TRAN,0.0,"0,0","0,0",0.0,0.0,0.0,"0,0",0.0,0.0,"0,0","0,0",0.0,,,,
CLOSING BALANCE,1535.8,1584.6,1433.0,1490.4,1460.9,1320.4,1191.1,1124.1,1214.9,1626.3,1618.3,1473.6,,,,
