0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30
General,1535.8,1584.6,1433.0,1491.5,1472.4,1067.6,1095.2,1079.4,1252.2,1728.2,1593.6,1481.8
Grants Revenue,1120.3,1312.8,1414.4,1412.7,1287.8,1282.2,1234.2,1279.2,1049.5,1020.9,931.3,864.2
Community Development,(2.1),(7.9),(12.7),(12.4),(10.3),(30.5),(31.6),(30.5),(32.8),(18.4),2.5,0.0
Vehicle Rental Tax,8.2,"9,0",2.7,3.3,3.9,4.5,5.0,5.5,6.0,6.5,7.0,7.6
Hospital Assessment Fund,22.2,21.4,31.1,23.0,22.1,34.8,19.3,18.9,61.2,20.5,47.2,22.7
Housing Trust Fund,84.7,114.0,113.2,104.5,103.5,101.9,100.7,95.1,94.4,92.1,81.2,79.1
Budget Stabilization Fund,0.0,0.0,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,65.1,65.1
Other Funds,"14,7","14,5",15.3,14.8,15.1,15.2,"14,9",14.8,18.2,18.3,17.2,16.1
TOTAL OPERATING FUNDS,2783.9,3048.3,3037.1,3077.5,2934.8,2515.9,2477.9,2502.6,2488.8,2908.2,2745.1,2536.7
Capital Improvement,350.9,339.5,326.3,326.8,319.6,366.8,434.1,414.5,405.0,397.5,453.5,438.5
Industrial & Commercial Dev.,10.2,10.3,10.3,10.3,10.3,10.4,10.4,10.4,10.5,10.5,10.5,10.5
TOTAL CAPITAL FUNDS,361.1,349.8,336.6,337.0,329.9,377.1,444.5,424.9,415.5,407.9,463.9,448.9
TOTAL FUND EQUITY,3145.0,3398.2,3373.7,3414.5,3264.7,2893.1,2922.3,2927.5,2904.3,3316.1,3209.0,2985.6
