0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 29,March 31,April 30,May 31,June 30
General,342.1,401.0,372.5,476.2,477.8,433.4,528.9,847.7,413.7,546.9,388.7,387.7
Grants Revenue,(123.7),(63.2),(55.9),(116.6),(180.8),(271.3),(246.3),(259.8),(287.4),(296.8),(212.1),(119.4)
Community Development,(4.1),(3.4),(4.7),(1.6),(4.4),(5.4),(5.3),(4.4),(5.9),(3.6),(2.7),(6.4)
Vehicle Rental Tax,6.4,7.0,1.6,2.1,2.6,3.0,3.4,4.4,4.8,5.2,5.7,6.1
Hospital Assessment Fund,11.2,26.5,34.0,12.6,12.5,15.1,14.3,8.9,21.0,9.2,26.2,12.4
Housing Trust Fund,25.9,26.8,27.7,28.7,29.4,30.1,30.0,19.8,19.5,19.1,19.3,18.2
Other Funds,8.7,9.0,7.8,7.9,7.9,7.6,7.5,14.9,7.2,9.8,13.5,19.3
TOTAL OPERATING FUNDS,266.5,403.7,383.1,409.4,345.0,212.5,332.4,631.6,172.9,290.0,238.6,318.0
Capital Improvement,114.2,114.6,105.2,98.5,89.6,78.6,71.0,61.5,52.0,42.5,33.0,23.5
Industrial & Commercial Dev.,5.1,5.1,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
TOTAL CAPITAL FUNDS,119.3,119.7,110.7,104.0,95.0,84.0,76.4,66.9,57.4,47.9,38.4,28.9
TOTAL FUND EQUITY,385.8,523.4,493.7,513.3,440.0,296.5,408.8,698.5,230.3,337.9,277.0,346.9
