0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30
General,707.4,833.3,792.9,629.4,523.6,664.9,798.2,838.2,974.8,1498.9,1383.7,1080.3
Grants Revenue,833.6,945.8,882.2,881.9,897.5,787.9,936.3,897.7,787.9,788.8,1241.3,1148.2
Community Development,(3.7),(6.3),(3.5),(14.3),(23.9),(30.1),(18.7),(9.6),(4.1),4.6,2.0,0.0
Vehicle Rental Tax,8.4,9.1,2.9,3.5,4.1,4.7,5.1,5.5,5.9,6.4,7.1,7.8
Hospital Assessment Fund,23.0,22.3,32.1,25.3,23.9,36.0,25.2,24.8,27.0,22.1,43.7,19.2
Housing Trust Fund,83.0,80.9,80.2,78.0,81.3,81.2,81.9,83.6,85.3,85.2,83.1,81.0
Budget Stabilization Fund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Funds,10.8,10.8,10.6,10.5,9.9,9.8,13.1,13.1,13.1,13.1,13.0,12.8
TOTAL OPERATING FUNDS,1662.4,1895.9,1797.4,1614.2,1516.5,1554.3,1841.2,1853.3,1889.9,2419.2,2773.9,2349.4
Capital Improvement,125.2,488.1,462.4,461.6,454.7,434.9,422.2,411.1,400.3,402.0,392.5,383.0
Industrial & Commercial Dev.,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2
TOTAL CAPITAL FUNDS,135.5,498.4,472.6,471.9,465.0,445.2,432.4,421.4,410.6,412.3,402.8,393.3
TOTAL FUND EQUITY,1797.8,2394.3,2270.0,2086.0,1981.4,1999.5,2273.6,2274.6,2300.5,2831.4,3176.7,2742.7
