0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30
General,414.8,378.2,433.3,324.4,245.6,280.1,323.9,460.3,234.3,293.1,336.1,297.9
Grants Revenue,(67.5),14.5,23.5,(17.9),(103.3),(162.3),(175.5),(212.9),(124.7),(134.8),(72.8),(88.4)
Community Development,(6.0),(4.4),(4.1),(4.0),(4.1),(2.3),(3.7),(4.7),(6.7),(3.8),(5.9),(7.0)
Vehicle Rental Tax,6.8,7.4,2.9,3.3,3.8,4.2,4.7,5.0,5.4,5.8,6.2,6.7
Hospital Assessment Fund,11.8,10.3,9.9,9.3,6.8,13.3,7.9,7.5,20.4,9.1,27.4,19.3
Housing Trust Fund,16.5,17.4,18.0,18.0,15.4,14.6,14.4,14.6,14.2,13.9,13.8,14.2
Other Funds,7.0,11.9,33.1,35.0,23.3,27.0,11.5,17.3,4.0,12.9,13.6,29.8
TOTAL OPERATING FUNDS,383.5,435.3,516.6,368.2,187.4,174.6,183.1,287.1,146.8,196.2,318.4,272.5
Capital Improvement,230.0,228.8,228.0,212.7,205.2,197.7,190.2,182.7,175.2,167.7,160.2,152.7
Industrial & Commercial Dev.,3.6,3.6,3.9,3.9,3.4,3.4,3.4,3.4,3.4,3.3,3.3,3.3
TOTAL CAPITAL FUNDS,233.7,232.5,232.0,216.6,208.6,201.1,193.6,186.1,178.6,171.0,163.5,156.0
TOTAL FUND EQUITY,617.1,667.8,748.5,584.8,396.0,375.6,376.7,473.2,325.4,367.2,481.9,428.5
