0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Accrued Not Accrued,Estimated Revenues,
REVENUES Real Estate Tax,9.1,11.0,8.5,7.9,5.3,25.1,41.8,61.9,429.9,117.0,16.6,4.1,738.0,(25.7),712.3,
"Total Wage, Earnings, Net Profits",134.1,135.4,120.8,110.6,134.8,112.7,138.1,132.6,123.5,140.7,121.6,125.8,1530.7,(104.9),1425.8,
Realty Transfer Tax,36.4,22.8,24.6,28.8,26.2,32.4,27.2,18.2,20.9,25.1,26.8,26.4,315.8,(16.5),299.3,
Sales Tax,24.4,29.7,12.5,13.4,15.2,12.5,14.2,15.2,13.2,12.7,25.1,30.4,218.5,(8.7),209.7,
Business Income & Receipts Tax,266.4,26.8,19.6,34.6,2.8,21.8,15.7,14.2,46.4,199.4,151.5,23.9,823.0,(306.3),516.7,
Beverage Tax,5.7,6.2,5.6,6.9,5.3,4.9,5.1,5.0,5.0,5.8,6.1,6.3,67.9,(4.9),63.0,
Other Taxes,2.7,2.6,4.2,4.3,4.9,4.1,3.9,4.5,4.3,6.6,5.8,6.8,54.7,2.4,57.1,
Locally Generated Non-tax,22.8,20.8,28.5,23.5,34.7,29.0,23.2,31.3,34.6,27.0,41.0,27.6,344.0,(6.8),337.2,
Total Other Governments,14.4,45.2,82.7,13.2,19.0,12.6,49.4,15.9,9.8,12.1,11.3,10.7,296.2,85.4,381.6,
Total PICA Other Governments,53.0,37.8,32.6,23.2,62.1,30.5,28.3,33.6,57.3,52.2,30.7,63.0,504.1,(41.4),462.7,
Interfund Transfers,0.0,0.0,0.0,0.0,34.3,0.0,0.0,0.0,0.0,0.0,25.9,0.0,60.1,89.6,149.7,
Total Current Revenue,568.9,338.2,339.4,266.4,344.4,285.4,347.1,332.4,744.8,598.8,462.4,324.8,4953.0,(427.4) 89.6,4615.2,
Collection of prior year(s) revenue,(71.3),17.7,11.9,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(39.9),,,
Other fund balance adjustments,,,,,,,,,,,,,,,,
TOTAL CASH RECEIPTS,497.6,356.0,351.3,268.2,344.5,285.4,347.1,332.4,744.8,598.8,462.4,324.8,4913.1,,,
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Payable,brances,Obligations
EXPENSES AND OBLIGATIONS Payroll,50.4,202.6,136.7,150.8,158.5,183.1,134.6,146.1,145.0,129.4,129.8,128.8,1695.7,129.1,4.7,1829.4
Employee Benefits,45.9,41.5,46.3,48.8,60.9,45.9,45.2,55.5,52.7,47.9,58.1,51.5,600.1,34.9,2.0,637.0
Pension,3.6,(0.5),16.8,81.0,(0.3),3.2,(0.3),(0.3),531.2,(0.3),(4.0),(1.0),628.9,36.3,,665.2
Purchase of Services,33.3,49.4,68.6,77.6,63.1,74.7,48.7,62.8,100.3,78.7,80.6,59.7,797.3,61.7,157.1,1016.1
"Materials, Equipment",5.1,2.1,3.6,6.1,5.7,2.7,6.0,2.9,6.7,3.5,5.8,6.5,56.8,45.9,36.9,139.5
"Contributions, Indemnities",19.4,1.6,11.9,65.4,13.9,66.0,7.8,20.0,65.7,18.9,2.4,80.2,373.2,5.2,0.9,379.3
Debt Service-Short Term,0.2,0.0,0.1,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.0,9.7,11.2,,,11.2
Debt Service-Long Term,118.6,0.3,0.0,0.0,0.0,5.2,43.0,0.3,0.0,0.0,"0,0",0.0,167.3,7.2,,174.5
Interfund Charges,0.0,0.4,0.0,"0,0",20.2,4.4,0.0,0.0,0.0,"0,0","0,0",0.0,25.0,42.2,,67.2
Advances & Misc. Pmts. / Labor Obligations,0.0,0.0,0.0,"0,0","0,0",0.0,0.0,0.0,0.0,"0,0","0,0",0.0,0.0,,,0.0
Current Year Appropriation,276.3,297.2,283.9,429.7,322.0,385.2,286.0,287.1,901.7,278.1,272.6,335.5,4355.4,362.4,201.6,4919.4
Prior Yr. Expenditures against Encumbrances,41.0,25.1,24.5,24.3,8.0,7.3,5.1,7.4,10.1,1.5,1.5,3.0,159.1,,,
Prior Yr. Salaries & Vouchers Payable,173.8,8.8,(22.3),59.2,(8.5),(35.8),43.8,(21.3),(25.0),(281.1),327.9,(43.3),176.2,,,
,,,,,,,,,,,,,,,,
TOTAL DISBURSEMENTS,491.1,331.1,286.1,513.2,"321,5",356.7,334.9,273.3,886.9,(1.5),602.1,295.2,4690.6,,,
,,,,,,,,,,,,,,,,
Excess (Def) of Receipts over Disbursements,6.5,24.9,65.2,(245.1),23.0,(71.3),12.1,59.1,(142.1),600.3,(139.7),29.7,,,,
Opening Balance,758.8,765.3,790.1,1155.4,910.3,933.3,862.0,874.1,933.2,791.0,1091.4,951.6,,,,
TRAN,0.0,0.0,300.0,0.0,"0,0",0.0,0.0,"0,0",0.0,(300.0),"0,0",0.0,,,,
,,,,,,,,,,,,,,,,
CLOSING BALANCE,765.3,790.1,1155.4,910.3,"933,3",862.0,874.1,933.2,791.0,1091.4,951.6,981.3,,,,
