0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30
General,308.6,366.7,351.6,365.1,331.4,285.1,260.0,516.9,609.5,720.8,436.1,310.3
Grants Revenue,150.7,58.2,26.6,47.6,47.7,37.6,64.8,48.8,51.2,50.0,20.0,20.0
Community Development,(20.6),8.3,12.5,11.6,10.8,12.7,2.3,(0.5),(6.1),(3.0),(3.0),0.0
Vehicle Rental Tax,5.1,5.5,5.9,3.9,4.4,4.8,5.2,5.6,3.4,3.8,4.2,4.6
Other Funds,7.0,"10,7",14.3,11.2,11.2,14.3,12.2,12.0,11.0,11.0,9.0,9.0
TOTAL OPERATING FUNDS,450.8,449.4,410.9,439.4,405.5,354.5,344.5,582.8,669.0,782.6,466.3,343.9
Capital Improvement,225.0,218.8,210.7,202.0,193.7,187.3,176.1,164.2,189.6,192.2,186.2,180.2
Industrial & Commercial Dev.,3.6,3.7,3.7,4.9,3.9,3.9,3.4,4.0,4.0,4.0,4.0,4.0
TOTAL CAPITAL FUNDS,228.6,222.5,214.4,206.9,197.6,191.2,179.5,168.2,193.6,196.2,190.2,184.2
TOTAL FUND EQUITY,679.4,671.9,625.3,646.3,603.1,545.7,524.0,751.0,862.6,978.8,656.5,528.1
