0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30
General,231.4,218.6,227.8,"226,5",115.3,72.6,77.5,259.5,"329,0",436.1,"148,3",118.9
Grants Revenue,168.9,145.2,53.5,74.2,"50,0",40.0,35.0,35.0,35.0,35.0,"35,0",35.0
Community Development,(13.2),(4.8),(8.8),(11.3),(9.2),(6.0),(9.0),(6.0),(6.0),(6.0),(6.0),(6.0)
Vehicle Rental Tax,5.7,6.3,4.3,4.7,5.2,5.7,6.1,6.5,6.9,7.4,5.1,5.6
Other Funds,9.9,22.9,11.2,9.0,9.0,9.0,9.0,9.0,9.0,"9,0",9.0,9.0
TOTAL OPERATING FUNDS,402.7,388.2,288.0,303.1,170.3,121.3,118.6,"304,0",373.9,"481,5",191.4,162.5
Capital Improvement,66.6,61.0,57.8,46.6,38.6,210.6,202.6,194.6,186.6,178.6,"170,6",162.6
Industrial & Commercial Dev.,4.3,4.3,4.9,5.5,4.5,4.5,4.5,"4,5",4.5,4.5,4.5,4.5
TOTAL CAPITAL FUNDS,70.9,65.3,62.7,52.1,43.1,215.1,207.1,199.1,191.1,"183,1",175.1,167.1
TOTAL FUND EQUITY,473.6,"453,5",350.7,355.2,213.4,336.4,325.7,"503,1","565,0",664.6,"366,5",329.6
