0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,(Amounts in Dec 31,$millions) Jan 31,Feb 28,Mar 31,April 30,May 31,June 30,Total,Accrued,,Under (Over),Current Revenues
REVENUES Property Taxes,5.9,7.0,5.2,3.9,4.9,13.8,32.2,196.6,95.5,22.4,15.8,9.4,412.7,0.0,,0.0,412.7
"Wage, Earnings, NP Tax",95.8,99.8,76.1,90.2,97.7,81.2,107.0,86.0,94.9,95.8,"109,6","97,3","1,131.4",,,"0,0","1,131.4"
Realty Transfer Tax,10.9,9.7,9.8,"8,9",9.2,9.8,9.9,7.6,9.1,9.7,10.3,9.8,114.7,,,"0,0",114.7
Sales Tax,10.0,11.9,9.9,9.4,10.3,17.3,17.2,22.7,20.9,21.0,22.7,21.9,195.3,20.0,,"0,0",215.3
Business Privilege Tax,5.0,8.1,8.5,8.5,(1.8),6.5,8.1,"5,8",18.5,137.1,137.8,34.6,376.7,,,"0,0",376.7
Other Taxes,7.8,9.5,7.2,6.6,7.2,6.7,6.6,9.1,5.8,11.5,"8,5",8.3,94.7,,,"0,0",94.7
Locally Generated Non-tax,18.4,19.8,16.7,18.0,20.7,24.9,23.4,20.4,23.9,19.5,21.7,29.3,256.7,0.0,,0.0,"256,7"
Other Governments,4.0,54.8,56.6,164.0,48.2,16.6,55.4,65.4,68.8,71.3,40.7,65.3,710.9,156.0,,"0,0",866.9
Other Governments-PICA,25.0,19.9,16.4,25.3,23.5,7.4,31.6,"26,5",31.1,20.2,"35,5","15,5",277.8,8.0,,"0,0",285.8
Interfund Transfers,0.0,0.0,0.0,0.0,0.8,0.8,0.5,1.0,1.8,"0,8","0,5",0.8,6.8,21.3,,0.0,28.1
Total Current Revenue,182.8,240.5,206.4,334.8,220.7,185.0,291.8,441.0,370.3,409.3,403.0,"292,3","3,577.7",205.3,,"0,0","3,783.0"
Collection of 6-30-09/Govt.,14.5,84.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,0",0.0,99.2,0.0,,,
Other Fund Balance Adj.,0.0,0.0,15.0,,,,,,,,,"0,0",15.0,,,,
Non-budget items,,,,,,,,,,,,,0.0,,,,
TOTAL CASH RECEIPTS,197.3,325.2,221.4,334.8,220.7,"185,0",291.8,441.0,370.3,409.3,403.0,"292,3","3,692.0",,,,
EXPENSES AND OBLIGATIONS,,,,,,,,,,,,,,V.P.,Encum- brances,Mergers,Budget Obliga- tions
Payroll,"87,6",106.0,112.7,104.1,104.3,130.5,104.3,105.3,131.5,104.3,108.3,132.7,"1,331.6",28.9,0.0,"0,0","1,361.8"
Employee Benefits,39.1,41.1,40.2,41.2,35.9,43.7,40.7,36.0,38.5,34.8,35.8,"33,7",460.9,19.7,0.0,"0,0","480,6"
Pension,3.7,(2.8),13.4,49.2,0.0,"0,0",3.7,0.0,196.2,86.7,0.0,"0,0",350.1,0.0,,0.0,350.1
Purchase of Services,22.2,29.6,92.6,129.4,99.9,77.0,87.9,"86,3",99.3,81.1,91.2,"73,4",969.9,41.0,130.0,0.0,"1,141.0"
"Materials, Equipment",1.5,1.5,5.9,6.2,7.3,5.9,4.9,7.1,8.0,5.5,5.8,5.8,65.5,4.8,4.0,"0,0",74.3
"Contributions, Indemnities",5.7,0.5,11.5,9.8,3.5,7.0,2.6,5.5,7.7,10.1,25.7,24.1,113.8,4.0,0.0,"0,0",117.8
Debt Service-Short Term,0.0,0.0,0.0,0.0,1.4,"0,0",0.0,0.0,0.0,0.0,0.0,11.6,13.0,,,0.0,13.0
Debt Service-Long Term,8.5,29.7,0.0,5.0,3.2,7.7,12.4,7.3,3.4,6.2,14.7,10.8,108.9,0.0,0.0,0.0,108.9
Interfund Charges,0.3,"0,5","0,0","0,0","0,0",0.0,0.0,0.0,0.0,0.0,0.0,1.4,2.2,26.3,0.0,0.0,28.5
"Advances, Subsidies",0.0,24.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,8",25.0,0.0,,0.0,25.0
Current Year Appropriation,"168,6",230.3,276.3,"344,9",255.6,271.8,256.6,"247,6",484.6,328.7,281.5,294.3,"3,440.8",124.7,134.0,"0,0","3,701.0"
Prior Year Encumbrances,"46,1",0.0,"16,5",36.6,16.3,18.6,8.2,3.2,5.9,3.7,3.2,2.9,161.3,"0,0","0,0",0.0,161.3
Prior Year Vouchers Payable,50.2,"13,0","0,0",0.0,0.0,0.0,0.0,"0,0",0.0,0.0,"0,0",0.0,63.2,124.7,134.0,,
TOTAL DISBURSEMENTS,264.9,"243,3",292.8,381.5,271.9,290.4,264.8,250.8,"490,5","332,5",284.8,297.2,"3,665.3",,,,
Excess (Def) of Receipts,,,,,,,,,,,,,,,,,
over Disbursements,(67.6),"81,9",(71.4),(46.7),(51.1),(105.5),26.9,"190,2",(120.2),"76,8",118.2,(4.9),26.7,,,,
Opening Balance,7.8,(59.8),22.1,220.7,174.0,127.8,22.4,49.3,239.6,119.3,196.2,"39,4",7.8,,,,
TRANS,"0,0",0.0,270.0,0.0,5.0,0.0,"0,0","0,0","0,0","0,0",(275.0),"0,0","0,0",,,,
,,,,,,,,,,,,,,,,,
CLOSING BALANCE,(59.8),22.1,220.7,174.0,127.8,22.4,49.3,239.6,119.3,196.2,39.4,34.5,34.5,,,,
