0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 29,March 31,April 30,May 31,June 30,Total,Accrued,,Estimated Revenues
REVENUES Real Estate Tax,10.2,7.1,8.6,8.3,6.9,11.2,48.5,321.7,112.1,24.0,10.0,7.8,576.4,,,576.4
"Total Wage, Earnings, Net Profits",125.5,102.5,102.0,110.0,122.4,98.0,132.0,122.1,133.4,124.2,127.7,100.6,1400.4,,,1400.4
Realty Transfer Tax,25.0,23.2,18.6,20.1,20.0,14.4,18.9,18.1,"21,9",16.2,20.3,20.9,237.5,,,237.5
Sales Tax,15.1,27.0,11.7,11.0,13.1,10.0,12.4,13.7,9.6,11.0,12.7,13.4,160.6,10.2,,170.8
Business Income & Receipts Tax,5.3,3.8,18.2,22.2,5.8,8.9,5.6,13.6,58.0,241.9,100.8,6.8,490.8,(55.6),,435.2
Other Taxes,9.8,12.1,8.8,8.2,9.4,8.7,8.9,9.4,9.0,11.6,9.7,9.7,115.4,,,115.4
Locally Generated Non-tax,22.9,29.2,25.2,21.2,22.6,24.4,29.1,18.2,26.8,25.8,20.5,22.8,288.7,,,288.7
Total Other Governments,11.8,59.8,69.6,13.7,56.3,6.3,7.8,18.1,16.0,8.6,16.6,21.3,305.9,5.2,,311.2
Total PICA Other Governments,25.7,28.8,27.4,30.8,30.8,25.6,15.9,50.1,32.6,43.7,25.4,26.9,363.7,5.0,,368.7
Interfund Transfers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.5,18.5,43.9,,62.4
Total Current Revenue,251.3,293.4,290.2,245.5,287.4,207.5,279.0,584.9,419.4,506.8,357.8,234.6,3958.0,49.1,,3966.7
Collection of prior year(s) revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Other fund balance adjustments,,,,,,,,,,,,,,,,
TOTAL CASH RECEIPTS,251.3,293.4,290.2,245.5,287.4,207.5,279.0,584.9,419.4,506.8,357.8,234.6,3958.0,,,
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 29,March 31,April 30,May 31,June 30,Total,Payable,brances,Obligations
EXPENSES AND OBLIGATIONS Payroll,81.1,118.2,170.6,125.0,112.8,124.0,122.3,114.9,157.5,108.9,125.6,139.9,1500.8,65.7,,1566.4
Employee Benefits,49.6,42.0,44.0,47.8,31.9,47.5,40.8,37.3,54.7,69.1,37.5,39.6,541.8,17.2,0.5,559.5
Pension,3.7,(7.9),(6.5),67.8,(6.6),(1.1),(7.2),(5.6),575.9,(2.9),(1.8),2.5,610.3,10.4,,620.7
Purchase of Services,44.4,32.0,77.9,68.1,55.6,75.4,50.6,48.2,83.4,41.6,66.7,86.7,730.5,22.5,99.2,852.2
"Materials, Equipment",3.1,3.0,7.6,7.5,5.7,8.2,3.1,6.1,6.4,5.3,8.0,13.6,77.7,4.8,18.5,101.0
"Contributions, Indemnities",14.2,5.8,10.4,39.0,14.6,3.4,3.0,4.0,14.4,6.0,70.6,7.7,193.1,,,193.1
Debt Service-Short Term,"0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,,,4.5
Debt Service-Long Term,77.4,"0,9",0.1,0.0,13.0,8.9,23.0,"0,5","0,0",(0.0),1.0,12.1,"136,9",,,136.9
Interfund Charges,0.3,"0,0",0.0,0.0,0.0,"0,0",0.0,"0,5","0,0",0.0,0.7,4.5,6.0,26.7,,32.7
Advances & Misc. Pmts. / Labor Obligations,"0,0","0,0",0.0,0.0,0.0,0.0,0.0,0.0,"0,0",0.0,0.0,0.0,"0,0",,,"0,0"
Current Year Appropriation,273.7,194.1,304.2,355.2,227.1,266.1,235.5,206.0,892.4,227.9,308.3,311.2,3801.6,147.3,118.2,4067.1
Prior Yr. Expenditures against Encumbrances,"27,9",21.2,10.9,7.5,7.6,2.6,13.8,1.2,5.0,1.4,0.9,1.4,101.3,,,
Prior Yr. Salaries & Vouchers Payable,73.9,7.1,(25.0),3.4,8.3,(4.3),23.1,(5.4),(27.9),36.6,0.0,0.0,"89,9",,,
TOTAL DISBURSEMENTS,375.5,222.4,290.2,366.1,242.9,"264,5",272.5,201.7,869.4,"265,9",309.2,312.6,3992.8,,,
Excess (Def) of Receipts over Disbursements,(124.2),71.0,0.0,(120.6),44.5,(56.9),6.6,383.2,(450.0),240.9,48.6,(77.9),,,,
Opening Balance,400.4,276.2,522.2,522.3,401.7,446.1,389.2,395.8,779.0,329.0,569.9,443.5,,,,
TRAN,"0,0",175.0,0.0,0.0,"0,0",0.0,0.0,0.0,"0,0",0.0,(175.0),0.0,,,,
,,,,,,,,,,,,,,,,
CLOSING BALANCE,276.2,522.2,522.3,401.7,446.1,389.2,395.8,779.0,329.0,569.9,443.5,365.6,,,,
