0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 29,March 31,April 30,May 31,June 30
General,889.8,870.8,895.8,799.9,692.6,774.0,798.5,1124.9,650.0,1005.6,939.8,907.6
Grants Revenue,(17.2),(0.6),24.6,14.3,(34.0),(68.8),(64.6),(184.1),(210.1),(202.6),(184.7),(125.7)
Community Development,(2.5),(1.4),(1.6),0.7,(2.8),(7.8),(12.4),(5.2),(4.7),(1.0),(0.4),(6.5)
Vehicle Rental Tax,5.0,5.7,6.4,7.0,7.6,8.1,8.6,4.1,4.4,4.9,5.3,5.8
Hospital Assessment Fund,20.5,20.0,45.8,22.1,21.7,41.0,24.0,11.2,20.1,11.6,31.4,13.8
Housing Trust Fund,58.5,56.4,55.4,62.2,61.4,61.1,61.3,59.2,57.1,55.0,52.9,64.1
Budget Stabilization Fund,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3
Other Funds,10.9,10.1,9.8,9.6,8.8,8.7,8.7,8.2,7.7,7.8,7.8,7.5
TOTAL OPERATING FUNDS,999.2,995.4,1070.4,950.1,789.5,850.6,858.5,1052.6,558.8,915.6,886.5,900.9
Capital Improvement,102.6,451.0,425.5,409.6,398.9,386.8,374.8,359.8,344.8,329.8,314.8,299.8
Industrial & Commercial Dev.,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.0,10.0,10.0,10.0,10.0
TOTAL CAPITAL FUNDS,112.7,461.0,435.6,419.6,409.0,397.0,384.9,369.8,354.8,339.8,324.8,309.8
TOTAL FUND EQUITY,1111.9,1456.5,1506.0,1369.8,1198.5,1247.6,1243.4,1422.4,913.5,1255.4,1211.3,1210.7
