0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Net Accrual / Adjust.,Estimated Revenues,
REVENUES Real Estate Tax,7.5,7.2,6.1,5.5,6.1,14.1,51.8,315.5,90.7,25.3,7.0,5.5,542.3,(2.2),540.1,
"Total Wage, Earnings, Net Profits",103.5,94.8,92.5,95.9,106.2,101.6,127.9,91.3,99.3,127.1,104.3,99.5,1243.8,0.4,1244.2,
Realty Transfer Tax,12.8,10.2,8.7,12.6,11.5,14.0,12.9,"8,9",15.5,13.9,13.8,12.1,146.9,(0.1),146.8,
Sales Tax,21.0,23.7,20.6,19.8,20.8,21.9,20.0,25.0,19.3,19.4,23.7,22.2,257.2,0.3,257.6,
Business income & Receipts Tax,1.1,3.9,12.6,7.2,5.8,6.7,12.9,4.2,38.6,276.0,84.9,8.2,462.1,(9.1),453.0,
Other Taxes,7.3,9.6,7.5,7.4,7.1,7.1,7.3,7.0,6.7,13.1,8.3,7.0,95.4,(0.3),95.1,
Locally Generated Non-tax,22.5,24.1,19.4,21.4,21.2,16.3,23.7,28.3,26.9,21.4,27.5,17.4,270.0,(2.8),267.2,
Total Other Governments,3.1,54.0,70.2,66.4,7.8,19.6,8.1,37.4,3.1,6.5,25.2,15.1,316.4,19.4,335.8,
Total PICA Other Governments,23.6,26.3,22.0,22.5,28.6,21.6,25.8,18.6,37.5,27.6,34.6,25.0,313.7,(2.0),311.6,
Interfund Transfers,0.0,8.4,0.3,(0.3),0.0,"0,0",0.0,0.0,0.0,0.0,14.0,3.7,26.2,19.1,45.3,
Total Current Revenue,202.3,262.2,259.8,258.5,215.1,222.8,290.4,536.1,337.5,530.2,343.2,215.8,3673.9,22.8,3696.7,
Collection of prior year(s) revenue,26.2,12.2,0.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.7,,,
Other fund balance adjustments,,,,,,,,,,,,,,,,
TOTAL CASH RECEIPTS,228.5,274.5,259.8,271.8,215.1,222.8,290.4,536.1,337.5,530.2,343.2,215.8,3725.6,,,
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Vouchers Payable / Adjust.,Encum- brances,Estimated Obligations
EXPENSES AND OBLIGATIONS Payroll,71.0,113.0,102.2,101.4,142.8,100.4,116.5,99.2,106.7,99.0,148.7,102.5,1303.3,59.7,,1363.0
Employee Benefits,34.8,42.7,36.1,37.7,45.9,"43,5",48.1,29.7,48.9,32.4,43.0,54.5,497.1,8.1,,505.3
Pension,3.7,(4.2),6.4,59.4,(4.8),(8.2),(1.3),104.5,303.6,159.3,(1.5),(2.4),614.5,4.8,,619.3
Purchase of Services,"46,8",46.3,61.4,66.9,61.9,47.4,65.2,51.6,78.9,66.6,43.5,35.0,671.5,8.2,91.1,770.7
"Materials, Equipment",3.9,4.7,7.9,5.8,5.5,5.3,7.0,4.2,4.6,5.5,3.9,5.7,64.1,3.1,19.7,86.9
"Contributions, Indemnities",13.0,3.3,4.5,"10,5",40.0,8.9,5.3,1.8,12.1,4.7,32.5,1.6,138.2,0.4,,138.5
Debt Service-Short Term,"0,0",0.0,"0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,1.0
Debt Service-Long Term,8.4,62.9,0.0,0.0,5.1,4.7,30.6,0.9,0.2,0.0,5.0,0.0,117.9,,,117.9
interfund Charges,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.6,,34.6
Other Adj. Provision for Labor Obligations,0.0,"0,0",0.0,"0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Current Year Appropriation,181.6,269.2,218.5,281.7,296.2,202.5,271.2,292.0,555.1,367.6,275.0,198.0,3408.6,117.9,110.8,3637.3
Prior Yr. Expenditures against Encumbrances,28.0,11.0,6.6,2.8,2.9,1.9,1.6,5.4,1.2,1.1,0.4,1.1,64.1,,,
Vouchers Payable & Prior Yr. Salaries,31.3,49.6,(22.4),34.7,(36.5),42.5,(33.2),20.5,(147.6),145.4,22.1,(7.1),99.2,,,
TOTAL DISBURSEMENTS,240.8,329.8,202.7,319.2,262.7,247.0,"239,6",317.8,408.8,514.1,297.5,192.0,3572.0,,,
Excess (Def) of Receipts over Disbursements,(12.4),(55.3),57.2,(47.4),(47.6),(24.2),50.8,"218,3",(71.3),16.1,45.7,23.8,,,,
Opening Balance,280.7,268.3,213.0,270.2,222.7,175.1,278.0,328.7,547.0,475.7,491.8,410.5,,,,
TRAN,0.0,0.0,"0,0",0.0,0.0,127.0,0.0,0.0,0.0,0.0,(127.0),0.0,,,,
,,,,,,,,,,,,,,,,
CLOSING BALANCE,268.3,213.0,270.2,222.7,175.1,278.0,328.7,547.0,475.7,491.8,410.5,434.3,,,,
