0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30
General,414.8,378.2,433.3,324.4,212.1,268.9,317.3,499.2,212.1,360.4,390.2,448.9
Grants Revenue,(67.5),14.5,23.5,(17.9),(78.3),(116.1),(125.2),(120.5),(86.4),(91.4),(156.3),(94.3)
Community Development,(6.0),(4.4),(4.1),(4.0),(3.8),(4.3),(5.9),(3.9),(7.9),(3.3),(1.6),(6.5)
Vehicle Rental Tax,6.8,7.4,2.9,3.3,3.8,4.2,4.6,5.0,5.3,5.7,6.2,6.7
Hospital Assessment Fund,11.8,10.3,9.9,9.3,9.0,8.5,8.4,8.0,7.6,7.3,5.4,12.4
Housing Trust Fund,16.5,17.4,18.0,18.0,17.8,18.1,18.3,18.3,18.4,17.0,16.5,17.7
Other Funds,7.0,11.9,33.1,35.0,16.4,15.6,15.4,19.4,7.6,15.6,27.0,17.6
TOTAL OPERATING FUNDS,383.5,435.3,516.6,368.2,177.1,194.9,232.8,425.5,156.7,311.2,287.4,402.5
Capital Improvement,230.0,228.8,228.0,212.7,203.1,196.7,187.0,178.9,174.5,168.0,164.0,157.3
Industrial & Commercial Dev.,3.6,3.6,3.9,3.9,3.9,3.9,3.9,4.0,4.0,4.0,4.0,4.1
TOTAL CAPITAL FUNDS,233.7,232.5,232.0,216.6,207.1,200.6,190.9,182.9,178.5,172.0,167.9,161.4
TOTAL FUND EQUITY,617.1,667.8,748.5,584.8,384.2,395.5,423.7,608.3,335.2,483.2,455.3,563.9
