0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Accrued,Estimated Revenues,
REVENUES Real Estate Tax,8.3,7.8,7.8,7.8,7.5,9.9,40.7,282.6,117.1,23.9,7.9,6.4,527.8,0.2,527.9,
"Total Wage, Earnings, Net Profits",117.0,97.3,96.6,124.8,100.7,108.0,123.9,112.9,117.8,143.1,102.8,97.9,1342.9,,1342.9,
Realty Transfer Tax,15.8,17.0,20.0,13.3,13.9,23.1,14.7,10.2,11.9,23.7,16.9,22.2,202.6,(0.9),201.7,
Sales Tax,22.3,22.2,10.8,10.5,11.6,10.5,11.3,11.4,10.8,8.3,10.1,12.1,152.0,(8.2),143.8,
Business Income & Receipts Tax,4.1,1.9,17.7,7.1,0.7,3.8,23.9,8.3,"59,9",265.5,66.8,6.6,466.3,,466.3,
Other Taxes,7.9,10.3,8.6,7.4,8.1,7.7,7.5,8.4,7.4,11.1,8.1,6.8,99.2,,99.2,
Locally Generated Non-tax,26.4,19.2,19.4,24.8,19.5,19.6,26.0,21.4,30.4,22.4,22.2,22.1,273.3,28.0,301.3,
Total Other Governments,2.4,48.4,66.0,69.6,16.5,9.7,6.8,11.8,9.3,13.4,10.9,14.9,279.7,25.5,305.3,
Total PICA Other Governments,25.2,13.7,31.1,26.5,27.9,15.3,36.7,32.6,24.8,24.3,47.4,31.5,337.0,,337.0,
Interfund Transfers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.5,18.6,45.7,64.2,
Total Current Revenue,229.4,237.8,277.9,291.7,206.4,207.8,291.5,499.6,389.5,535.8,307.1,224.9,3699.5,71.2,3789.7,
Collection of prior year(s) revenue,10.3,8.7,0.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.8,,,
Other fund balance adjustments,,,,,,,,,,,,,,,,
TOTAL CASH RECEIPTS,239.6,246.5,277.9,303.5,206.4,207.8,291.5,499.6,389.5,535.8,307.1,224.9,3730.2,,,
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Vouchers Payable,Encum- brances,Estimated Obligations
EXPENSES AND OBLIGATIONS Payroll,79.5,108.8,122.7,154.3,107.9,121.0,116.3,110.1,154.5,104.0,132.2,113.2,1424.5,74.9,3.5,1502.9
Employee Benefits,42.8,42.3,51.8,54.3,43.0,42.8,40.7,40.8,39.2,41.2,41.3,44.0,524.2,16.1,"0,5",540.8
Pension,3.7,(6.5),4.0,55.8,(7.4),(2.1),(6.1),(5.7),535.8,(2.3),0.8,0.8,570.9,,,570.9
Purchase of Services,39.6,31.6,84.1,68.8,52.1,71.0,50.9,57.4,82.9,51.9,65.8,65.6,721.6,15.1,96.6,833.3
"Materials, Equipment",3.2,5.0,8.5,9.1,4.4,4.6,5.0,4.9,5.5,6.7,7.4,11.2,75.5,4.7,15.1,95.3
"Contributions, Indemnities",19.4,4.6,4.2,9.9,4.4,14.9,2.3,9.8,1.7,3.8,51.3,24.3,150.6,"0,5",,151.2
Debt Service-Short Term,0.0,"0,0",0.0,0.0,0.0,0.0,0.0,"0,0",0.0,0.0,0.0,0.8,0.8,,,0.8
Debt Service-Long Term,18.7,66.5,0.1,0.0,10.5,9.2,21.0,"0,5",0.1,"0,0","0,0",6.4,133.1,,,133.1
Interfund Charges,0.3,"0,0",0.0,0.0,"0,0",0.0,0.5,"0,0",0.0,0.3,6.3,4.7,12.2,25.3,,37.5
Advances & Misc. Pmts. / Labor Obligations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,0",0.0,0.0,"0,0",0.0,0.0,,,0.0
Current Year Appropriation,207.2,252.3,275.5,352.2,214.8,261.3,230.5,217.7,819.7,205.6,305.2,271.1,3613.2,136.6,115.8,3865.6
Prior Yr. Expenditures against Encumbrances,48.1,19.0,18.2,7.1,3.2,4.5,6.8,2.2,"0,5",4.2,3.2,2.8,119.7,,,
Prior Yr. Salaries & Vouchers Payable,22.8,33.6,2.1,18.1,(23.3),23.1,10.9,(8.9),(115.1),115.5,0.0,0.0,78.9,,,
TOTAL DISBURSEMENTS,278.2,304.9,295.7,377.4,194.7,288.9,248.3,211.1,705.1,325.3,308.4,273.9,3811.7,,,
Excess (Def) of Receipts over Disbursements,(38.5),(58.5),(17.7),(73.9),11.8,(81.0),43.2,288.6,(315.6),210.5,(1.3),(49.0),,,,
Opening Balance,448.9,410.4,351.9,334.2,260.2,402.0,321.0,364.2,"652,7",337.1,547.7,416.4,,,,
TRAN,0.0,0.0,"0,0",0.0,130.0,0.0,0.0,"0,0",0.0,0.0,(130.0),0.0,,,,
,,,,,,,,,,,,,,,,
CLOSING BALANCE,410.4,351.9,334.2,260.2,402.0,321.0,364.2,652.7,337.1,547.7,416.4,367.4,,,,
