0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,I June 30
General,441.3,289.8,204.3,244.9,216.6,181.3,136.5,348.6,430.2,545.7,450.5,384.0
Grants Revenue,64.7,86.5,71.8,82.4,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
Community Development,(15.9),(5.3),(4.7),(8.9),(7.0),(7.0),(7.0),(7.0),(7.0),(7.0),(7.0),0.0
Vehicle Rental Tax,5.2,5.7,3.8,4.2,4.6,5.0,5.4,5.8,6.2,4.1,4.5,4.9
Other Funds,8.2,10.1,8.8,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
TOTAL OPERATING FUNDS,503.5,386.8,284.0,331.6,293.2,258.3,213.9,426.4,508.4,621.8,527.0,467.9
Capital Improvement,"154,0",148.9,141.2,136.2,130.2,124.2,116.2,108.2,100.2,92.2,84.2,76.2
Industrial & Commercial Dev.,4.7,4.7,5.0,4.1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
TOTAL CAPITAL FUNDS,158.7,153.6,146.2,140.3,135.2,129.2,121.2,113.2,105.2,97.2,89.2,81.2
TOTAL FUND EQUITY,662.2,540.4,430.2,"471,9",428.4,387.5,335.1,539.6,"613,6",719.0,616.2,549.1
