0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Accrued,Not Accrued,Estimated Revenues
REVENUES,,,,,,,,,,,,,,,,
Real Estate Tax,9.2,8.5,6.5,6.0,5.8,34.3,64.1,346.5,114.7,34.2,14.0,11.1,654.8,,(8.6),646.3
"Total Wage, Earnings, Net Profits",137.7,114.0,115.3,134.3,119.4,112.0,170.0,109.4,132.9,165.9,133.3,121.6,1565.8,,,1565.8
Realty Transfer Tax,38.3,29.0,20.8,27.5,28.7,21.8,36.9,25.0,19.1,24.8,20.2,21.1,313.2,,,313.2
Sales Tax,28.6,29.0,12.0,11.9,14.6,12.7,11.9,15.8,13.0,11.4,14.0,26.4,201.2,3.3,,204.5
Business Income & Receipts Tax,6.9,6.9,16.4,14.9,0.9,6.1,29.4,(2.2),40.3,274.8,38.2,1.0,433.8,,(20.3),413.5
Beverage Tax,6.9,6.5,6.7,7.6,6.1,6.0,6.5,5.8,5.5,6.5,7.2,7.5,78.8,,,78.8
Other Taxes,10.2,9.5,12.2,10.3,9.7,10.2,9.8,11.1,9.2,11.3,10.1,9.5,123.1,,,123.1
Locally Generated Non-tax,24.3,29.4,21.4,30.7,24.1,27.8,26.5,27.6,20.2,26.6,25.8,23.2,307.5,,,307.5
Total Other Governments,22.9,52.3,77.9,59.9,16.8,7.0,15.2,11.8,15.4,10.2,13.7,14.0,317.2,(5.3),,311.9
Total PICA Other Governments,25.8,37.2,29.7,17.2,41.8,13.1,62.7,29.2,39.0,56.6,44.4,44.7,441.3,0.0,,441.3
Interfund Transfers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,30.5,,32.9,63.4
Total Current Revenue,310.7,322.5,318.8,320.3,267.9,250.9,432.8,580.2,409.2,622.3,320.9,310.7,4467.2,(2.0),32.9,4469.2
Collection of prior year(s) revenue,40.9,0.2,12.5,(2.8),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.8,,,
TOTAL CASH RECEIPTS,351.6,322.6,331.4,317.6,267.9,250.9,432.8,580.2,409.2,622.3,320.9,310.7,4518.0,,,
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Payable,brances,Obligations
EXPENSES AND OBLIGATIONS Payroll,69.7,172.3,133.4,127.2,135.9,121.6,179.9,122.6,127.9,123.4,143.5,135.9,1593.3,84.8,4.0,1682.1
Employee Benefits,45.8,36.2,65.6,33.7,42.2,46.2,47.0,43.5,47.0,54.5,55.1,52.0,568.8,46.7,"0,5",616.0
Pension,3.7,(6.5),4.8,64.2,(6.0),(2.5),(6.5),(2.7),611.7,(3.0),(3.1),(2.6),651.5,31.9,,683.4
Purchase of Services,42.6,50.8,76.3,89.1,61.0,48.2,61.3,50.3,87.8,52.2,57.3,75.4,752.2,23.8,146.5,922.6
"Materials, Equipment",3.0,3.8,8.5,6.8,5.3,6.1,6.9,5.6,5.9,5.6,8.6,8.9,75.1,4.0,29.0,108.0
"Contributions, Indemnities",14.3,5.0,10.2,8.8,11.5,5.0,5.5,10.6,2.9,4.6,109.0,9.1,196.5,,,196.5
Debt Service-Short Term,0.0,0.1,0.1,0.0,0.0,0.1,0.4,0.0,0.1,0.0,0.0,4.4,5.3,,,5.3
Debt Service-Long Term,96.1,0.5,0.0,0.6,9.2,7.4,31.2,"0,5",0.0,0.8,0.0,5.8,152.1,,,152.1
Interfund Charges,"0,4","0,0","0,0",0.0,0.0,0.0,"0,0",0.0,0.0,0.5,0.9,5.9,7.6,28.4,,36.0
Advances & Misc. Pmts. / Labor Obligations,"0,0","0,0","0,0",0.0,0.0,"0,0","0,0",0.0,0.0,0.0,7.0,10.0,17.0,,54.1,71.1
Current Year Appropriation,275.5,262.2,298.9,330.4,259.2,232.1,325.6,230.3,883.4,238.5,378.3,304.8,4019.3,219.7,234.1,4473.1
Prior Yr. Expenditures against Encumbrances,38.3,25.3,19.3,9.0,6.7,3.4,4.3,5.2,1.7,1.5,1.0,2.0,117.6,,,
Prior Yr. Salaries & Vouchers Payable,77.4,(24.5),(9.5),89.8,31.0,5.8,(26.1),(2.3),8.1,17.1,0.0,0.0,166.8,,,
,,,,,,,,,,,,,,,,
TOTAL DISBURSEMENTS,391.2,263.0,308.8,429.2,296.8,241.2,303.9,233.1,893.3,257.1,379.3,306.8,4303.8,,,
,,,,,,,,,,,,,,,,
Excess (Def) of Receipts over Disbursements,(39.6),59.6,22.6,(111.7),(28.9),9.7,128.9,347.0,(484.0),365.2,(58.4),3.8,,,,
Opening Balance,533.9,494.3,553.9,576.5,464.8,435.9,570.6,699.5,1046.5,562.5,927.7,744.3,,,,
TRAN,0.0,0.0,0.0,0.0,"0,0",125.0,0.0,0.0,0.0,0.0,(125.0),0.0,,,,
,,,,,,,,,,,,,,,,
CLOSING BALANCE,494.3,553.9,576.5,464.8,435.9,570.6,699.5,1046.5,562.5,927.7,744.3,748.1,,,,
