0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30
General,892.2,917.1,1282.3,1038.1,1084.0,928.4,883.0,944.2,614.9,912.6,659.8,598.4
Grants Revenue,335.1,328.8,316.7,261.9,116.2,(154.8),(83.3),(73.0),(88.7),(66.3),(91.4),(86.9)
Community Development,(8.9),(15.5),(10.6),(9.0),(4.4),(5.5),(7.2),(5.5),(3.3),(0.3),0.2,(6.5)
Vehicle Rental Tax,10.5,10.9,4.4,4.8,2.4,2.8,3.2,3.6,3.9,4.4,4.8,5.3
Hospital Assessment Fund,22.8,22.0,69.2,24.0,13.2,27.6,14.3,13.3,24.2,14.1,37.8,15.9
Housing Trust Fund,74.1,70.4,69.2,70.2,53.6,51.5,69.4,67.3,65.2,63.1,61.0,58.9
Budget Stabilization Fund,34.3,34.3,34.3,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Funds,8.4,8.5,8.7,8.7,8.6,8.3,8.4,8.3,8.1,8.1,7.8,7.9
TOTAL OPERATING FUNDS,1368.4,1376.5,1774.1,1433.0,1273.6,858.4,887.8,958.1,624.3,935.6,680.1,593.1
Capital Improvement,277.3,276.0,258.5,"239,7",224.7,209.7,194.7,179.7,164.7,149.7,134.7,119.7
Industrial & Commercial Dev.,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2
TOTAL CAPITAL FUNDS,287.5,286.2,268.7,249.9,234.9,219.9,204.9,189.9,174.9,159.9,144.9,129.9
TOTAL FUND EQUITY,1655.9,1662.7,2042.8,1682.9,1508.5,1078.3,1092.7,1148.0,799.2,1095.5,824.9,723.0
