0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30
General,765.3,790.1,1155.4,910.3,933.3,862.0,875.6,880.6,529.8,905.8,629.4,505.2
Grants Revenue,335.1,328.8,316.7,260.9,217.7,197.1,118.4,3.0,(12.7),9.7,(15.4),(10.9)
Community Development,(8.9),(15.5),(10.6),(9.0),(5.2),(1.3),8.2,(5.5),(3.3),(0.3),0.2,(6.5)
Vehicle Rental Tax,10.5,10.9,4.4,4.8,5.2,5.6,5.9,6.3,6.7,7.1,7.5,7.9
Hospital Assessment Fund,22.8,22.0,69.2,24.0,23.6,63.8,21.1,13.3,24.2,14.1,37.8,15.9
Housing Trust Fund,74.1,70.4,69.2,70.2,89.9,89.1,86.7,67.3,65.2,63.1,61.0,58.9
Budget Stabilization Fund,34.3,34.3,34.3,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Funds,8.4,8.5,8.7,8.7,8.8,9.6,9.6,9.6,9.6,9.6,9.6,9.6
TOTAL OPERATING FUNDS,1241.5,1249.6,1647.2,1304.2,1273.3,1225.8,1125.4,974.5,619.5,1009.1,730.2,580.1
Capital Improvement,277.3,276.0,258.5,"239,7",227.1,224.3,209.9,194.9,179.9,164.9,149.9,134.9
Industrial & Commercial Dev.,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2
TOTAL CAPITAL FUNDS,287.5,286.2,268.7,249.9,237.3,234.6,220.1,205.1,190.1,175.1,160.1,145.1
TOTAL FUND EQUITY,1529.0,1535.7,1915.9,1554.1,1510.6,1460.4,1345.5,1179.7,809.6,1184.3,890.3,725.3
