0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30
General,765.3,790.1,1155.4,910.3,933.3,862.0,874.1,933.2,788.6,1089.0,844.9,663.8
Grants Revenue,335.1,328.8,316.7,260.9,217.7,197.1,119.2,90.7,110.8,91.4,687.6,677.1
Community Development,(8.9),(15.5),(10.6),(9.0),(5.2),(1.3),8.2,5.3,4.0,4.0,0.2,(6.5)
Vehicle Rental Tax,10.5,10.9,4.4,4.8,5.2,5.6,5.9,6.1,6.8,6.8,7.2,7.6
Hospital Assessment Fund,22.8,22.0,69.2,24.0,23.6,63.8,21.1,20.7,23.1,23.1,37.8,15.9
Housing Trust Fund,74.1,70.4,69.2,70.2,89.9,89.1,86.7,86.6,85.3,85.3,61.0,58.9
Budget Stabilization Fund,34.3,34.3,34.3,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Funds,8.4,8.5,8.7,8.7,8.8,9.6,9.6,9.3,8.9,9.2,9.2,9.2
TOTAL OPERATING FUNDS,1241.5,1249.6,1647.2,1304.2,1273.3,1225.8,1124.8,1151.9,1027.5,1308.8,1648.0,1426.0
Capital Improvement,277.3,276.0,258.5,239.7,227.1,224.3,209.9,180.5,175.3,157.0,142.0,127.0
Industrial & Commercial Dev.,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2
TOTAL CAPITAL FUNDS,287.5,286.2,268.7,249.9,237.3,234.6,220.1,190.7,185.6,167.2,152.2,137.2
TOTAL FUND EQUITY,1529.0,1535.7,1915.9,1554.1,1510.6,1460.4,1344.9,1342.6,1213.1,1475.9,1800.2,1563.2
