0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30
General,1535.8,1584.6,1433.0,1490.4,1460.9,1320.4,1191.1,1124.1,1214.9,1626.3,1618.3,1473.6
Grants Revenue,1120.3,1312.8,1414.4,1412.7,1315.1,1162.7,1127.3,1234.7,859.7,984.7,931.3,864.2
Community Development,(2.1),(7.9),(12.7),(12.4),(4.2),(6.1),(5.2),(3.0),(2.0),"3,0",2.5,"0,0"
Vehicle Rental Tax,8.2,9.0,2.7,3.3,3.7,4.2,4.6,5.0,5.4,5.7,6.1,6.6
Hospital Assessment Fund,22.2,21.4,31.1,23.0,18.1,43.3,18.8,18.4,25.1,19.8,47.2,22.7
Housing Trust Fund,84.7,114.0,113.2,104.5,93.8,91.7,89.6,87.5,85.4,83.3,81.2,79.1
Budget Stabilization Fund,0.0,0.0,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1
Other Funds,14.7,"14,5","15,3",14.8,11.7,11.6,11.4,11.3,11.1,11.0,10.8,10.7
TOTAL OPERATING FUNDS,2783.9,3048.3,3037.1,3076.4,2939.2,2667.9,2477.7,2518.0,2239.7,2773.9,2737.5,2497.0
Capital Improvement,350.9,339.5,326.3,326.8,311.8,296.8,281.8,266.8,251.8,236.8,221.8,206.8
Industrial & Commercial Dev.,10.2,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3
TOTAL CAPITAL FUNDS,361.1,349.8,336.6,337.0,322.0,307.0,292.0,277.0,262.0,247.1,232.1,217.1
TOTAL FUND EQUITY,3145.0,3398.2,3373.7,3413.4,3261.3,2975.0,2769.8,2795.1,2501.8,3021.0,2969.5,2714.0
