0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 29,March 31,April 30,May 31,June 30
General,281.9,528.0,527.8,407.5,411.8,361.7,430.2,709.1,339.8,458.9,370.4,336.8
Grants Revenue,(62.0),(81.5),(67.4),(221.9),(257.0),(307.6),(194.4),(172.1),(179.5),(180.9),(162.1),(112.0)
Community Development,(7.9),(6.1),(5.1),(1.7),(3.2),(1.3),(4.0),(4.1),(6.3),(2.8),(3.2),(6.0)
Vehicle Rental Tax,6.7,7.2,1.8,2.3,5.4,5.8,6.1,6.5,5.8,6.3,5.7,6.1
Hospital Assessment Fund,11.0,10.2,9.7,8.8,8.5,14.4,8.1,7.9,20.8,8.8,25.5,19.1
Housing Trust Fund,19.9,20.7,21.2,16.0,15.7,16.2,14.9,15.1,14.9,14.6,14.5,14.1
Other Funds,7.2,7.4,6.6,6.6,28.3,30.9,14.7,18.4,1.8,14.1,16.8,33.2
TOTAL OPERATING FUNDS,256.9,486.0,494.6,217.6,209.5,120.2,275.8,580.8,197.3,318.9,267.5,291.3
Capital Improvement,33.2,26.7,21.5,214.7,207.2,199.7,192.2,184.7,177.2,169.7,162.2,154.7
Industrial & Commercial Dev.,4.5,4.5,4.5,4.2,4.3,3.9,3.9,3.8,3.8,3.6,3.6,3.7
TOTAL CAPITAL FUNDS,37.7,31.3,26.1,218.9,211.4,203.5,196.0,188.4,180.9,173.3,165.8,158.4
TOTAL FUND EQUITY,294.6,517.2,520.7,436.5,420.9,323.7,471.8,769.3,378.3,492.2,433.3,449.7
