0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30
General,268.3,213.0,270.2,222.7,175.1,278.0,328.7,579.7,248.6,318.4,296.5,254.9
Grants Revenue,(80.8),34.0,41.6,(8.6),(69.7),(114.5),(87.0),(185.5),(130.1),(162.0),(198.3),(127.7)
Community Development,(7.6),(5.1),(4.4),2.6,(5.9),(1.9),(3.2),(4.5),(4.4),(4.3),(6.5),(7.1)
Vehicle Rental Tax,6.4,7.0,7.5,7.9,8.4,8.8,9.3,6.2,5.0,5.5,4.9,5.3
Hospital Assessment Fund,10.3,9.6,11.4,10.8,10.4,30.8,9.1,7.2,16.5,8.7,26.3,16.6
Housing Trust Fund,12.2,12.5,13.0,13.6,14.1,14.3,14.6,14.4,13.9,13.4,13.3,13.7
Other Funds,25.2,30.9,28.3,39.3,25.2,27.9,12.9,20.5,5.5,11.9,11.3,21.8
TOTAL OPERATING FUNDS,234.1,301.8,367.6,288.3,157.6,243.4,284.4,438.0,155.0,191.6,147.5,177.5
Capital Improvement,96.8,91.5,90.1,74.6,65.7,63.7,50.5,43.5,36.5,29.5,22.5,15.5
Industrial & Commercial Dev.,3.8,3.8,3.8,4.1,4.1,4.1,4.1,3.5,3.5,3.5,3.5,3.6
TOTAL CAPITAL FUNDS,100.6,95.3,93.9,78.7,69.8,67.8,"54,6",47.0,40.0,33.0,26.0,19.1
TOTAL FUND EQUITY,334.7,397.1,461.5,367.0,227.3,311.2,339.0,485.0,"195,0",224.6,173.5,196.6
