0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30
General,1535.8,1584.6,1433.0,1491.5,1472.4,1067.6,1085.2,1080.9,1107.0,1560.8,1541.2,1358.6
Grants Revenue,1120.3,1312.8,1414.4,1412.7,1287.8,1282.2,1234.2,1234.7,859.7,984.7,931.3,864.2
Community Development,(2.1),(7.9),(12.7),(12.4),(10.3),(30.5),(31.6),(3.0),(2.0),3.0,2.5,0.0
Vehicle Rental Tax,8.2,9.0,2.7,3.3,3.9,4.5,5.0,5.0,5.4,5.7,6.1,6.6
Hospital Assessment Fund,22.2,21.4,31.1,23.0,22.1,34.8,19.3,18.4,25.1,19.8,47.2,22.7
Housing Trust Fund,84.7,114.0,113.2,104.5,103.5,101.9,100.7,87.5,85.4,83.3,81.2,79.1
Budget Stabilization Fund,0.0,0.0,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,65.1
Other Funds,"14,7",14.5,"15,3",14.8,15.1,15.2,14.9,11.3,11.1,11.0,10.8,10.7
TOTAL OPERATING FUNDS,2783.9,3048.3,3037.1,3077.5,2934.8,2515.9,2467.9,2474.8,2131.8,2708.4,2660.3,2407.0
Capital Improvement,350.9,339.5,326.3,326.8,319.6,366.8,434.1,419.1,404.1,389.1,374.1,359.1
Industrial & Commercial Dev.,10.2,10.3,10.3,10.3,10.3,10.4,10.4,10.4,10.4,10.4,10.4,10.4
TOTAL CAPITAL FUNDS,361.1,349.8,336.6,337.0,329.9,377.1,444.5,429.5,414.5,399.5,384.5,369.5
TOTAL FUND EQUITY,3145.0,3398.2,3373.7,3414.5,3264.7,2893.1,2912.3,2904.3,2546.2,3107.9,3044.8,2776.4
