0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 29,March 31,April 30,May 31,June 30,Total,Accrued,Estimated Revenues,
REVENUES,,,,,,,,,,,,,,,,
Real Estate Tax,10.2,7.1,8.6,8.3,6.4,14.1,45.7,324.7,116.8,24.4,9.9,7.4,583.6,,583.6,
"Total Wage, Earnings, Net Profits",125.5,102.5,102.0,110.0,120.9,108.3,137.7,108.2,116.9,138.2,114.2,104.8,1389.1,,1389.1,
Realty Transfer Tax,25.0,23.2,18.6,20.1,15.4,18.9,16.4,12.3,17.8,19.6,19.5,23.0,229.8,,229.8,
Sales Tax,15.1,27.0,11.7,11.0,13.1,10.5,10.8,11.6,10.3,10.1,11.9,11.5,154.4,,154.4,
Business Income & Receipts Tax,5.3,3.8,18.2,22.2,0.3,5.6,13.9,3.0,46.0,225.6,106.5,6.8,457.1,,457.1,
Other Taxes,9.8,12.1,8.8,8.2,8.3,8.0,7.6,9.4,7.4,14.4,8.8,8.5,111.3,,111.3,
Locally Generated Non-tax,22.9,29.2,25.1,21.4,21.9,18.7,21.1,23.7,26.9,19.1,24.1,30.2,284.4,,284.4,
Total Other Governments,11.8,59.8,69.6,13.7,53.8,9.8,22.0,12.1,9.5,13.8,13.3,12.7,301.9,(1.2),300.8,
Total PICA Other Governments,31.4,28.8,27.4,30.8,30.6,23.3,29.9,26.8,34.9,29.2,36.0,24.4,353.5,,353.5,
Interfund Transfers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.5,18.5,46.7,65.2,
Total Current Revenue,257.1,293.4,290.0,245.7,270.8,217.1,304.9,531.8,386.4,494.2,358.3,233.8,3883.6,45.6,3929.2,
Collection of prior year(s) revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Other fund balance adjustments,,,,,,,,,,,,,,,,
TOTAL CASH RECEIPTS,257.1,293.4,290.0,245.7,270.8,217.1,304.9,531.8,386.4,494.2,358.3,233.9,3883.6,,,
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 29,March 31,April 30,May 31,June 30,Total,Vouchers Payable,Encum- brances,Estimated Obligations
EXPENSES AND OBLIGATIONS Payroll,81.1,118.2,170.6,125.0,114.8,125.6,114.8,114.8,161.1,114.8,114.8,125.6,1480.9,65.4,3.5,1549.9
Employee Benefits,49.6,42.0,44.0,47.8,42.8,44.6,42.8,42.8,57.4,42.8,42.8,44.7,543.9,16.1,"0,5",560.5
Pension,3.7,(7.9),(6.5),67.8,(1.8),(1.8),1.9,(1.8),449.2,114.4,(1.8),(3.9),611.7,,,611.7
Purchase of Services,44.4,32.0,77.9,68.1,75.1,61.3,52.2,59.9,67.5,81.4,53.4,69.2,742.2,21.8,72.8,836.9
"Materials, Equipment",3.1,3.0,7.6,7.5,7.2,6.6,7.8,6.5,7.1,8.3,7.1,10.2,82.1,4.0,14.6,100.7
"Contributions, Indemnities",14.2,5.8,10.4,39.0,24.9,12.7,3.6,4.2,9.3,5.1,52.9,5.5,187.6,,,187.6
Debt Service-Short Term,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,0",0.0,0.0,0.0,4.5,4.5,,,4.5
Debt Service-Long Term,77.4,0.9,0.1,0.0,0.1,14.4,9.8,21.5,0.9,4.9,1.0,5.9,136.9,,,136.9
Interfund Charges,0.3,"0,0",0.0,0.0,"0,0",1.0,0.1,"0,0",0.0,1.5,0.7,4.5,8.1,24.7,,32.7
Advances & Misc. Pmts. / Labor Obligations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,0",0.0,0.0,0.0,0.0,0.0,,,0.0
Current Year Appropriation,273.7,194.1,304.2,355.2,263.1,264.5,232.9,247.8,752.4,373.1,270.9,266.1,3797.9,132.0,91.4,4021.4
Prior Yr. Expenditures against Encumbrances,27.9,21.2,10.9,7.5,3.4,2.6,3.6,5.1,3.2,2.1,"0,9",1.4,89.8,,,
Prior Yr. Salaries & Vouchers Payable,73.9,7.1,(25.0),3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.5,,,
TOTAL DISBURSEMENTS,375.5,222.4,290.2,366.1,266.5,267.2,236.4,252.9,755.6,375.2,271.8,267.5,3947.2,,,
Excess (Def) of Receipts over Disbursements,(118.5),71.0,(0.1),(120.3),4.3,(50.1),68.5,278.9,(369.2),119.0,86.6,(33.7),,,,
Opening Balance,400.4,281.9,528.0,527.8,407.5,411.8,361.7,430.2,709.1,339.8,458.9,370.4,,,,
TRAN,0.0,175.0,"0,0",0.0,"0,0",0.0,0.0,"0,0",0.0,0.0,(175.0),0.0,,,,
,,,,,,,,,,,,,,,,
CLOSING BALANCE,281.9,528.0,527.8,407.5,411.8,361.7,430.2,709.1,"339,8",458.9,370.4,336.8,,,,
