0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Accrued,Estimated Revenues,
REVENUES,,,,,,,,,,,,,,,,
Real Estate Tax,8.3,7.8,7.5,7.4,7.5,12.2,40.7,313.3,105.4,21.2,8.1,3.3,542.8,,542.8,
"Total Wage, Earnings, Net Profits",117.0,97.3,96.6,124.8,100.7,108.0,123.9,111.7,112.6,138.5,108.6,99.2,1338.9,,1338.9,
Realty Transfer Tax,15.8,17.0,20.0,13.3,13.9,23.1,14.7,13.4,16.9,16.2,17.7,19.9,201.7,,201.7,
Sales Tax,22.3,22.2,10.8,10.5,11.6,10.5,11.3,11.3,12.4,12.7,14.2,13.3,163.1,(18.3),144.9,
Business Income & Receipts Tax,4.1,1.9,17.7,7.1,0.7,3.8,23.9,7.0,42.6,223.8,112.1,6.6,451.3,,451.3,
Other Taxes,7.9,10.3,8.6,7.4,8.1,7.7,7.5,8.1,6.4,13.1,8.0,7.4,100.4,,100.4,
Locally Generated Non-tax,26.4,19.2,19.4,24.8,19.5,19.6,26.0,23.6,26.7,17.9,24.0,24.2,271.2,28.0,299.2,
Total Other Governments,2.4,48.4,66.0,69.6,16.5,9.7,6.8,16.9,17.5,9.4,10.5,8.1,281.9,24.1,306.0,
Total PICA Other Governments,24.8,13.7,31.1,26.5,27.9,15.3,36.7,29.7,37.6,29.6,40.2,"23,9",337.0,,337.0,
Interfund Transfers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.8,14.9,49.4,64.2,
Total Current Revenue,228.9,237.8,277.6,291.3,206.4,210.1,291.5,535.1,378.0,482.4,357.2,206.9,3703.2,73.5,3786.4,
Collection of prior year(s) revenue,10.3,8.7,0.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.8,,,
Other fund balance adjustments,,,,,,,,,,,,,,,,
TOTAL CASH RECEIPTS,239.2,246.5,277.6,303.1,206.4,210.1,291.5,535.1,378.0,482.4,357.2,206.9,3734.0,,,
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Vouchers Payable,Encum- brances,Estimated Obligations
EXPENSES AND OBLIGATIONS Payroll,79.5,108.8,122.7,154.3,107.9,121.0,116.3,111.7,129.1,156.1,112.8,112.8,1432.9,61.2,,1494.1
Employee Benefits,42.8,42.3,51.8,54.3,43.0,42.8,40.7,38.3,38.4,52.8,"39,5",42.3,529.0,16.6,,545.6
Pension,3.7,(6.5),4.0,55.8,(7.4),(2.1),(6.1),(1.6),422.8,111.8,0.8,0.8,576.1,,,576.1
Purchase of Services,39.6,31.6,84.1,68.8,52.1,71.0,50.9,59.3,73.8,85.4,59.1,63.0,738.6,15.1,70.4,824.0
"Materials, Equipment",3.2,5.0,8.5,9.1,4.4,4.6,5.0,5.6,6.6,7.7,6.4,9.4,75.5,4.7,13.9,94.0
"Contributions, Indemnities",19.4,4.6,4.2,9.9,4.4,14.9,2.3,3.4,9.8,4.7,51.3,21.8,150.6,"0,5",,151.2
Debt Service-Short Term,0.0,"0,0",0.0,0.0,0.0,0.0,0.0,"0,0",0.0,0.0,0.0,0.8,0.8,,,0.8
Debt Service-Long Term,18.7,66.5,0.1,0.0,10.5,9.2,21.0,3.8,0.5,0.1,"0,0",2.7,133.1,,,133.1
Interfund Charges,0.3,"0,0",0.0,0.0,0.0,0.0,"0,5","0,0",0.0,14.4,0.4,5.4,21.0,22.1,,43.1
Advances & Misc. Pmts. / Labor Obligations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,7",0.7,0.7,"0,7",0.7,3.4,,,3.4
Current Year Appropriation,207.2,252.3,275.5,352.2,214.8,261.3,230.5,221.1,681.6,433.6,271.1,259.7,3660.9,120.1,84.3,3865.3
Prior Yr. Expenditures against Encumbrances,48.1,19.0,18.2,7.1,3.2,4.5,6.8,7.2,5.0,3.8,3.2,2.8,128.7,,,
Prior Yr. Salaries & Vouchers Payable,22.8,33.6,2.1,18.1,(23.3),23.1,10.9,0.0,0.0,0.0,0.0,0.0,87.4,,,
TOTAL DISBURSEMENTS,278.2,304.9,295.7,377.4,194.7,288.9,248.3,228.2,686.5,437.4,274.3,262.5,3877.0,,,
Excess (Def) of Receipts over Disbursements,(39.0),(58.5),(18.0),(74.3),11.8,(78.8),43.2,306.8,(308.5),45.0,"82,9",(55.6),,,,
Opening Balance,448.9,409.9,351.5,333.4,259.1,"400,9",322.1,365.3,672.1,363.6,408.6,361.5,,,,
TRAN,0.0,0.0,"0,0",0.0,130.0,0.0,0.0,"0,0",0.0,0.0,(130.0),0.0,,,,
,,,,,,,,,,,,,,,,
CLOSING BALANCE,409.9,"351,5",333.4,259.1,400.9,322.1,365.3,672.1,"363,6",408.6,361.5,305.9,,,,
