dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,fiscal_year,class_900,total,dept_name,dept_code,abbreviation,dept_major_code
& Inspection-Demolition,0.0,0.0,0.0,0.0,0.0,0.0,2004,0,0.0,L&I: Demolition,26-D,,26
Art Museum,0.0,0.0,0.0,2250000.0,0.0,0.0,2004,0,2250000.0,Art Museum,34,,34
Atwater Kent Museum,285546.0,5850.0,0.0,0.0,0.0,0.0,2004,0,291396.0,Atwater Kent Museum,18,Atwater Kent,18
Auditing,6956898.0,496015.0,46064.0,0.0,0.0,0.0,2004,0,7498977.0,City Controller's Office,61,,61
Board of Building Standards,99429.0,125.0,628.0,0.0,0.0,0.0,2004,0,100182.0,L&I: Board of Building and Standards,29,,29
Board of L.&I. Review,163650.0,30217.0,567.0,0.0,0.0,0.0,2004,0,194434.0,L&I: Board of Review,27,,27
Board of Revision of Taxes,7275313.0,444279.0,168445.0,0.0,0.0,0.0,2004,0,7888037.0,Board of Revision of Taxes,63,BRT,63
Camp William Penn,216643.0,113651.0,80189.0,0.0,0.0,0.0,2004,0,410483.0,Camp William Penn,19,,19
Capital Program Office,1143261.0,379809.0,86829.0,0.0,0.0,650000.0,2004,0,2259899.0,Capital Program Office,07,,07
City Commissioners,4706830.0,3183514.0,570048.0,0.0,0.0,0.0,2004,0,8460392.0,City Commissioner's Office,73,City Commissioners,73
City Council,11026478.0,1783134.0,533244.0,0.0,0.0,0.0,2004,0,13342856.0,City Council,01,,01
City Planning,3158314.0,122611.0,64765.0,0.0,0.0,0.0,2004,0,3345690.0,City Planning Commission,51,,51
City Treasurer,625411.0,82992.0,26980.0,0.0,0.0,0.0,2004,0,735383.0,Office of the City Treasurer,40,City Treasurer,40
Civic Center,150435.0,81649.0,1579.0,0.0,0.0,0.0,2004,0,233663.0,Division of Aviation,43,Aviation,43
Civil Service,126153.0,153.0,1840.0,0.0,0.0,0.0,2004,0,128146.0,Civil Service Commission,55,,55
Clerk of Quarter Sessions,4525499.0,22268.0,70394.0,0.0,0.0,0.0,2004,0,4618161.0,Clerk of Quarter Sessions,64,,64
Commerce-Economic Stimulus,0.0,4131250.0,0.0,0.0,0.0,0.0,2004,0,4131250.0,Commerce: Economic Stimulus,42-ES,,42
Community College Subsidy,0.0,0.0,0.0,22467924.0,0.0,0.0,2004,0,22467924.0,Finance: Community College Subsidy,35-CC,,35
Convention Center Subsidy,0.0,0.0,0.0,0.0,0.0,31995000.0,2004,0,31995000.0,Commerce: Convention Center Subsidy,42-CC,,42
Debt Service (Sinking Fund),0.0,70794819.0,0.0,0.0,93718992.0,0.0,2004,0,164513811.0,Sinking Fund Commission,37,Sinking Fund,37
Director of Finance,8513163.0,7293264.0,224862.0,9392691.0,0.0,30982.0,2004,0,25454962.0,Office of the Director of Finance,35,Finance,35
