dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,total,fiscal_year,dept_name,dept_code,abbreviation,dept_major_code
Art Museum,0.0,0.0,0.0,2620000.0,0.0,0.0,0.0,2620000.0,2016,Art Museum,34,,34
Atwater Kent Museum,223470.0,0.0,0.0,50000.0,0.0,0.0,0.0,273470.0,2016,Atwater Kent Museum,18,Atwater Kent,18
Auditing (City Controller),7994175.0,392741.0,24955.0,0.0,0.0,0.0,0.0,8411871.0,2016,City Controller's Office,61,,61
Board of Ethics,862716.0,50982.0,11009.0,0.0,0.0,0.0,0.0,924707.0,2016,Board of Ethics,45,,45
Board of Revision of Taxes,890697.0,18953.0,14075.0,71499.0,0.0,0.0,0.0,995224.0,2016,Board of Revision of Taxes,63,BRT,63
City Commissioners,5514242.0,3864760.0,716470.0,0.0,0.0,0.0,0.0,10095472.0,2016,City Commissioner's Office,73,City Commissioners,73
City Council,12842195.0,1626341.0,452964.0,591000.0,0.0,0.0,0.0,15512500.0,2016,City Council,01,,01
City Planning Commission,2211557.0,139357.0,39872.0,0.0,0.0,0.0,0.0,2390786.0,2016,City Planning Commission,51,,51
City Representative,453196.0,561726.0,53922.0,0.0,0.0,0.0,0.0,1068844.0,2016,Office of the City Representative,41,City Rep,41
City Treasurer,985689.0,107442.0,21825.0,0.0,0.0,0.0,0.0,1114956.0,2016,Office of the City Treasurer,40,City Treasurer,40
Civil Service Commission,150173.0,29500.0,300.0,0.0,0.0,0.0,0.0,179973.0,2016,Civil Service Commission,55,,55
Commerce,2351610.0,1780385.0,36603.0,500000.0,0.0,0.0,0.0,4668598.0,2016,Office of the Director of Commerce,42,Commerce,42
Commerce-Convention Center Subsidy,0.0,15000000.0,0.0,0.0,0.0,0.0,0.0,15000000.0,2016,Commerce: Convention Center Subsidy,42-CC,,42
Commerce-Economic Stimulus,0.0,3294448.0,0.0,0.0,0.0,0.0,0.0,3294448.0,2016,Commerce: Economic Stimulus,42-ES,,42
District Attorney,32810833.0,2391233.0,491150.0,5000.0,0.0,0.0,0.0,35698216.0,2016,District Attorney's Office,69,DAO,69
Finance,10819419.0,4115309.0,104341.0,7601919.0,0.0,0.0,0.0,22640988.0,2016,Office of the Director of Finance,35,Finance,35
Finance-Community College Subsidy,0.0,0.0,0.0,30309207.0,0.0,0.0,0.0,30309207.0,2016,Finance: Community College Subsidy,35-CC,,35
Finance-Employee Benefits,1181264999.0,0.0,0.0,0.0,0.0,0.0,0.0,1181264999.0,2016,Finance: Employee Benefits,35-EB,Employee Benefits,35
Finance-Hero Scholarship Awards,0.0,0.0,0.0,18000.0,0.0,0.0,0.0,18000.0,2016,Finance: Hero Scholarship Awards,35-HA,,35
Finance-Indemnities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,Finance: Indemnities,35-IN,,35
