dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,fiscal_year,total,dept_name,dept_code,abbreviation,dept_major_code
Art Museum,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,2006,2000000.0,Art Museum,34,,34
Atwater Kent Museum,261250.0,5770.0,0.0,0.0,0.0,0.0,0.0,2006,267020.0,Atwater Kent Museum,18,Atwater Kent,18
Auditing,6780793.0,471007.0,78566.0,0.0,0.0,0.0,0.0,2006,7330366.0,City Controller's Office,61,,61
Board of Building Standards,99888.0,376.0,628.0,0.0,0.0,0.0,0.0,2006,100892.0,L&I: Board of Building and Standards,29,,29
Board of Ethics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006,0.0,Board of Ethics,45,,45
Board of L.&I. Review,159089.0,18637.0,562.0,0.0,0.0,0.0,0.0,2006,178288.0,L&I: Board of Review,27,,27
Board of Revision of Taxes,7380015.0,282879.0,112642.0,0.0,0.0,357343.0,0.0,2006,8132879.0,Board of Revision of Taxes,63,BRT,63
Camp William Penn,138213.0,101673.0,49529.0,0.0,0.0,0.0,0.0,2006,289415.0,Camp William Penn,19,,19
Capital Program Office,713697.0,336992.0,85446.0,0.0,0.0,572000.0,0.0,2006,1708135.0,Capital Program Office,07,,07
City Commissioners,4503445.0,3202061.0,548899.0,0.0,0.0,0.0,0.0,2006,8254405.0,City Commissioner's Office,73,City Commissioners,73
City Council,10676871.0,1375291.0,402413.0,0.0,0.0,0.0,0.0,2006,12454575.0,City Council,01,,01
City Planning,2970994.0,107594.0,58900.0,0.0,0.0,0.0,0.0,2006,3137488.0,City Planning Commission,51,,51
City Representative/Commerce,1103496.0,1298096.0,93717.0,2100000.0,0.0,0.0,0.0,2006,4595309.0,Office of the City Representative,41,City Rep,41
City Treasurer,603563.0,50079.0,23687.0,0.0,0.0,0.0,0.0,2006,677329.0,Office of the City Treasurer,40,City Treasurer,40
Civil Service,128924.0,24500.0,1817.0,0.0,0.0,0.0,0.0,2006,155241.0,Civil Service Commission,55,,55
Clerk of Quarter Sessions,4219043.0,21298.0,56887.0,0.0,0.0,0.0,0.0,2006,4297228.0,Clerk of Quarter Sessions,64,,64
Commerce-Economic Stimulus,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,2006,4000000.0,Commerce: Economic Stimulus,42-ES,,42
Community College Subsidy,0.0,0.0,0.0,22467924.0,0.0,0.0,0.0,2006,22467924.0,Finance: Community College Subsidy,35-CC,,35
Convention Center Subsidy,0.0,0.0,0.0,0.0,0.0,0.0,38604007.0,2006,38604007.0,Commerce: Convention Center Subsidy,42-CC,,42
Debt Service (Sinking Fund),0.0,77004918.0,0.0,0.0,82917408.0,0.0,0.0,2006,159922326.0,Sinking Fund Commission,37,Sinking Fund,37
Director of Finance,8617260.0,9766821.0,502898.0,3864998.0,0.0,417100.0,0.0,2006,23169077.0,Office of the Director of Finance,35,Finance,35
District Attorney,26188801.0,1669256.0,790401.0,0.0,0.0,0.0,0.0,2006,28648458.0,District Attorney's Office,69,DAO,69
Fairmount Park Commission,8429422.0,2733256.0,609034.0,850000.0,0.0,0.0,0.0,2006,12621712.0,Fairmount Park Commission,17,,17
