dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,total,fiscal_year,dept_name,dept_code,abbreviation,dept_major_code
Art Museum,0.0,0.0,0.0,2550500.0,0.0,0.0,0.0,2550500.0,2018,Art Museum,34,,34
Atwater Kent Museum,256771.0,0.0,0.0,50000.0,0.0,0.0,0.0,306771.0,2018,Atwater Kent Museum,18,Atwater Kent,18
Auditing (City Controller),8324348.0,418276.0,19630.0,0.0,0.0,0.0,0.0,8762254.0,2018,City Controller's Office,61,,61
Board of Ethics,942040.0,27850.0,4454.0,0.0,0.0,0.0,0.0,974344.0,2018,Board of Ethics,45,,45
Board of Revision of Taxes,904051.0,33238.0,15242.0,0.0,0.0,0.0,0.0,952531.0,2018,Board of Revision of Taxes,63,BRT,63
City Commissioners,5524532.0,3790884.0,541610.0,267500.0,0.0,0.0,0.0,10124526.0,2018,City Commissioner's Office,73,City Commissioners,73
City Council,13909585.0,2094604.0,522619.0,432268.0,0.0,0.0,0.0,16959076.0,2018,City Council,01,,01
City Representative,631584.0,461959.0,23294.0,0.0,0.0,0.0,0.0,1116837.0,2018,Office of the City Representative,41,City Rep,41
City Treasurer,1064446.0,100862.0,12166.0,0.0,0.0,0.0,0.0,1177474.0,2018,Office of the City Treasurer,40,City Treasurer,40
Civil Service Commission,163743.0,29500.0,220.0,0.0,0.0,0.0,0.0,193463.0,2018,Civil Service Commission,55,,55
Commerce,2114325.0,2950549.0,16568.0,500000.0,0.0,0.0,0.0,5581442.0,2018,Office of the Director of Commerce,42,Commerce,42
Commerce-Convention Center Subsidy,0.0,15000000.0,0.0,0.0,0.0,0.0,0.0,15000000.0,2018,Commerce: Convention Center Subsidy,42-CC,,42
Commerce-Economic Stimulus,0.0,2854448.0,0.0,0.0,0.0,0.0,0.0,2854448.0,2018,Commerce: Economic Stimulus,42-ES,,42
District Attorney,32249281.0,2523902.0,522017.0,225000.0,0.0,0.0,0.0,35520200.0,2018,District Attorney's Office,69,DAO,69
Finance,6963917.0,2855622.0,77135.0,4366897.0,0.0,30000000.0,0.0,44263571.0,2018,Office of the Director of Finance,35,Finance,35
Finance-Budget Stabilization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,Finance: Budget Stabilization Reserve,35-BSR,,35
