dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,total,fiscal_year,dept_name,dept_code,abbreviation,dept_major_code
Art Museum,0.0,0.0,0.0,2550000.0,0.0,0.0,0.0,2550000.0,2019,Art Museum,34,,34
Atwater Kent Museum,0.0,0.0,0.0,250000.0,0.0,0.0,0.0,250000.0,2019,Atwater Kent Museum,18,Atwater Kent,18
Auditing (City Controller),8650965.0,376030.0,24427.0,0.0,0.0,0.0,0.0,9051422.0,2019,City Controller's Office,61,,61
Board of Ethics,875033.0,43538.0,7067.0,0.0,0.0,0.0,0.0,925638.0,2019,Board of Ethics,45,,45
Board of Revision of Taxes,928286.0,34658.0,15408.0,0.0,0.0,0.0,0.0,978352.0,2019,Board of Revision of Taxes,63,BRT,63
City Commissioners,5830533.0,5028766.0,5270120.0,357500.0,0.0,0.0,0.0,16486919.0,2019,City Commissioner's Office,73,City Commissioners,73
City Council,14104805.0,1931455.0,499331.0,1740.0,0.0,0.0,0.0,16537331.0,2019,City Council,01,,01
City Representative,714833.0,306555.0,12712.0,0.0,0.0,0.0,0.0,1034100.0,2019,Office of the City Representative,41,City Rep,41
City Treasurer,1098380.0,535106.0,18925.0,0.0,0.0,0.0,0.0,1652411.0,2019,Office of the City Treasurer,40,City Treasurer,40
Civil Service Commission,168597.0,29500.0,400.0,0.0,0.0,0.0,0.0,198497.0,2019,Civil Service Commission,55,,55
Commerce,3028159.0,3793746.0,18398.0,500000.0,0.0,0.0,0.0,7340303.0,2019,Office of the Director of Commerce,42,Commerce,42
Commerce-Convention Center Subsidy,0.0,15000000.0,0.0,0.0,0.0,0.0,0.0,15000000.0,2019,Commerce: Convention Center Subsidy,42-CC,,42
Commerce-Economic Stimulus,0.0,21242883.0,0.0,0.0,0.0,0.0,0.0,21242883.0,2019,Commerce: Economic Stimulus,42-ES,,42
District Attorney,34265564.0,3427641.0,1726611.0,2861279.0,0.0,0.0,0.0,42281095.0,2019,District Attorney's Office,69,DAO,69
Finance,7756138.0,2828025.0,73980.0,6531063.0,0.0,141193804.0,0.0,158383010.0,2019,Office of the Director of Finance,35,Finance,35
Finance-Budget Stabilization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,Finance: Budget Stabilization Reserve,35-BSR,,35
Finance-Community College Subsidy,0.0,0.0,0.0,32409207.0,0.0,0.0,0.0,32409207.0,2019,Finance: Community College Subsidy,35-CC,,35
Finance-Employee Benefits,1371066396.0,0.0,0.0,0.0,0.0,0.0,0.0,1371066396.0,2019,Finance: Employee Benefits,35-EB,Employee Benefits,35
Finance-Hero Scholarship Awards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,Finance: Hero Scholarship Awards,35-HA,,35
Finance-Indemnities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,Finance: Indemnities,35-IN,,35
Finance-Refunds,0.0,0.0,0.0,18667.0,0.0,0.0,0.0,18667.0,2019,Finance: Refunds,35-R,,35
Finance-Reg #32,2413758.0,0.0,0.0,0.0,0.0,0.0,0.0,2413758.0,2019,Finance: Reg #32,35-R32,,35
Finance-School District Contribution,0.0,0.0,0.0,180870541.0,0.0,0.0,0.0,180870541.0,2019,Finance: School District Contribution,35-SD,,35
Finance-Witness Fees,0.0,98988.0,0.0,0.0,0.0,0.0,0.0,98988.0,2019,Finance: Witness Fees,35-WF,,35
Fire,283319650.0,6881741.0,10653351.0,557551.0,0.0,8259300.0,0.0,309671593.0,2019,Fire Department,13,Fire,13
First Judicial District,100719400.0,10285571.0,2231867.0,0.0,0.0,0.0,0.0,113236838.0,2019,First Judicial District,84,FJD,84
Fleet Management,18501080.0,5674493.0,22820417.0,10000.0,0.0,0.0,0.0,47005990.0,2019,Office of Fleet Management,25,Fleet,25
Fleet Management -Vehicle Lease/Purch.,0.0,0.0,17297617.0,0.0,0.0,0.0,0.0,17297617.0,2019,Fleet: Vehicle Lease/Purchases,25-V,,25
Free Library,38004616.0,2289223.0,2302657.0,0.0,0.0,0.0,0.0,42596496.0,2019,The Free Library of Philadelphia,52,Free Library,52
Human Relations Commission,2071428.0,33162.0,22666.0,0.0,0.0,0.0,0.0,2127256.0,2019,Commission on Human Relations,54,Human Relations,54
Human Services,22738842.0,82756805.0,1758129.0,193679.0,0.0,0.0,0.0,107447455.0,2019,Department of Human Services,22,DHS,22
L&I-Board of Building Standards,83562.0,0.0,0.0,0.0,0.0,0.0,0.0,83562.0,2019,L&I: Board of Building and Standards,29,,29
L&I-Board of L&I Review,129561.0,10436.0,0.0,0.0,0.0,0.0,0.0,139997.0,2019,L&I: Board of Review,27,,27
Labor,1586766.0,171473.0,11292.0,0.0,0.0,0.0,0.0,1769531.0,2019,Labor,03,,03
Law,8802032.0,6424340.0,236447.0,0.0,0.0,0.0,0.0,15462819.0,2019,Law Department,44,Law,44
Licenses & Inspection,23626633.0,13464166.0,932312.0,288595.0,0.0,0.0,0.0,38311706.0,2019,Department of Licenses and Inspections,26,L&I,26
Managing Director,20519487.0,23689437.0,837796.0,258205.0,0.0,0.0,0.0,45304925.0,2019,Managing Director's Office,10,MDO,10
Managing Director-Legal Services,0.0,51574391.0,0.0,0.0,0.0,0.0,0.0,51574391.0,2019,MDO: Legal Services,10-LS,,10
Mayor's Office,4779593.0,641167.0,14978.0,0.0,0.0,0.0,0.0,5435738.0,2019,Mayor's Office,05,Mayor,05
Mayor's Office - Scholarships,0.0,0.0,0.0,181000.0,0.0,0.0,0.0,181000.0,2019,Mayor's Office: Scholarships,05-S,,05
Mural Arts Program,587931.0,1779296.0,0.0,0.0,0.0,0.0,0.0,2367227.0,2019,Mural Arts Program,50,Mural Arts,50
Office of Arts & Culture & the Creative Economy,453399.0,481065.0,5298.0,3370688.0,0.0,0.0,0.0,4310450.0,2019,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture,58
Office of Behavioral Health and Intellectual disAbility,1580748.0,15534786.0,0.0,0.0,0.0,0.0,0.0,17115534.0,2019,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,15
Office of Children and Families,2318022.0,23777911.0,18986.0,26530.0,0.0,0.0,0.0,26141449.0,2019,Office of Children and Families,66,OCF,66
Office of Community Empowerment and Opportunity,90000.0,-1750.0,0.0,0.0,0.0,0.0,0.0,88250.0,2019,Mayor's Office of Community Empowerment and Opportunity,08,CEO,08
