dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,fiscal_year,total,dept_name,dept_code,abbreviation,dept_major_code
Art Museum,0.0,0.0,0.0,2300000.0,0.0,0.0,0.0,2010,2300000.0,Art Museum,34,,34
Atwater Kent Museum,248059.0,0.0,0.0,50000.0,0.0,0.0,0.0,2010,298059.0,Atwater Kent Museum,18,Atwater Kent,18
Auditing,6886798.0,521219.0,0.0,0.0,0.0,0.0,0.0,2010,7408017.0,City Controller's Office,61,,61
Board of Building Standards,61224.0,0.0,59.0,0.0,0.0,0.0,0.0,2010,61283.0,L&I: Board of Building and Standards,29,,29
Board of Ethics,679563.0,23076.0,2906.0,0.0,0.0,0.0,0.0,2010,705545.0,Board of Ethics,45,,45
Board of L.&I. Review,120849.0,6191.0,0.0,0.0,0.0,0.0,0.0,2010,127040.0,L&I: Board of Review,27,,27
Board of Revision of Taxes,7074332.0,335998.0,52682.0,0.0,0.0,0.0,0.0,2010,7463012.0,Board of Revision of Taxes,63,BRT,63
City Commissioners,5858757.0,2741043.0,421344.0,0.0,0.0,0.0,0.0,2010,9021144.0,City Commissioner's Office,73,City Commissioners,73
City Council,11916408.0,1159186.0,297890.0,0.0,0.0,0.0,0.0,2010,13373484.0,City Council,01,,01
City Planning,2745493.0,109955.0,48572.0,0.0,0.0,0.0,0.0,2010,2904020.0,City Planning Commission,51,,51
City Representative,329524.0,544833.0,31805.0,0.0,0.0,0.0,0.0,2010,906162.0,Office of the City Representative,41,City Rep,41
City Treasurer,619313.0,7954.0,20292.0,0.0,0.0,0.0,0.0,2010,647559.0,Office of the City Treasurer,40,City Treasurer,40
Civil Service,128307.0,24500.0,1304.0,0.0,0.0,0.0,0.0,2010,154111.0,Civil Service Commission,55,,55
Clerk of Quarter Sessions,4445754.0,19275.0,44538.0,0.0,0.0,0.0,0.0,2010,4509567.0,Clerk of Quarter Sessions,64,,64
Commerce,1431917.0,252592.0,11862.0,0.0,0.0,0.0,0.0,2010,1696371.0,Office of the Director of Commerce,42,Commerce,42
Commerce-Economic Stimulus,0.0,1452386.0,0.0,0.0,0.0,0.0,0.0,2010,1452386.0,Commerce: Economic Stimulus,42-ES,,42
Community College Subsidy,0.0,0.0,0.0,26467924.0,0.0,0.0,0.0,2010,26467924.0,Finance: Community College Subsidy,35-CC,,35
Convention Center Subsidy,0.0,0.0,0.0,0.0,0.0,24171817.0,0.0,2010,24171817.0,Commerce: Convention Center Subsidy,42-CC,,42
Director of Finance,9559489.0,4273490.0,93398.0,1969035.0,0.0,0.0,0.0,2010,15895412.0,Office of the Director of Finance,35,Finance,35
District Attorney,29075731.0,881630.0,114158.0,0.0,0.0,0.0,0.0,2010,30071519.0,District Attorney's Office,69,DAO,69
Division of Technology,10540202.0,26273502.0,1707666.0,0.0,0.0,0.0,0.0,2010,38521370.0,Office of Innovation and Technology,04,OIT,04
