dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,fiscal_year,class_900,total,dept_name,dept_code,abbreviation,dept_major_code
Art Museum,0.0,0.0,0.0,3000000.0,0.0,0.0,2009,0,3000000.0,Art Museum,34,,34
Atwater Kent Museum,225971.0,0.0,0.0,50000.0,0.0,0.0,2009,0,275971.0,Atwater Kent Museum,18,Atwater Kent,18
Auditing,7362568.0,450845.0,69013.0,0.0,0.0,0.0,2009,0,7882426.0,City Controller's Office,61,,61
Board of Building Standards,91313.0,0.0,59.0,0.0,0.0,0.0,2009,0,91372.0,L&I: Board of Building and Standards,29,,29
Board of Ethics,677611.0,68975.0,16530.0,0.0,0.0,0.0,2009,0,763116.0,Board of Ethics,45,,45
Board of L.&I. Review,194190.0,11923.0,628.0,0.0,0.0,0.0,2009,0,206741.0,L&I: Board of Review,27,,27
Board of Revision of Taxes,7914757.0,813872.0,60098.0,0.0,0.0,0.0,2009,0,8788727.0,Board of Revision of Taxes,63,BRT,63
Capital Program Office,2004347.0,320233.0,34531.0,0.0,0.0,572000.0,2009,0,2931111.0,Capital Program Office,07,,07
City Commissioners,6081795.0,3048011.0,587205.0,0.0,0.0,0.0,2009,0,9717011.0,City Commissioner's Office,73,City Commissioners,73
City Council,12291886.0,2004813.0,249473.0,0.0,0.0,0.0,2009,0,14546172.0,City Council,01,,01
City Planning,2885063.0,111269.0,57286.0,0.0,0.0,0.0,2009,0,3053618.0,City Planning Commission,51,,51
City Representative,387224.0,945620.0,80196.0,3234812.0,0.0,0.0,2009,0,4647852.0,Office of the City Representative,41,City Rep,41
City Treasurer,556470.0,54638.0,20822.0,0.0,0.0,0.0,2009,0,631930.0,Office of the City Treasurer,40,City Treasurer,40
Civil Service,139532.0,24500.0,914.0,0.0,0.0,0.0,2009,0,164946.0,Civil Service Commission,55,,55
Clerk of Quarter Sessions,4881702.0,24542.0,53967.0,0.0,0.0,0.0,2009,0,4960211.0,Clerk of Quarter Sessions,64,,64
Commerce,1299648.0,314236.0,20273.0,0.0,0.0,0.0,2009,0,1634157.0,Office of the Director of Commerce,42,Commerce,42
Commerce-Economic Stimulus,0.0,1777500.0,0.0,0.0,0.0,0.0,2009,0,1777500.0,Commerce: Economic Stimulus,42-ES,,42
Community College Subsidy,0.0,0.0,0.0,26467924.0,0.0,0.0,2009,0,26467924.0,Finance: Community College Subsidy,35-CC,,35
Convention Center Subsidy,0.0,0.0,0.0,0.0,0.0,22652522.0,2009,0,22652522.0,Commerce: Convention Center Subsidy,42-CC,,42
Debt Service (Sinking Fund),0.0,86085384.0,0.0,0.0,100877281.0,0.0,2009,0,186962665.0,Sinking Fund Commission,37,Sinking Fund,37
Director of Finance,10598489.0,5885157.0,289356.0,1555195.0,0.0,1500000.0,2009,0,19828197.0,Office of the Director of Finance,35,Finance,35
District Attorney,29456083.0,1100190.0,187820.0,0.0,0.0,0.0,2009,0,30744093.0,District Attorney's Office,69,DAO,69
Division of Technology,8959109.0,26802120.0,635739.0,0.0,0.0,0.0,2009,0,36396968.0,Office of Innovation and Technology,04,OIT,04
Finance-Employee Benefits,973222933.0,0.0,0.0,0.0,0.0,0.0,2009,0,973222933.0,Finance: Employee Benefits,35-EB,Employee Benefits,35
Finance-PGW Reimbursement,0.0,0.0,0.0,18000000.0,0.0,0.0,2009,0,18000000.0,Finance: PGW Reimbursement,35-PGW,,35
Fire,169950366.0,6497626.0,6902403.0,0.0,0.0,5714000.0,2009,0,189064395.0,Fire Department,13,Fire,13
First Judicial District,90353679.0,23596020.0,2359174.0,0.0,0.0,0.0,2009,0,116308873.0,First Judicial District,84,FJD,84
Fleet Management,16978931.0,4115830.0,27045296.0,0.0,0.0,0.0,2009,0,48140057.0,Office of Fleet Management,25,Fleet,25
