dept_name_raw,total,fiscal_year,variable,time_period,as_of_date,dept_name,dept_code,abbreviation
Art Museum Subsidy,2300000,2013,Actual,Full Year,2013-06-30,Art Museum,34,
Atwater Kent Museum,270143,2013,Actual,Full Year,2013-06-30,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),7027133,2013,Actual,Full Year,2013-06-30,City Controller's Office,61,
Board of Ethics,712672,2013,Actual,Full Year,2013-06-30,Board of Ethics,45,
Board of Revision of Taxes,1056069,2013,Actual,Full Year,2013-06-30,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),8683402,2013,Actual,Full Year,2013-06-30,City Commissioner's Office,73,City Commissioners
City Council,13430973,2013,Actual,Full Year,2013-06-30,City Council,01,
City Planning Commission,2251986,2013,Actual,Full Year,2013-06-30,City Planning Commission,51,
City Representative,959503,2013,Actual,Full Year,2013-06-30,Office of the City Representative,41,City Rep
City Treasurer,883997,2013,Actual,Full Year,2013-06-30,Office of the City Treasurer,40,City Treasurer
Civil Service Commission (1),170585,2013,Actual,Full Year,2013-06-30,Civil Service Commission,55,
Commerce,2544250,2013,Actual,Full Year,2013-06-30,Office of the Director of Commerce,42,Commerce
Commerce-Convention Center Subsidy,15000000,2013,Actual,Full Year,2013-06-30,Commerce: Convention Center Subsidy,42-CC,
Commerce-Economic Stimulus,1294448,2013,Actual,Full Year,2013-06-30,Commerce: Economic Stimulus,42-ES,
District Attorney,31449689,2013,Actual,Full Year,2013-06-30,District Attorney's Office,69,DAO
Finance,17167409,2013,Actual,Full Year,2013-06-30,Office of the Director of Finance,35,Finance
Finance-Community College Subsidy,25409207,2013,Actual,Full Year,2013-06-30,Finance: Community College Subsidy,35-CC,
Finance - Employee Benefits,1119074214,2013,Actual,Full Year,2013-06-30,Finance: Employee Benefits,35-EB,Employee Benefits
Employee Benefits: Unemployment Compensation,3491713,2013,Actual,Full Year,2013-06-30,Employee Benefits: Unemployment Compensation,35-EB-UC,
Employee Benefits: Employee Disability,57372545,2013,Actual,Full Year,2013-06-30,Employee Benefits: Employee Disability,35-EB-DIS,
Employee Benefits: Pension Obligation Bonds,196609859,2013,Actual,Full Year,2013-06-30,Employee Benefits: Pension Obligation Bonds,35-EB-POB,
Employee Benefits: Pension,422264480,2013,Actual,Full Year,2013-06-30,Employee Benefits: Pension,35-EB-PEN,
Employee Benefits: FICA,64699067,2013,Actual,Full Year,2013-06-30,Employee Benefits: FICA,35-EB-FICA,
Employee Benefits: Flex Cash Payments,726258,2013,Actual,Full Year,2013-06-30,Employee Benefits: Flex Cash Payments,35-EB-FLEX,
Employee Benefits: Health/Medical,363177332,2013,Actual,Full Year,2013-06-30,Employee Benefits: Health/Medical,35-EB-HM,
Employee Benefits: Group Life Insurance,6794025,2013,Actual,Full Year,2013-06-30,Employee Benefits: Group Life Insurance,35-EB-GLI,
Employee Benefits: Group Legal,3845185,2013,Actual,Full Year,2013-06-30,Employee Benefits: Group Legal,35-EB-GL,
Employee Benefits: Tool Allowance,93750,2013,Actual,Full Year,2013-06-30,Employee Benefits: Tool Allowance,35-EB-TA,
Finance-Hero Scholarship Awards,21000,2013,Actual,Full Year,2013-06-30,Finance: Hero Scholarship Awards,35-HA,
Finance-Indemnities,30268500,2013,Actual,Full Year,2013-06-30,Finance: Indemnities,35-IN,
Finance-Refunds,36,2013,Actual,Full Year,2013-06-30,Finance: Refunds,35-R,
Finance-School District Contribution,68990000,2013,Actual,Full Year,2013-06-30,Finance: School District Contribution,35-SD,
Finance-Witness Fees,132008,2013,Actual,Full Year,2013-06-30,Finance: Witness Fees,35-WF,
Fire,200016007,2013,Actual,Full Year,2013-06-30,Fire Department,13,Fire
First Judicial District,110653579,2013,Actual,Full Year,2013-06-30,First Judicial District,84,FJD
Fleet Management,49840244,2013,Actual,Full Year,2013-06-30,Office of Fleet Management,25,Fleet
Fleet Management - Vehicle Purchases,10947988,2013,Actual,Full Year,2013-06-30,Fleet: Vehicle Lease/Purchases,25-V,
Free Library,33550653,2013,Actual,Full Year,2013-06-30,The Free Library of Philadelphia,52,Free Library
Historical Commission,351708,2013,Actual,Full Year,2013-06-30,Historical Commission,32,
Human Relations Commission,1688098,2013,Actual,Full Year,2013-06-30,Commission on Human Relations,54,Human Relations
Human Services,90394071,2013,Actual,Full Year,2013-06-30,Department of Human Services,22,DHS
Labor Relations,543077,2013,Actual,Full Year,2013-06-30,Labor,03,
Law,14391775,2013,Actual,Full Year,2013-06-30,Law Department,44,Law
Licenses & Inspections,21473909,2013,Actual,Full Year,2013-06-30,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,57140,2013,Actual,Full Year,2013-06-30,L&I: Board of Building and Standards,29,
L&I-Board of L & I Review,127344,2013,Actual,Full Year,2013-06-30,L&I: Board of Review,27,
L&IZZoning Board of Adjustment,360774,2013,Actual,Full Year,2013-06-30,Zoning Board of Adjustments,30,ZBA
Managing Director's Office,34347134,2013,Actual,Full Year,2013-06-30,Managing Director's Office,10,MDO
Managing Director-Legal Services,38744097,2013,Actual,Full Year,2013-06-30,MDO: Legal Services,10-LS,
Mayor's Office,3728856,2013,Actual,Full Year,2013-06-30,Mayor's Office,05,Mayor
