dept_name_raw,total,fiscal_year,variable,time_period,as_of_date,dept_name,dept_code,abbreviation
Art Museum Subsidy,2550500,2018,Actual,Full Year,2018-06-30,Art Museum,34,
Atwater Kent Museum,306771,2018,Actual,Full Year,2018-06-30,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),8762254,2018,Actual,Full Year,2018-06-30,City Controller's Office,61,
Board of Ethics,974344,2018,Actual,Full Year,2018-06-30,Board of Ethics,45,
Board of Revision of Taxes,952531,2018,Actual,Full Year,2018-06-30,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),10124526,2018,Actual,Full Year,2018-06-30,City Commissioner's Office,73,City Commissioners
City Council,16959076,2018,Actual,Full Year,2018-06-30,City Council,01,
City Planning Commission,0,2018,Actual,Full Year,2018-06-30,City Planning Commission,51,
City Representative,1116837,2018,Actual,Full Year,2018-06-30,Office of the City Representative,41,City Rep
City Treasurer,1177474,2018,Actual,Full Year,2018-06-30,Office of the City Treasurer,40,City Treasurer
Civil Service Commission (1),193463,2018,Actual,Full Year,2018-06-30,Civil Service Commission,55,
Commerce,5581442,2018,Actual,Full Year,2018-06-30,Office of the Director of Commerce,42,Commerce
Commerce-Convention Center Subsidy,15000000,2018,Actual,Full Year,2018-06-30,Commerce: Convention Center Subsidy,42-CC,
Commerce-Economic Stimulus,2854448,2018,Actual,Full Year,2018-06-30,Commerce: Economic Stimulus,42-ES,
District Attorney,35520200,2018,Actual,Full Year,2018-06-30,District Attorney's Office,69,DAO
Finance,44263571,2018,Actual,Full Year,2018-06-30,Office of the Director of Finance,35,Finance
Finance-Budget Stabilization Reserve,0,2018,Actual,Full Year,2018-06-30,Finance: Budget Stabilization Reserve,35-BSR,
Finance-Disability-Reg #32 Payroll,2556892,2018,Actual,Full Year,2018-06-30,Finance: Reg #32,35-R32,
Finance-Federal Grant Reserve,0,2018,Actual,Full Year,2018-06-30,Finance: Recession Reserve,35-RR,
Finance-Community College Subsidy,30409207,2018,Actual,Full Year,2018-06-30,Finance: Community College Subsidy,35-CC,
Finance Employee Benefits,1314021386,2018,Actual,Full Year,2018-06-30,Finance: Employee Benefits,35-EB,Employee Benefits
Employee Benefits: Unemployment Compensation,3492886,2018,Actual,Full Year,2018-06-30,Employee Benefits: Unemployment Compensation,35-EB-UC,
Employee Benefits: Employee Disability,56011219,2018,Actual,Full Year,2018-06-30,Employee Benefits: Employee Disability,35-EB-DIS,
Employee Benefits: Pension Obligation Bonds,110159328,2018,Actual,Full Year,2018-06-30,Employee Benefits: Pension Obligation Bonds,35-EB-POB,
Employee Benefits: Pension,632278992,2018,Actual,Full Year,2018-06-30,Employee Benefits: Pension,35-EB-PEN,
