dept_name_raw,total,fiscal_year,variable,time_period,as_of_date,dept_name,dept_code,abbreviation
Art Museum Subsidy,2300000,2012,Actual,Full Year,2012-06-30,Art Museum,34,
Atwater Kent Museum,265694,2012,Actual,Full Year,2012-06-30,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),7288507,2012,Actual,Full Year,2012-06-30,City Controller's Office,61,
Board of Building Standards,57935,2012,Actual,Full Year,2012-06-30,L&I: Board of Building and Standards,29,
Board of Ethics,682572,2012,Actual,Full Year,2012-06-30,Board of Ethics,45,
Board of L & I Revlew,124443,2012,Actual,Full Year,2012-06-30,L&I: Board of Review,27,
Board of Revision of Taxes,539709,2012,Actual,Full Year,2012-06-30,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),8535361,2012,Actual,Full Year,2012-06-30,City Commissioner's Office,73,City Commissioners
City Council,13758182,2012,Actual,Full Year,2012-06-30,City Council,01,
City Planning Commission,2209210,2012,Actual,Full Year,2012-06-30,City Planning Commission,51,
City Representative,878647,2012,Actual,Full Year,2012-06-30,Office of the City Representative,41,City Rep
City Treasurer,825035,2012,Actual,Full Year,2012-06-30,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,166720,2012,Actual,Full Year,2012-06-30,Civil Service Commission,55,
Commerce,2067253,2012,Actual,Full Year,2012-06-30,Office of the Director of Commerce,42,Commerce
Commerce-Economic Stimulus,1294448,2012,Actual,Full Year,2012-06-30,Commerce: Economic Stimulus,42-ES,
Community College Subsldy,25409207,2012,Actual,Full Year,2012-06-30,Finance: Community College Subsidy,35-CC,
Convention Center Subsidy,15000000,2012,Actual,Full Year,2012-06-30,Commerce: Convention Center Subsidy,42-CC,
District Attorney,30632240,2012,Actual,Full Year,2012-06-30,District Attorney's Office,69,DAO
Finance,15395169,2012,Actual,Full Year,2012-06-30,Office of the Director of Finance,35,Finance
Finance - Contribution to the School District,48930000,2012,Actual,Full Year,2012-06-30,Finance: School District Contribution,35-SD,
Finance - Employee Benefits,1066249915,2012,Actual,Full Year,2012-06-30,Finance: Employee Benefits,35-EB,Employee Benefits
Employee Benefits: Employee Disability,54291538,2012,Actual,Full Year,2012-06-30,Employee Benefits: Employee Disability,35-EB-DIS,
