dept_name_raw,total,fiscal_year,variable,time_period,as_of_date,dept_name,dept_code,abbreviation
Art Museum Subsidy,2300000.0,2013,Actual,Full Year,2013-06-30,Art Museum,34,
Atwater Kent Museum,270143.0,2013,Actual,Full Year,2013-06-30,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),7027133.0,2013,Actual,Full Year,2013-06-30,City Controller's Office,61,
Board of Ethics,712672.0,2013,Actual,Full Year,2013-06-30,Board of Ethics,45,
Board of Revision of Taxes,1056069.0,2013,Actual,Full Year,2013-06-30,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),8683402.0,2013,Actual,Full Year,2013-06-30,City Commissioner's Office,73,City Commissioners
City Council,13430973.0,2013,Actual,Full Year,2013-06-30,City Council,01,
City Planning Commission,2251986.0,2013,Actual,Full Year,2013-06-30,City Planning Commission,51,
City Representative,959503.0,2013,Actual,Full Year,2013-06-30,Office of the City Representative,41,City Rep
City Treasurer,883997.0,2013,Actual,Full Year,2013-06-30,Office of the City Treasurer,40,City Treasurer
Civil Service Commission (1),170585.0,2013,Actual,Full Year,2013-06-30,Civil Service Commission,55,
Commerce,2544250.0,2013,Actual,Full Year,2013-06-30,Office of the Director of Commerce,42,Commerce
Commerce-Convention Center Subsidy,15000000.0,2013,Actual,Full Year,2013-06-30,Commerce: Convention Center Subsidy,42-CC,
Commerce-Economic Stimulus,1294448.0,2013,Actual,Full Year,2013-06-30,Commerce: Economic Stimulus,42-ES,
District Attorney,31449689.0,2013,Actual,Full Year,2013-06-30,District Attorney's Office,69,DAO
Finance,17167409.0,2013,Actual,Full Year,2013-06-30,Office of the Director of Finance,35,Finance
Finance-Community College Subsidy,25409207.0,2013,Actual,Full Year,2013-06-30,Finance: Community College Subsidy,35-CC,
Finance - Employee Benefits,1119074214.0,2013,Actual,Full Year,2013-06-30,Finance: Employee Benefits,35-EB,Employee Benefits
Employee Benefits: Unemployment Compensation,3491713.0,2013,Actual,Full Year,2013-06-30,Employee Benefits: Unemployment Compensation,35-EB-UC,
