dept_name_raw,total,fiscal_year,variable,time_period,as_of_date,dept_name,dept_code,abbreviation
Art Museum Subsidy,2550000,2019,Actual,Full Year,2019-06-30,Art Museum,34,
Atwater Kent Museum,250000,2019,Actual,Full Year,2019-06-30,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),9051422,2019,Actual,Full Year,2019-06-30,City Controller's Office,61,
Board of Ethics,925638,2019,Actual,Full Year,2019-06-30,Board of Ethics,45,
Board of Revision of Taxes,978352,2019,Actual,Full Year,2019-06-30,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),16486919,2019,Actual,Full Year,2019-06-30,City Commissioner's Office,73,City Commissioners
City Council,16537331,2019,Actual,Full Year,2019-06-30,City Council,01,
City Representative,1034100,2019,Actual,Full Year,2019-06-30,Office of the City Representative,41,City Rep
City Treasurer,1652411,2019,Actual,Full Year,2019-06-30,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,198497,2019,Actual,Full Year,2019-06-30,Civil Service Commission,55,
Commerce,7340303,2019,Actual,Full Year,2019-06-30,Office of the Director of Commerce,42,Commerce
Commerce-Convention Center Subsidy,15000000,2019,Actual,Full Year,2019-06-30,Commerce: Convention Center Subsidy,42CC,
Commerce-Economic Stimulus,21242883,2019,Actual,Full Year,2019-06-30,Commerce: Economic Stimulus,42ES,
District Attorney,42281095,2019,Actual,Full Year,2019-06-30,District Attorney's Office,69,DAO
Finance,118448910,2019,Actual,Full Year,2019-06-30,Office of the Director of Finance,35,Finance
Finance-Budget Stabilization Reserve,20000000,2019,Actual,Full Year,2019-06-30,Finance: Budget Stabilization Reserve,35BSR,
Finance-Disability-Reg #32 Payroll,2413758,2019,Actual,Full Year,2019-06-30,Finance: Reg #32,35R32,
Finance-Federal Grant Reserve,0,2019,Actual,Full Year,2019-06-30,Finance: Federal Grant Reserve,35FGR,
Finance-Community College Subsidy,32409207,2019,Actual,Full Year,2019-06-30,Finance: Community College Subsidy,35CC,
Finance - Employee Benefits,1371066396,2019,Actual,Full Year,2019-06-30,Finance: Employee Benefits,35EB,
Finance-Hero Scholarship Awards,0,2019,Actual,Full Year,2019-06-30,Finance: Hero Scholarship Awards,35HA,
Finance-Indemnities,0,2019,Actual,Full Year,2019-06-30,Finance: Indemnities,35IN,
Finance-Refunds,18667,2019,Actual,Full Year,2019-06-30,Finance: Refunds,35R,
Finance-School District Contribution,180870541,2019,Actual,Full Year,2019-06-30,Finance: School District Contribution,35SD,
Finance-Witness Fees,98988,2019,Actual,Full Year,2019-06-30,Finance: Witness Fees,35WF,
Fire,309671593,2019,Actual,Full Year,2019-06-30,Fire Department,13,Fire
First Judicial District,113236838,2019,Actual,Full Year,2019-06-30,First Judicial District,84,FJD
Fleet Management,47005990,2019,Actual,Full Year,2019-06-30,Office of Fleet Management,25,Fleet
Fleet Management - Vehicle Purchases,17297617,2019,Actual,Full Year,2019-06-30,Fleet: Vehicle Lease/Purchases,25V,
Free Library,42596496,2019,Actual,Full Year,2019-06-30,The Free Library of Philadelphia,52,Free Library
Human Relations Commission,2127256,2019,Actual,Full Year,2019-06-30,Commission on Human Relations,54,Human Relations
Human Services,107447455,2019,Actual,Full Year,2019-06-30,Department of Human Services,22,DHS
Labor,1769531,2019,Actual,Full Year,2019-06-30,Labor,03,
Law,15462819,2019,Actual,Full Year,2019-06-30,Law Department,44,Law
Licenses & Inspections,38311706,2019,Actual,Full Year,2019-06-30,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,83562,2019,Actual,Full Year,2019-06-30,L&I: Board of Building and Standards,29,
L&I-Board of L & I Review,139997,2019,Actual,Full Year,2019-06-30,L&I: Board of Review,27,
Managing Director's Office,45304925,2019,Actual,Full Year,2019-06-30,Managing Director's Office,10,MDO
Managing Director-Legal Services,51574391,2019,Actual,Full Year,2019-06-30,MDO: Legal Services,10LS,
Mayor's Office,5435738,2019,Actual,Full Year,2019-06-30,Mayor's Office,05,Mayor
Mayor's Office-Scholarships,181000,2019,Actual,Full Year,2019-06-30,Mayor's Office: Scholarships,05S,
Mayor's Office-Comm. Empowerment & Opp.,88250,2019,Actual,Full Year,2019-06-30,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mural Arts Program,2367227,2019,Actual,Full Year,2019-06-30,Mural Arts Program,50,Mural Arts
Office of Arts and Culture,4310450,2019,Actual,Full Year,2019-06-30,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture
Office of Behavioral Hith & Intellectual disAbility,17115534,2019,Actual,Full Year,2019-06-30,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of the Chief Administrative Officer,5996422,2019,Actual,Full Year,2019-06-30,Office of the Chief Administrative Officer,65,CAO
Office of Education,26141449,2019,Actual,Full Year,2019-06-30,Office of Children and Families,66,OCF
Office of Homeless Services,56769589,2019,Actual,Full Year,2019-06-30,Office of Homeless Services,24,OHS
Office of Human Resources,5695053,2019,Actual,Full Year,2019-06-30,Office of Human Resources,56,OHR
Office of Innovation and Technology-Base,65709411,2019,Actual,Full Year,2019-06-30,Office of Innovation and Technology,04,OIT
Office of Innovation and Technology-911,12895463,2019,Actual,Full Year,2019-06-30,OIT: 911,04911,
Office of the Inspector General,1513853,2019,Actual,Full Year,2019-06-30,Office of the Inspector General,48,OIG
Office of Property Assessment,13934797,2019,Actual,Full Year,2019-06-30,Office of Property Assessment,59,OPA
Office of Sustainability,955678,2019,Actual,Full Year,2019-06-30,Office of Sustainability,49,Sustainability
Parks and Recreation,67144275,2019,Actual,Full Year,2019-06-30,Department of Parks and Recreation,16,Parks & Recreation
Planning & Development,12481691,2019,Actual,Full Year,2019-06-30,Department of Planning and Development,72,Planning & Development
Police,727904939,2019,Actual,Full Year,2019-06-30,Police Department,11,Police
Prisons,237042656,2019,Actual,Full Year,2019-06-30,Philadelphia Prison System,23,Prisons
Procurement,5025883,2019,Actual,Full Year,2019-06-30,Procurement Department,38,Procurement
Public Health,142683666,2019,Actual,Full Year,2019-06-30,Department of Public Health,14,Public Health
Public Property,71552535,2019,Actual,Full Year,2019-06-30,Department of Public Property,20,Public Property
Public Property-SEPTA Subsidy,84608000,2019,Actual,Full Year,2019-06-30,Public Property: SEPTA Subsidy,20SS,
Public Property-Space Rentals,20912273,2019,Actual,Full Year,2019-06-30,Public Property: Space Rentals,20SR,
Public Property-Utilities,25108810,2019,Actual,Full Year,2019-06-30,Public Property: Utilities,20U,
Records,4381749,2019,Actual,Full Year,2019-06-30,Department of Records,31,Records
Register of Wills,4369231,2019,Actual,Full Year,2019-06-30,Register of Wills,68,
Revenue,31623367,2019,Actual,Full Year,2019-06-30,Department of Revenue,36,Revenue
Sheriff,29153258,2019,Actual,Full Year,2019-06-30,Office of the Sheriff,70,Sheriff
Sinking Fund Commission (Debt Service),256995453,2019,Actual,Full Year,2019-06-30,Sinking Fund Commission,37,Sinking Fund
Streets-Disposal,47536717,2019,Actual,Full Year,2019-06-30,Streets: Disposal,12D,
Streets,111934458,2019,Actual,Full Year,2019-06-30,Streets Department,12,Streets
Art Museum Subsidy,1912500,2020,Target Budget,YTD,2020-03-31,Art Museum,34,
Atwater Kent Museum,0,2020,Target Budget,YTD,2020-03-31,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),6901311,2020,Target Budget,YTD,2020-03-31,City Controller's Office,61,
Board of Ethics,662343,2020,Target Budget,YTD,2020-03-31,Board of Ethics,45,
Board of Revision of Taxes,760280,2020,Target Budget,YTD,2020-03-31,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),7726755,2020,Target Budget,YTD,2020-03-31,City Commissioner's Office,73,City Commissioners
City Council,11875309,2020,Target Budget,YTD,2020-03-31,City Council,01,
City Representative,797388,2020,Target Budget,YTD,2020-03-31,Office of the City Representative,41,City Rep
City Treasurer,1057402,2020,Target Budget,YTD,2020-03-31,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,144681,2020,Target Budget,YTD,2020-03-31,Civil Service Commission,55,
Commerce,7950810,2020,Target Budget,YTD,2020-03-31,Office of the Director of Commerce,42,Commerce
Commerce-Convention Center Subsidy,15000000,2020,Target Budget,YTD,2020-03-31,Commerce: Convention Center Subsidy,42CC,
Commerce-Economic Stimulus,7671624,2020,Target Budget,YTD,2020-03-31,Commerce: Economic Stimulus,42ES,
District Attorney,30046221,2020,Target Budget,YTD,2020-03-31,District Attorney's Office,69,DAO
