dept_name_raw,total,fiscal_year,variable,time_period,as_of_date,dept_name,dept_code,abbreviation
Art Museum Subsidy,2250000,2007,Actual,Full Year,2007-06-30,Art Museum,34,
Atwater Kent Museum,256433,2007,Actual,Full Year,2007-06-30,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),7785547,2007,Actual,Full Year,2007-06-30,City Controller's Office,61,
Board of Building Standards,91478,2007,Actual,Full Year,2007-06-30,L&I: Board of Building and Standards,29,
Board of Ethics,0,2007,Actual,Full Year,2007-06-30,Board of Ethics,45,
Board of L& I Review,184230,2007,Actual,Full Year,2007-06-30,L&I: Board of Review,27,
Board of Revision of Taxes,9559038,2007,Actual,Full Year,2007-06-30,Board of Revision of Taxes,63,BRT
Camp William Penn,308952,2007,Actual,Full Year,2007-06-30,Camp William Penn,19,
Capital Program Office,1762107,2007,Actual,Full Year,2007-06-30,Capital Program Office,07,
City Commissioners (Election Board),8440615,2007,Actual,Full Year,2007-06-30,City Commissioner's Office,73,City Commissioners
City Council,13624688,2007,Actual,Full Year,2007-06-30,City Council,01,
City Planning Commission,3214335,2007,Actual,Full Year,2007-06-30,City Planning Commission,51,
City Rep. / Commerce,9757231,2007,Actual,Full Year,2007-06-30,Office of the City Representative,41,City Rep
City Rep. / Commerce-Economic Stimulus,6000000,2007,Actual,Full Year,2007-06-30,Commerce: Economic Stimulus,42-ES,
City Treasurer,641583,2007,Actual,Full Year,2007-06-30,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,145931,2007,Actual,Full Year,2007-06-30,Civil Service Commission,55,
Clerk of Quarter Sessions,4792426,2007,Actual,Full Year,2007-06-30,Clerk of Quarter Sessions,64,
Community College Subsidy,23467924,2007,Actual,Full Year,2007-06-30,Finance: Community College Subsidy,35-CC,
Convention Center Subsidy,31199538,2007,Actual,Full Year,2007-06-30,Commerce: Convention Center Subsidy,42-CC,
District Attorney,30318568,2007,Actual,Full Year,2007-06-30,District Attorney's Office,69,DAO
Fairmount Park,13795645,2007,Actual,Full Year,2007-06-30,Fairmount Park Commission,17,
Finance,24978108,2007,Actual,Full Year,2007-06-30,Office of the Director of Finance,35,Finance
Finance - Contribution to the School District,35000000,2007,Actual,Full Year,2007-06-30,Finance: School District Contribution,35-SD,
Finance Employee Benefits,890330539,2007,Actual,Full Year,2007-06-30,Finance: Employee Benefits,35-EB,Employee Benefits
Employee Benefits: Employee Disability,43389752,2007,Actual,Full Year,2007-06-30,Employee Benefits: Employee Disability,35-EB-DIS,
Employee Benefits: FICA,64105425,2007,Actual,Full Year,2007-06-30,Employee Benefits: FICA,35-EB-FICA,
Employee Benefits: Flex Cash Payments,742341,2007,Actual,Full Year,2007-06-30,Employee Benefits: Flex Cash Payments,35-EB-FLEX,
Employee Benefits: Group Legal,4045801,2007,Actual,Full Year,2007-06-30,Employee Benefits: Group Legal,35-EB-GL,
Employee Benefits: Group Life Insurance,7470160,2007,Actual,Full Year,2007-06-30,Employee Benefits: Group Life Insurance,35-EB-GLI,
Employee Benefits: Health/Medical,331479880,2007,Actual,Full Year,2007-06-30,Employee Benefits: Health/Medical,35-EB-HM,
Employee Benefits: Pension,362173228,2007,Actual,Full Year,2007-06-30,Employee Benefits: Pension,35-EB-PEN,
Employee Benefits: Pension Obligation Bonds,74648939,2007,Actual,Full Year,2007-06-30,Employee Benefits: Pension Obligation Bonds,35-EB-POB,
Employee Benefits: Tool Allowance,64200,2007,Actual,Full Year,2007-06-30,Employee Benefits: Tool Allowance,35-EB-TA,
Employee Benefits: Unemployment Compensation,2210813,2007,Actual,Full Year,2007-06-30,Employee Benefits: Unemployment Compensation,35-EB-UC,
Finance PGW Rental Reimbursement,18000000,2007,Actual,Full Year,2007-06-30,Finance: PGW Reimbursement,35-PGW,
Fire,195554507,2007,Actual,Full Year,2007-06-30,Fire Department,13,Fire
First Judicial District,116333908,2007,Actual,Full Year,2007-06-30,First Judicial District,84,FJD
Fleet Management,47088002,2007,Actual,Full Year,2007-06-30,Office of Fleet Management,25,Fleet
Fleet Management Vehicle Purchases,12598757,2007,Actual,Full Year,2007-06-30,Fleet: Vehicle Lease/Purchases,25-V,
Free Library,39190684,2007,Actual,Full Year,2007-06-30,The Free Library of Philadelphia,52,Free Library
Historical Commission,314628,2007,Actual,Full Year,2007-06-30,Historical Commission,32,
Hero Award,26000,2007,Actual,Full Year,2007-06-30,Finance: Hero Scholarship Awards,35-HA,
Human Relations Commission,2174703,2007,Actual,Full Year,2007-06-30,Commission on Human Relations,54,Human Relations
Human Services,590369117,2007,Actual,Full Year,2007-06-30,Department of Human Services,22,DHS
Indemnities,26632868,2007,Actual,Full Year,2007-06-30,Finance: Indemnities,35-IN,
"Information Services, Mayor's Office of",13654014,2007,Actual,Full Year,2007-06-30,Office of Innovation and Technology,04,OIT
Labor Relations,547044,2007,Actual,Full Year,2007-06-30,Labor,03,
Law,16191921,2007,Actual,Full Year,2007-06-30,Law Department,44,Law
Legal Services Icl. Defender Association,35403767,2007,Actual,Full Year,2007-06-30,MDO: Legal Services,10-LS,
Licenses & Inspections,20426549,2007,Actual,Full Year,2007-06-30,Department of Licenses and Inspections,26,L&I
Licenses & Inspections Demolitions,8049417,2007,Actual,Full Year,2007-06-30,L&I: Demolition,26-D,
Managing Director (MDO),13279325,2007,Actual,Full Year,2007-06-30,Managing Director's Office,10,MDO
Mayor,5059120,2007,Actual,Full Year,2007-06-30,Mayor's Office,05,Mayor
Mayor Scholarships,199855,2007,Actual,Full Year,2007-06-30,Mayor's Office: Scholarships,05-S,
Mayor's Office of Community Services,0,2007,Actual,Full Year,2007-06-30,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mural Arts Program,723787,2007,Actual,Full Year,2007-06-30,Mural Arts Program,50,Mural Arts
"Off, of Behavioral Hith./Mental Retard. Svcs.",14351805,2007,Actual,Full Year,2007-06-30,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of Housing and Comm. Developmt.,6317287,2007,Actual,Full Year,2007-06-30,Office of Housing and Community Development,06,
Office of Supportive Housing,38608597,2007,Actual,Full Year,2007-06-30,Office of Homeless Services,24,OHS
Personnel,4792508,2007,Actual,Full Year,2007-06-30,Office of Human Resources,56,OHR
Police,493612964,2007,Actual,Full Year,2007-06-30,Police Department,11,Police
Prisons,208401291,2007,Actual,Full Year,2007-06-30,Philadelphia Prison System,23,Prisons
Procurement,4932621,2007,Actual,Full Year,2007-06-30,Procurement Department,38,Procurement
Public Health,112764487,2007,Actual,Full Year,2007-06-30,Department of Public Health,14,Public Health
Public Property,64817098,2007,Actual,Full Year,2007-06-30,Department of Public Property,20,Public Property
Public Property - SEPTA Subsidy,58040145,2007,Actual,Full Year,2007-06-30,Public Property: SEPTA Subsidy,20-SS,
Public Property - Space Rentals,15922591,2007,Actual,Full Year,2007-06-30,Public Property: Space Rentals,20-SR,
Public Property . Telecommunications,21145268,2007,Actual,Full Year,2007-06-30,Public Property: Telecommunications,20-T,
Public Property Utilities,32070658,2007,Actual,Full Year,2007-06-30,Public Property: Utilities,20-U,
Records,8017178,2007,Actual,Full Year,2007-06-30,Department of Records,31,Records
Recreation,35594137,2007,Actual,Full Year,2007-06-30,Department of Parks and Recreation,16,Parks & Recreation
Refunds,10411,2007,Actual,Full Year,2007-06-30,Finance: Refunds,35-R,
Register of Wills,3443391,2007,Actual,Full Year,2007-06-30,Register of Wills,68,
Revenue,16686793,2007,Actual,Full Year,2007-06-30,Department of Revenue,36,Revenue
Sheriff,14620519,2007,Actual,Full Year,2007-06-30,Office of the Sheriff,70,Sheriff
Sinking Fund (Debt Service),173419509,2007,Actual,Full Year,2007-06-30,Sinking Fund Commission,37,Sinking Fund
Streets,35310901,2007,Actual,Full Year,2007-06-30,Streets Department,12,Streets
Streets Sanitation,93521244,2007,Actual,Full Year,2007-06-30,Streets: Sanitation,12-S,
