dept_name_raw,total,fiscal_year,variable,time_period,as_of_date,dept_name,dept_code,abbreviation
Art Museum Subsidy,2040000,2021,Actual,Full Year,2021-06-30,Art Museum,34,
Auditing (City Controller's Office),9824760,2021,Actual,Full Year,2021-06-30,City Controller's Office,61,
Board of Ethics,817525,2021,Actual,Full Year,2021-06-30,Board of Ethics,45,
Board of Revision of Taxes,1049649,2021,Actual,Full Year,2021-06-30,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),20871241,2021,Actual,Full Year,2021-06-30,City Commissioner's Office,73,City Commissioners
City Council,17009546,2021,Actual,Full Year,2021-06-30,City Council,01,
City Treasurer,1714804,2021,Actual,Full Year,2021-06-30,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,170033,2021,Actual,Full Year,2021-06-30,Civil Service Commission,55,
Commerce,3332692,2021,Actual,Full Year,2021-06-30,Office of the Director of Commerce,42,Commerce
Commerce-Convention Center Subsidy,15000000,2021,Actual,Full Year,2021-06-30,Commerce: Convention Center Subsidy,42-CC,
Commerce-Economic Stimulus,2957678,2021,Actual,Full Year,2021-06-30,Commerce: Economic Stimulus,42-ES,
District Attorney,42026933,2021,Actual,Full Year,2021-06-30,District Attorney's Office,69,DAO
Finance,56342371,2021,Actual,Full Year,2021-06-30,Office of the Director of Finance,35,Finance
Finance-Budget Stabilization Reserve,0,2021,Actual,Full Year,2021-06-30,Finance: Budget Stabilization Reserve,35-BSR,
Finance-Disability-Reg #32 Payroll,2167137,2021,Actual,Full Year,2021-06-30,Finance: Reg #32,35-R32,
Finance-Recession Reserve and Reopening,0,2021,Actual,Full Year,2021-06-30,Finance: Recession Reserve,35-RR,
Finance-Community College Subsidy,41628751,2021,Actual,Full Year,2021-06-30,Finance: Community College Subsidy,35-CC,
Finance - Employee Benefits *,1270300692,2021,Actual,Full Year,2021-06-30,Finance: Employee Benefits,35-EB,Employee Benefits
Employee Benefits: Unemployment Compensation,2208454,2021,Actual,Full Year,2021-06-30,Employee Benefits: Unemployment Compensation,35-EB-UC,
Employee Benefits: Employee Disability,70087502,2021,Actual,Full Year,2021-06-30,Employee Benefits: Employee Disability,35-EB-DIS,
Employee Benefits: Pension Obligation Bonds,27849355,2021,Actual,Full Year,2021-06-30,Employee Benefits: Pension Obligation Bonds,35-EB-POB,
Employee Benefits: Pension,636570278,2021,Actual,Full Year,2021-06-30,Employee Benefits: Pension,35-EB-PEN,
Employee Benefits: FICA,81513022,2021,Actual,Full Year,2021-06-30,Employee Benefits: FICA,35-EB-FICA,
Employee Benefits: Flex Cash Payments,567761,2021,Actual,Full Year,2021-06-30,Employee Benefits: Flex Cash Payments,35-EB-FLEX,
Employee Benefits: Health/Medical,440010762,2021,Actual,Full Year,2021-06-30,Employee Benefits: Health/Medical,35-EB-HM,
Employee Benefits: Group Life Insurance,4812435,2021,Actual,Full Year,2021-06-30,Employee Benefits: Group Life Insurance,35-EB-GLI,
Employee Benefits: Group Legal,6501573,2021,Actual,Full Year,2021-06-30,Employee Benefits: Group Legal,35-EB-GL,
Employee Benefits: Tool Allowance,179550,2021,Actual,Full Year,2021-06-30,Employee Benefits: Tool Allowance,35-EB-TA,
Finance-Hero Scholarship Awards,0,2021,Actual,Full Year,2021-06-30,Finance: Hero Scholarship Awards,35-HA,
Finance-Indempities,-5535036,2021,Actual,Full Year,2021-06-30,Finance: Indemnities,35-IN,
Finance-Refunds,14153,2021,Actual,Full Year,2021-06-30,Finance: Refunds,35-R,
Finance-School District Contribution,252578558,2021,Actual,Full Year,2021-06-30,Finance: School District Contribution,35-SD,
Finance-Witness Fees,31007,2021,Actual,Full Year,2021-06-30,Finance: Witness Fees,35-WF,
Fire,344502428,2021,Actual,Full Year,2021-06-30,Fire Department,13,Fire
First Judicial District,114312315,2021,Actual,Full Year,2021-06-30,First Judicial District,84,FJD
Fleet Services,41916725,2021,Actual,Full Year,2021-06-30,Office of Fleet Management,25,Fleet
Fleet Services - Vehicle Purchases,13352566,2021,Actual,Full Year,2021-06-30,Fleet: Vehicle Lease/Purchases,25-V,
Free Library,40116664,2021,Actual,Full Year,2021-06-30,The Free Library of Philadelphia,52,Free Library
Human Relations Commission,2285473,2021,Actual,Full Year,2021-06-30,Commission on Human Relations,54,Human Relations
Human Services,154211458,2021,Actual,Full Year,2021-06-30,Department of Human Services,22,DHS
Labor,2377751,2021,Actual,Full Year,2021-06-30,Labor,03,
Law,16219764,2021,Actual,Full Year,2021-06-30,Law Department,44,Law
Licenses & Inspections,37334864,2021,Actual,Full Year,2021-06-30,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,85061,2021,Actual,Full Year,2021-06-30,L&I: Board of Building and Standards,29,
L&I-Board of L & I Review,129012,2021,Actual,Full Year,2021-06-30,L&I: Board of Review,27,
Managing Director's Office,63448139,2021,Actual,Full Year,2021-06-30,Managing Director's Office,10,MDO
Managing Director-Legal Services,50635963,2021,Actual,Full Year,2021-06-30,MDO: Legal Services,10-LS,
Mayor's Office,6480074,2021,Actual,Full Year,2021-06-30,Mayor's Office,05,Mayor
Mayor's Office-Scholarships,196500,2021,Actual,Full Year,2021-06-30,Mayor's Office: Scholarships,05-S,
Mayor's Office-Comm. Empowerment & Opp.,45000,2021,Actual,Full Year,2021-06-30,Mayor's Office of Community Empowerment and Opportunity,08,CEO
Mural Arts Program,2122763,2021,Actual,Full Year,2021-06-30,Mural Arts Program,50,Mural Arts
Office of Behavioral Hith & Intellectual disAbility,15477402,2021,Actual,Full Year,2021-06-30,Behavioral Health and Intellectual Disability Services,15,DBH/IDS
Office of the Chief Administrative Officer,5822476,2021,Actual,Full Year,2021-06-30,Office of the Chief Administrative Officer,65,CAO
Office of Children and Families,418820,2021,Actual,Full Year,2021-06-30,Office of Children and Families,66,OCF
Office of Homeless Services,44781994,2021,Actual,Full Year,2021-06-30,Office of Homeless Services,24,OHS
Office of Human Resources,5717867,2021,Actual,Full Year,2021-06-30,Office of Human Resources,56,OHR
