dept_name_raw,total,fiscal_year,variable,time_period,as_of_date,dept_name,dept_code,abbreviation
Art Museum Subsidy,2585000,2015,Actual,Full Year,2015-06-30,Art Museum,34,
Atwater Kent Museum,230906,2015,Actual,Full Year,2015-06-30,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),8271589,2015,Actual,Full Year,2015-06-30,City Controller's Office,61,
Board of Ethics,898226,2015,Actual,Full Year,2015-06-30,Board of Ethics,45,
Board of Revision of Taxes,1035977,2015,Actual,Full Year,2015-06-30,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),9219448,2015,Actual,Full Year,2015-06-30,City Commissioner's Office,73,City Commissioners
City Council,14635452,2015,Actual,Full Year,2015-06-30,City Council,01,
City Planning Commission,2278413,2015,Actual,Full Year,2015-06-30,City Planning Commission,51,
City Representative,1024105,2015,Actual,Full Year,2015-06-30,Office of the City Representative,41,City Rep
City Treasurer,924877,2015,Actual,Full Year,2015-06-30,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,183692,2015,Actual,Full Year,2015-06-30,Civil Service Commission,55,
Commerce,7885115,2015,Actual,Full Year,2015-06-30,Office of the Director of Commerce,42,Commerce
Commerce-Convention Center Subsidy,15000000,2015,Actual,Full Year,2015-06-30,Commerce: Convention Center Subsidy,42CC,
Commerce-Economic Stimulus,1294448,2015,Actual,Full Year,2015-06-30,Commerce: Economic Stimulus,42ES,
District Attorney,35561390,2015,Actual,Full Year,2015-06-30,District Attorney's Office,69,DAO
Finance,22318952,2015,Actual,Full Year,2015-06-30,Office of the Director of Finance,35,Finance
Finance-Community College Subsidy,26909207,2015,Actual,Full Year,2015-06-30,Finance: Community College Subsidy,35CC,
Finance Employee Benefits,1099541937,2015,Actual,Full Year,2015-06-30,Finance: Employee Benefits,35EB,
Finance-Hero Scholarship Awards,18000,2015,Actual,Full Year,2015-06-30,Finance: Hero Scholarship Awards,35HA,
Finance-Indemnities,0,2015,Actual,Full Year,2015-06-30,Finance: Indemnities,35IN,
Finance-Refunds,2,2015,Actual,Full Year,2015-06-30,Finance: Refunds,35R,
Finance-School District Contribution,69110300,2015,Actual,Full Year,2015-06-30,Finance: School District Contribution,35SD,
Finance-Witness Fees,121005,2015,Actual,Full Year,2015-06-30,Finance: Witness Fees,35WF,
Fire,232526640,2015,Actual,Full Year,2015-06-30,Fire Department,13,Fire
First Judicial District,117976545,2015,Actual,Full Year,2015-06-30,First Judicial District,84,FJD
Fleet Management,48718467,2015,Actual,Full Year,2015-06-30,Office of Fleet Management,25,Fleet
Fleet Management - Vehicle Purchases,11946483,2015,Actual,Full Year,2015-06-30,Fleet: Vehicle Lease/Purchases,25V,
Free Library,40668870,2015,Actual,Full Year,2015-06-30,The Free Library of Philadelphia,52,Free Library
Historical Commission,384361,2015,Actual,Full Year,2015-06-30,Historical Commission,32,
Human Relations Commission,1823081,2015,Actual,Full Year,2015-06-30,Commission on Human Relations,54,Human Relations
Human Services,96543925,2015,Actual,Full Year,2015-06-30,Department of Human Services,22,DHS
