dept_name_raw,total,fiscal_year,variable,time_period,as_of_date,dept_name,dept_code,abbreviation
Art Museum Subsidy,2620000,2016,Actual,Full Year,2016-06-30,Art Museum,34,
Atwater Kent Museum,273470,2016,Actual,Full Year,2016-06-30,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),8411871,2016,Actual,Full Year,2016-06-30,City Controller's Office,61,
Board of Ethics,924707,2016,Actual,Full Year,2016-06-30,Board of Ethics,45,
Board of Revision of Taxes,995224,2016,Actual,Full Year,2016-06-30,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),10095472,2016,Actual,Full Year,2016-06-30,City Commissioner's Office,73,City Commissioners
City Council,15512500,2016,Actual,Full Year,2016-06-30,City Council,01,
City Planning Commission,2390786,2016,Actual,Full Year,2016-06-30,City Planning Commission,51,
City Representative,1068844,2016,Actual,Full Year,2016-06-30,Office of the City Representative,41,City Rep
City Treasurer,1114956,2016,Actual,Full Year,2016-06-30,Office of the City Treasurer,40,City Treasurer
Civil Service Commission (1),179973,2016,Actual,Full Year,2016-06-30,Civil Service Commission,55,
Commerce,4668598,2016,Actual,Full Year,2016-06-30,Office of the Director of Commerce,42,Commerce
Commerce-Convention Center Subsidy,15000000,2016,Actual,Full Year,2016-06-30,Commerce: Convention Center Subsidy,42-CC,
Commerce-Economic Stimulus,3294448,2016,Actual,Full Year,2016-06-30,Commerce: Economic Stimulus,42-ES,
District Attorney,35698216,2016,Actual,Full Year,2016-06-30,District Attorney's Office,69,DAO
Finance,19434815,2016,Actual,Full Year,2016-06-30,Office of the Director of Finance,35,Finance
Finance-Community College Subsidy,30909207,2016,Actual,Full Year,2016-06-30,Finance: Community College Subsidy,35-CC,
Finance - Employee Benefits,1183853805,2016,Actual,Full Year,2016-06-30,Finance: Employee Benefits,35-EB,Employee Benefits
Employee Benefits: Unemployment Compensation,2367934,2016,Actual,Full Year,2016-06-30,Employee Benefits: Unemployment Compensation,35-EB-UC,
Employee Benefits: Employee Disability,62904761,2016,Actual,Full Year,2016-06-30,Employee Benefits: Employee Disability,35-EB-DIS,
Employee Benefits: Pension Obligation Bonds,109940160,2016,Actual,Full Year,2016-06-30,Employee Benefits: Pension Obligation Bonds,35-EB-POB,
Employee Benefits: Pension,512182528,2016,Actual,Full Year,2016-06-30,Employee Benefits: Pension,35-EB-PEN,
Employee Benefits: FICA,71705312,2016,Actual,Full Year,2016-06-30,Employee Benefits: FICA,35-EB-FICA,
Employee Benefits: Flex Cash Payments,594405,2016,Actual,Full Year,2016-06-30,Employee Benefits: Flex Cash Payments,35-EB-FLEX,
Employee Benefits: Health / Medical,411452807,2016,Actual,Full Year,2016-06-30,Employee Benefits: Health/Medical,35-EB-HM,
Employee Benefits: Group Life Insurance,7922115,2016,Actual,Full Year,2016-06-30,Employee Benefits: Group Life Insurance,35-EB-GLI,
