dept_name_raw,total,fiscal_year,variable,time_period,as_of_date,dept_name,dept_code,abbreviation
Art Museum Subsidy,2350000,2011,Actual,Full Year,2011-06-30,Art Museum,34,
Atwater Kent Museum,267101,2011,Actual,Full Year,2011-06-30,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),7839698,2011,Actual,Full Year,2011-06-30,City Controller's Office,61,
Board of Building Standards,61163,2011,Actual,Full Year,2011-06-30,L&I: Board of Building and Standards,29,
Board of Ethics,680783,2011,Actual,Full Year,2011-06-30,Board of Ethics,45,
Board of L & I Review,135740,2011,Actual,Full Year,2011-06-30,L&I: Board of Review,27,
Board of Revision of Taxes,1879866,2011,Actual,Full Year,2011-06-30,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),8804511,2011,Actual,Full Year,2011-06-30,City Commissioner's Office,73,City Commissioners
City Council,13772226,2011,Actual,Full Year,2011-06-30,City Council,01,
City Planning Commission,2248238,2011,Actual,Full Year,2011-06-30,City Planning Commission,51,
City Representative,903905,2011,Actual,Full Year,2011-06-30,Office of the City Representative,41,City Rep
City Treasurer,760712,2011,Actual,Full Year,2011-06-30,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,167909,2011,Actual,Full Year,2011-06-30,Civil Service Commission,55,
Commerce,1950658,2011,Actual,Full Year,2011-06-30,Office of the Director of Commerce,42,Commerce
Commerce-Economic Stimulus,1372143,2011,Actual,Full Year,2011-06-30,Commerce: Economic Stimulus,42-ES,
Community College Subsidy,25409207,2011,Actual,Full Year,2011-06-30,Finance: Community College Subsidy,35-CC,
Convention Center Subsidy,15000000,2011,Actual,Full Year,2011-06-30,Commerce: Convention Center Subsidy,42-CC,
District Attorney,30503120,2011,Actual,Full Year,2011-06-30,District Attorney's Office,69,DAO
Finance,16360143,2011,Actual,Full Year,2011-06-30,Office of the Director of Finance,35,Finance
Finance - Contribution to the School District,38600000,2011,Actual,Full Year,2011-06-30,Finance: School District Contribution,35-SD,
Finance - Employee Benefits,967058680,2011,Actual,Full Year,2011-06-30,Finance: Employee Benefits,35-EB,Employee Benefits
Employee Benefits: Employee Disability,55122313,2011,Actual,Full Year,2011-06-30,Employee Benefits: Employee Disability,35-EB-DIS,
Employee Benefits: FICA,64599482,2011,Actual,Full Year,2011-06-30,Employee Benefits: FICA,35-EB-FICA,
Employee Benefits: Flex Cash Payments,742077,2011,Actual,Full Year,2011-06-30,Employee Benefits: Flex Cash Payments,35-EB-FLEX,
Employee Benefits: Group Legal,4050926,2011,Actual,Full Year,2011-06-30,Employee Benefits: Group Legal,35-EB-GL,
Employee Benefits: Group Life Insurance,7727138,2011,Actual,Full Year,2011-06-30,Employee Benefits: Group Life Insurance,35-EB-GLI,
Employee Benefits: Health / Medical,343612891,2011,Actual,Full Year,2011-06-30,Employee Benefits: Health/Medical,35-EB-HM,
Employee Benefits: Pension,387554117,2011,Actual,Full Year,2011-06-30,Employee Benefits: Pension,35-EB-PEN,
Employee Benefits: Pension Obligation Bonds,97654191,2011,Actual,Full Year,2011-06-30,Employee Benefits: Pension Obligation Bonds,35-EB-POB,
Employee Benefits: Tool Allowance,120650,2011,Actual,Full Year,2011-06-30,Employee Benefits: Tool Allowance,35-EB-TA,
Employee Benefits: Unemployment Compensation,5874895,2011,Actual,Full Year,2011-06-30,Employee Benefits: Unemployment Compensation,35-EB-UC,
Employee Benefits: Anticipated Workforce Savings (1),0,2011,Actual,Full Year,2011-06-30,Employee Benefits: Anticipated Workforce Savings,35-EB-AWS,
