dept_name_raw,total,fiscal_year,variable,time_period,as_of_date,dept_name,dept_code,abbreviation
Art Museum Subsidy,2300000.0,2010,Actual,Full Year,2010-06-30,Art Museum,34,
Atwater Kent Museum,298059.0,2010,Actual,Full Year,2010-06-30,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),7408017.0,2010,Actual,Full Year,2010-06-30,City Controller's Office,61,
Board of Building Standards,61283.0,2010,Actual,Full Year,2010-06-30,L&I: Board of Building and Standards,29,
Board of Ethics,705545.0,2010,Actual,Full Year,2010-06-30,Board of Ethics,45,
Board of L & I Review,127040.0,2010,Actual,Full Year,2010-06-30,L&I: Board of Review,27,
Board of Revision of Taxes,7463012.0,2010,Actual,Full Year,2010-06-30,Board of Revision of Taxes,63,BRT
Camp William Penn,100448.0,2010,Actual,Full Year,2010-06-30,Camp William Penn,19,
City Commissioners (Election Board),9021144.0,2010,Actual,Full Year,2010-06-30,City Commissioner's Office,73,City Commissioners
City Council,13373484.0,2010,Actual,Full Year,2010-06-30,City Council,01,
City Planning Commission,2904020.0,2010,Actual,Full Year,2010-06-30,City Planning Commission,51,
City Representative,906162.0,2010,Actual,Full Year,2010-06-30,Office of the City Representative,41,City Rep
City Treasurer,647559.0,2010,Actual,Full Year,2010-06-30,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,154111.0,2010,Actual,Full Year,2010-06-30,Civil Service Commission,55,
Clerk of Quarter Sessions,4509567.0,2010,Actual,Full Year,2010-06-30,Clerk of Quarter Sessions,64,
Commerce,3148757.0,2010,Actual,Full Year,2010-06-30,Office of the Director of Commerce,42,Commerce
Commerce-Economic Stimulus,0.0,2010,Actual,Full Year,2010-06-30,Commerce: Economic Stimulus,42-ES,
Community College Subsidy,26467924.0,2010,Actual,Full Year,2010-06-30,Finance: Community College Subsidy,35-CC,
Convention Center Subsidy,24171817.0,2010,Actual,Full Year,2010-06-30,Commerce: Convention Center Subsidy,42-CC,
District Attorney,30071519.0,2010,Actual,Full Year,2010-06-30,District Attorney's Office,69,DAO
Division of Technology,38521370.0,2010,Actual,Full Year,2010-06-30,Office of Innovation and Technology,04,OIT
Fairmount Park,12504253.0,2010,Actual,Full Year,2010-06-30,Fairmount Park Commission,17,
Finance,15895412.0,2010,Actual,Full Year,2010-06-30,Office of the Director of Finance,35,Finance
