dept_name_raw,total,fiscal_year,variable,time_period,as_of_date,dept_name,dept_code,abbreviation
Art Museum Subsidy,2550000,2014,Actual,Full Year,2014-06-30,Art Museum,34,
Atwater Kent Museum,277307,2014,Actual,Full Year,2014-06-30,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),7461087,2014,Actual,Full Year,2014-06-30,City Controller's Office,61,
Board of Ethics,767906,2014,Actual,Full Year,2014-06-30,Board of Ethics,45,
Board of Revision of Taxes,1053347,2014,Actual,Full Year,2014-06-30,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),8690810,2014,Actual,Full Year,2014-06-30,City Commissioner's Office,73,City Commissioners
City Council,14473677,2014,Actual,Full Year,2014-06-30,City Council,01,
City Planning Commission,2302078,2014,Actual,Full Year,2014-06-30,City Planning Commission,51,
City Representative,969947,2014,Actual,Full Year,2014-06-30,Office of the City Representative,41,City Rep
City Treasurer,894143,2014,Actual,Full Year,2014-06-30,Office of the City Treasurer,40,City Treasurer
Civil Service Commission (1),176380,2014,Actual,Full Year,2014-06-30,Civil Service Commission,55,
Commerce,2697175,2014,Actual,Full Year,2014-06-30,Office of the Director of Commerce,42,Commerce
Commerce-Convention Center Subsidy,15000000,2014,Actual,Full Year,2014-06-30,Commerce: Convention Center Subsidy,42-CC,
Commerce-Economic Stimulus,1294448,2014,Actual,Full Year,2014-06-30,Commerce: Economic Stimulus,42-ES,
District Attorney,32807921,2014,Actual,Full Year,2014-06-30,District Attorney's Office,69,DAO
Finance,19326930,2014,Actual,Full Year,2014-06-30,Office of the Director of Finance,35,Finance
Finance-Community College Subsidy,26409207,2014,Actual,Full Year,2014-06-30,Finance: Community College Subsidy,35-CC,
Finance Employee Benefits,1194090202,2014,Actual,Full Year,2014-06-30,Finance: Employee Benefits,35-EB,Employee Benefits
Employee Benefits: Unemployment Compensation,2857176,2014,Actual,Full Year,2014-06-30,Employee Benefits: Unemployment Compensation,35-EB-UC,
Employee Benefits: Employee Disability,56043748,2014,Actual,Full Year,2014-06-30,Employee Benefits: Employee Disability,35-EB-DIS,
Employee Benefits: Pension Obligation Bonds,211014165,2014,Actual,Full Year,2014-06-30,Employee Benefits: Pension Obligation Bonds,35-EB-POB,
Employee Benefits: Pension,435378465,2014,Actual,Full Year,2014-06-30,Employee Benefits: Pension,35-EB-PEN,
Employee Benefits: FICA,67451109,2014,Actual,Full Year,2014-06-30,Employee Benefits: FICA,35-EB-FICA,
Employee Benefits: Flex Cash Payments,581845,2014,Actual,Full Year,2014-06-30,Employee Benefits: Flex Cash Payments,35-EB-FLEX,
