dept_name_raw,total,fiscal_year,variable,time_period,as_of_date,dept_name,dept_code,abbreviation
Art Museum Subsidy,2550000,2017,Actual,Full Year,2017-06-30,Art Museum,34,
Atwater Kent Museum,298440,2017,Actual,Full Year,2017-06-30,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),8477318,2017,Actual,Full Year,2017-06-30,City Controller's Office,61,
Board of Ethics,950743,2017,Actual,Full Year,2017-06-30,Board of Ethics,45,
Board of Revision of Taxes,1024765,2017,Actual,Full Year,2017-06-30,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),10983892,2017,Actual,Full Year,2017-06-30,City Commissioner's Office,73,City Commissioners
City Council,15604515,2017,Actual,Full Year,2017-06-30,City Council,01,
City Planning Commission,2514423,2017,Actual,Full Year,2017-06-30,City Planning Commission,51,
City Representative,858744,2017,Actual,Full Year,2017-06-30,Office of the City Representative,41,City Rep
City Treasurer,1092563,2017,Actual,Full Year,2017-06-30,Office of the City Treasurer,40,City Treasurer
Civil Service Commission (1),190912,2017,Actual,Full Year,2017-06-30,Civil Service Commission,55,
Commerce,5658560,2017,Actual,Full Year,2017-06-30,Office of the Director of Commerce,42,Commerce
Commerce-Convention Center Subsidy,15000000,2017,Actual,Full Year,2017-06-30,Commerce: Convention Center Subsidy,42CC,
Commerce-Economic Stimulus,2794448,2017,Actual,Full Year,2017-06-30,Commerce: Economic Stimulus,42ES,
District Attorney,36257653,2017,Actual,Full Year,2017-06-30,District Attorney's Office,69,DAO
Finance,12482995,2017,Actual,Full Year,2017-06-30,Office of the Director of Finance,35,Finance
Finance-Disability-Reg #32 Payroll,1987825,2017,Actual,Full Year,2017-06-30,Finance: Reg #32,35R32,
Finance-Federal Grant Reserve,0,2017,Actual,Full Year,2017-06-30,Finance: Federal Grant Reserve,35FGR,
Finance-Community College Subsidy,29909207,2017,Actual,Full Year,2017-06-30,Finance: Community College Subsidy,35CC,
Finance - Employee Benefits,1240988145,2017,Actual,Full Year,2017-06-30,Finance: Employee Benefits,35EB,
Finance-Hero Scholarship Awards,15000,2017,Actual,Full Year,2017-06-30,Finance: Hero Scholarship Awards,35HA,
Finance-Indemnities,0,2017,Actual,Full Year,2017-06-30,Finance: Indemnities,35IN,
Finance-Refunds,0,2017,Actual,Full Year,2017-06-30,Finance: Refunds,35R,
Finance-School District Contribution,104263617,2017,Actual,Full Year,2017-06-30,Finance: School District Contribution,35SD,
Finance-Witness Fees,107655,2017,Actual,Full Year,2017-06-30,Finance: Witness Fees,35WF,
Fire,236274906,2017,Actual,Full Year,2017-06-30,Fire Department,13,Fire
First Judicial District,109120853,2017,Actual,Full Year,2017-06-30,First Judicial District,84,FJD
Fleet Management,41824587,2017,Actual,Full Year,2017-06-30,Office of Fleet Management,25,Fleet
Fleet Management - Vehicle Purchases,18994042,2017,Actual,Full Year,2017-06-30,Fleet: Vehicle Lease/Purchases,25V,
Free Library,40470907,2017,Actual,Full Year,2017-06-30,The Free Library of Philadelphia,52,Free Library
Historical Commission,400662,2017,Actual,Full Year,2017-06-30,Historical Commission,32,
Human Relations Commission,2004001,2017,Actual,Full Year,2017-06-30,Commission on Human Relations,54,Human Relations
Human Services,103046621,2017,Actual,Full Year,2017-06-30,Department of Human Services,22,DHS
Labor,937484,2017,Actual,Full Year,2017-06-30,Labor,03,
Law,16465732,2017,Actual,Full Year,2017-06-30,Law Department,44,Law
