dept_name_raw,total,fiscal_year,variable,time_period,as_of_date,dept_name,dept_code,abbreviation
Art Museum Subsidy,2350000.0,2011,Actual,Full Year,2011-06-30,Art Museum,34,
Atwater Kent Museum,267101.0,2011,Actual,Full Year,2011-06-30,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),7839698.0,2011,Actual,Full Year,2011-06-30,City Controller's Office,61,
Board of Building Standards,61163.0,2011,Actual,Full Year,2011-06-30,L&I: Board of Building and Standards,29,
Board of Ethics,680783.0,2011,Actual,Full Year,2011-06-30,Board of Ethics,45,
Board of L & Review,135740.0,2011,Actual,Full Year,2011-06-30,L&I: Board of Review,27,
Board of Revision of Taxes,1879866.0,2011,Actual,Full Year,2011-06-30,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),8804511.0,2011,Actual,Full Year,2011-06-30,City Commissioner's Office,73,City Commissioners
City Council,13772226.0,2011,Actual,Full Year,2011-06-30,City Council,01,
City Planning Commission,2248238.0,2011,Actual,Full Year,2011-06-30,City Planning Commission,51,
City Representative,903905.0,2011,Actual,Full Year,2011-06-30,Office of the City Representative,41,City Rep
City Treasurer,760712.0,2011,Actual,Full Year,2011-06-30,Office of the City Treasurer,40,City Treasurer
Civil Service Commission,167909.0,2011,Actual,Full Year,2011-06-30,Civil Service Commission,55,
Commerce,1950658.0,2011,Actual,Full Year,2011-06-30,Office of the Director of Commerce,42,Commerce
Commerce-Economic Stimulus,1372143.0,2011,Actual,Full Year,2011-06-30,Commerce: Economic Stimulus,42-ES,
Community College Subsidy,25409207.0,2011,Actual,Full Year,2011-06-30,Finance: Community College Subsidy,35-CC,
Convention Center Subsidy,15000000.0,2011,Actual,Full Year,2011-06-30,Commerce: Convention Center Subsidy,42-CC,
District Attorney,30503120.0,2011,Actual,Full Year,2011-06-30,District Attorney's Office,69,DAO
Finance,16360143.0,2011,Actual,Full Year,2011-06-30,Office of the Director of Finance,35,Finance
Finance Contribution to the School District,38600000.0,2011,Actual,Full Year,2011-06-30,Finance: School District Contribution,35-SD,
Finance Employee Benefits,967058680.0,2011,Actual,Full Year,2011-06-30,Finance: Employee Benefits,35-EB,Employee Benefits
Employee Benefits: Employee Disability,55122313.0,2011,Actual,Full Year,2011-06-30,Employee Benefits: Employee Disability,35-EB-DIS,
Employee Benefits: FICA,64599482.0,2011,Actual,Full Year,2011-06-30,Employee Benefits: FICA,35-EB-FICA,
