0,1,2,3,4,0.1,1.1,2.1,3.1,4.1
Indemnities,33617728,26549610,26549610,0,"33,120,000","33,957,600","33,957,600","(837,600)",0
Law,16962316,9972173,9548744,423429,"13,119,245","14,856,860","14,856,860","(1,737,615)",o
Legal Services incl. Defender Association,36616187,37066187,37066187,0,"37,566,187","37,066,187","37,066,187","500,000",0
Licenses and Inspections,18098275,15214896,14734201,480695,"21,780,905","21,660,905","21,660,905","120,000",o
Managing Director (MDO),15904600,15890622,16151869,-261247,"22,972,270","23,050,325","23,050,325","(78,055)",o
Mayor,"3,497,124","2,627,617","2,569,683","57,934","3,786,915","3,711,177","3,711,177","75,738",o
Mayor Office of Arts and Culture,"2,549,976","2,609,486","2,603,486","6,000","2,670,238","2,670,238","2,670,238",o,0
Mayor Office of the Inspector General,"1,171,003","927,595","901,859","25,736","1,281,451","1,255,822","1,255,822","25,629",0
Mayor Office of Labor Relations,"457,236","379,142","366,951","12,191","552,416","541,368","541,368","11,048",o
Mayor Scholarships,"197,600","183,000","183,000",o,"200,000","200,000","200,000",o,o
Mayor's Office of Community Services,0,o,0,o,0,o,0,0,o
Mayor's Office of Transportation,"419,184","117,600","461,500","(343,900)","480,000","470,400","470,400","9,600",o
Mural Arts Program,"960,757","812,367","828,874","(16,507)","1,060,000","1,000,800","1,000,800","59,200",o
Off. of Behavioral Hlth.& Intellectual Disability,"14,271,572","13,881,686","13,777,095","104,591","14,271,572","14,271,572","14,271,572",o,o
Office of Housing and Comm. Developmt.,"2,251,408","2,520,000","2,520,000",o,"3,020,000","2,520,000","2,520,000","500,000",o
Office of Human Resources,"4,588,003","3,711,087","3,542,711","168,376","5,228,327","5,123,760","5,123,760","104,567",o
Office of Innovation and Technology,"61,347,850","56,668,042","48,036,195","8,631,847","63,942,751","70,924,530","70,924,530","(6,981,779)",o
Office of Property Assessment,"5,730,108","6,598,540","5,450,108","1,148,432","11,740,696","9,105,882","9,105,882","2,634,814",0
Office of Supportive Housing,"36,368,077","36,111,476","34,021,953","2,089,523","36,466,253","38,466,253","38,466,253","(2,000,000)",o
Parks and Recreation,"45,540,072","35,750,605","35,723,244","27,361","46,325,925","45,742,671","45,742,671","583,254",o
Police,"536,215,299","383,783,443","387,238,892","(3,455,449)","550,686,244","553,186,244","553,186,244","(2,500,000)",o
Prisons,231.163.979,"190,287,203","192,890,469","(2,603,266)","227,172,870","230,172,870","231,272,870","(4,100,000)","(1,100,000)"
Procurement,"4,617,936","3,042,702","2,970,135","72,567","4,151,574","4,151,574","4,151,574",o,o
Public Health,"108,848,360","94,709,267","93,277,884","1,431,383","110,426,170","110,426,170","110,426,170",o,0
Ambulatory Health Services,"44,002,312","35,591,593","36,942,152","(1,350,559)","44,747,526","44,525,146","44,525,146","222,380",o
"Early Childhood, Youth & Women's Health","1,383,881","1,182,753","1,337,370","(154,617)","1,629,322","1,629,322","1,629,322",o,o
Phila. Nursing Home,"37,716,005","39,822,769","38,245,496","1,577,273","40,377,775","40,377,775","40,377,775",o,o
Environmental Protection Services,"9,621,729","4,637,173","4,191,508","445,665","6,272,520","6,272,520","6,272,520",o,o
Administration and Support Svcs,"6,755,686","5,845,485","5,004,885","840,600","7,866,406","7,866,406","7,866,406",o,o
Medical Examiner's Office,"4,019,834","3,184,971","2,986,956","198,015","4,124,030","4,124,030","4,124,030",o,o
Infectious Disease Control,"5,348,913","4,444,523","4,274,421","170,102","5,408,591","5,140,027","5,140,027","268,564",o
Chronic Disease Control,"2,346,778",o,"295,096","(295,096)","2,950,411","2,685,292","2,685,292","265,119",o
Public Property,"54,595,326","29,547,007","29,254,613","292,394","52,027,433","51,721,912","51,721,912","305,521",o
