0,1,2,3,4,5,6,7,8
Art Museum Subsidy,"2,500,000","3,000,000","3,000,000",0,"3,000,000","3,000,000","3,000,000",0
Atwater Kent Museum,"306,702","106,575","102,268","4,307","320,000","291,300","291,300","28,700"
Auditing (City Controller's Office),"8,218,657","1,980,697","1,918,031","62,666","8,255,248","7,922,786","7,922,786","332,462"
Board of Building Standards,"95,694","28,473","23,467","5,006","112,792","113,892","113,892","(1,100)"
Board of Ethics,"542,111","237,500","181,072","56,428","1,000,000","950,000","950,000","50,000"
Board of L & I Review,"202,726","55,890","60,548","(4,659)","222,458","223,558","223,558","(1,100)"
Board of Revision of Taxes,"8,359,922","2,234,314","2,033,545","200,769","8,611,144","8,734,344","8,734,344","(123,200)"
Camp William Penn,"377,966","100,000","72,737","27,263","100,000","100,000","100,000",0
Capital Program Office,"2,337,649","1,193,976","1,112,860","81,116","3,518,636","3,059,904","3,059,904","458,732"
City Commissioners (Election Board),"9,285,945","2,735,514","2,681,963","53,551","8,995,597","8,625,567","8,625,567","370,030"
City Council,"14,578,420","4,235,146","3,588,303","646,843","17,832,493","16,940,883","16,940,883","891,610"
City Planning Commission,"3,348,132","859,135","731,174","127,961","3,328,054","3,367,654","3,367,654","(39,600)"
City Representative,0,"1,484,452","479,358","1,005,094","5,981,231","5,362,513","5,362,513","618,718"
City Treasurer,"718,384","194,226","168,690","25,536","770,304","776,904","776,904","(6,600)"
Civil Service Commission,"148,624","60,952","61,389",(437),"169,209","170,309","170,309","(1,100)"
Clerk of Quarter Sessions,"4,864,504","1,222,341","1,323,753","(101,412)","5,017,014","4,889,363","4,889,363","127,651"
Commerce,"9,629,152","418,184","313,186","104,998","1,574,923","1,985,318","1,985,318","(410,395)"
Commerce-Economic Stimulus,"4,000,000","1,777,500","1,777,500",0,"2,000,000","1,777,500","1,777,500","222,500"
Community College Subsidy,"24,467,924","13,233,962","14,223,962","(990,000)","28,467,924","26,467,924","26,467,924","2,000,000"
Convention Center Subsidy,"32,310,293","22,652,522","22,652,522",o,"39,954,522","22,652,522","22,652,522","17,302,000"
District Attorney,"31,751,555","8,252,522","8,433,392","(180,870)","31,987,373","30,578,149","30,578,149","1,409,224"
Fairmount Park,"13,172,039","5,455,503","5,498,541","(43,038)","15,740,540","14,301,487","14,301,487","1,439,053"
Finance,"20,703,258","5,673,449","6,320,390","(646,941)","21,147,823","17,046,584","17,046,584","4,101,239"
Finance Contribution to the School District,"37,000,000",0,0,0,"38,490,000","38,490,000","38,490,000",o
Finance Employee Benefits,"983,038,761","137,945,360","142,285,721","(4,340,361)","1,004,944,233","965,187,833","965,187,833","39,756,400"
Employee Disability,"46,716,813","13,818,223","17,325,665","(3,507,443)","50,472,890","50,472,890","50,472,890",o
FICA,"69,651,940","17,299,780","17,922,897","(623,117)","69,199,121","69,199,121","69,199,121",o
Flex Cash Payments,"728,710",o,o,o,"1,000,000","1,000,000","1,000,000",o
Group Legal,"4,046,836","3,000,000","3,016,960","(16,960)","4,425,000","4,425,000","4,425,000",o
Group Life Insurance,"7,241,523","2,275,000","2,275,679",(679),"7,600,000","7,600,000","7,600,000",o
Health / Medical,"421,031,060","99,570,021","99,541,237","28,784","385,827,854","368,777,854","368,777,854","17,050,000"
Pension,"352,386,519",o,o,o,"459,744,000","377,961,658","377,961,658","81,782,342"
Pension Obligation Bonds,"78,377,236","1,345,345","1,345,345",o,o,"83,103,342","83,103,342","(83,103,342)"
Tool Allowance,"63,325",o,o,o,"100,000","100,000","100,000",o
Unemployment Compensation,"2,794,799","636,992","857,938","(220,946)","2,547,968","2,547,968","2,547,968",o
Finance PGW Rental Reimbursement,"18,000,000",o,o,o,"18,000,000","18,000,000","18,000,000",0
