0,1,2,3,4,5,6,7,8,9
Indemnities,"32,718,289","9,202,038","12,502,644","(3,300,606)","42,000,000","36,808,153","36,808,153","5,191,847",o
Law,"17,889,976","5,591,300","4,884,252","707,048","18,665,480","17,918,861","17,918,861","746,619",0
Legal Services icl. Defender Association,"35,941,187","35,941,187","35,941,187",o,"35,941,187","35,941,187","35,941,187",o,0
Licenses & Inspections,"22,696,814","5,603,776","5,154,614","449,162","23,068,925","22,146,168","22,146,168","922,757",o
Managing Director (MDO),"16,471,347","3,751,142","5,043,149","(1,292,007)","17,983,836","16,287,057","16,287,057","1,696,779",o
Mayor,"3,597,579","786,753","1,033,448","(246,695)","3,838,884","3,639,665","3,639,665","199,219",0
Mayor Office of Arts and Culture,"3,943,042","2,393,138","2,394,002",(864),"3,905,113","2,545,113","2,545,113","1,360,000",0
Mayor Office of the Inspector General,"1,145,973","303,963","300,293","3,670","1,379,677","1,281,451","1,281,451","98,226",0
Mayor Office of Labor Relations,"523,171","100,491","102,132","(1,641)","523,350","502,416","502,416","20,934",0
Mayor Scholarships,"193,305","100,000",0,"100,000","200,000","200,000","200,000",0,0
Mayor's Office of Community Services,o,o,o,o,0,0,0,0,0
Mayor's Office of Transportation,"482,014","110,340","144,445","(34,105)","500,000","480,000","480,000","20,000",0
Mural Arts Program,"973,182","587,702","603,754","(16,052)","1,000,000","960,000","960,000","40,000",0
Off. of Behavioral Hlth./Mental Retard. Svcs.,"14,238,870","13,043,031","8,235,739","4,807,292","14,271,572","14,271,572","14,271,572",0,0
Office of Housing and Comm. Developmt.,"2,800,000","1,714,500","1,714,500",0,"2,800,000","1,820,000","1,820,000","980,000",0
Office of Human Resources,"4,047,043","1,214,143","1,179,199","34,944","5,185,757","4,978,327","4,978,327","207,430",0
Office of Supportive Housing,"38,386,664","30,239,266","29,527,166","712,100","38,473,558","36,466,253","36,466,253","2,007,305",0
Parks and Recreation,"32,802,685","17,104,497","17,207,919","(103,422)","49,828,904","44,787,749","44,787,749",,
Police,"528,853,734","117,212,216","122,094,452","(4,882,236)","538,403,280","527,635,215","530,035,215","8,368,065","(2,400,000)"
