0,1,2,3,4,5,6,7,0.1,1.1
Art Museum Subsidy,"2,300,000","575,000","575,000",0,"2,300,000","2,300,000","2,300,000",0,0
Atwater Kent Museum,"265,694","95,700","95,700",0,"268,630","268,630","268,630",0,0
Auditing (City Controller's Office),"7,288,507","1,459,905","1,459,905",0,"7,449,931","7,449,931","7,449,931",0,0
Board of Building Standards,"57,935","12,248","12,248",0,"70,169","70,169","70,169",0,0
Board of Ethics,"682,572","141,026","141,026",0,"898,000","898,000","898,000",0,0
Board of L & Review,"124,443","24,572","24,572",0,"152,607","152,607","152,607",0,0
Board of Revision of Taxes,"539,709","97,537","97,537",0,"708,540","708,540","708,540",0,0
City Commissioners (Election Board),"8,535,361","1,498,942","1,498,942",0,"8,847,093","8,847,093","8,847,093",0,0
City Council,"13,758,182","2,892,777","2,892,777",0,"35,549,272","15,549,272","15,549,272","20,000,000",0
City Planning Commission,"2,209,210","518,860","518,860",0,"2,212,057","2,212,057","2,212,057",0,0
City Representative,"878,647","453,580","453,580",0,"889,611","889,611","889,611",0,0
City Treasurer,"825,035","266,112","266,112",0,"886,605","886,605","886,605",0,0
Civil Service Commission,"166,720","56,442","56,442",0,"166,903","166,903","166,903",0,0
Commerce,"2,067,253","540,338","540,338",0,"2,681,813","2,681,813","2,681,813",0,0
Commerce-Economic Stimulus,"1,294,448",0,0,0,"1,294,448","1,294,448","1,294,448",0,0
Community College Subsidy,"25,409,207","25,409,207","25,409,207",0,25409207,"25,409,207","25,409,207",0,0
Convention Center Subsidy,"15,000,000","15,000,000","15,000,000",0,"15,000,000","15,000,000","15,000,000",0,0
District Attorney,"30,632,240","6,816,333","6,816,333",0,"31,054,996","31,054,996","31,054,996",0,0
Finance,"15,168,873","7,642,918","7,642,918",0,"12,980,135","13,780,135","13,780,135",-800000,0
Finance - Contribution to the School District,"48,930,000",0,0,0,"48,990,000","68,990,000","68,990,000",-20000000,0
Finance Employee Benefits,"1,066,249,915","122,988,488","122,988,488",0,1118256727,"1,126,484,538","1,120,784,538",-2527811,"5,700,000"
Employee Disability,"54,291,538","17,847,359","17,847,359",0,"58,294,301","58,294,301","58,294,301",0,0
FICA,"67,180,975","17,112,819","17,112,819",0,64893903,"64,893,903","64,893,903",0,0
Flex Cash Payments,"666,203",0,0,0,"1,000,000","1,000,000","1,000,000",0,0
Group Legal,"3,871,727","952,498","952,498",0,4134000,"4,134,000","4,134,000",0,0
Group Life Insurance,"7,758,985","1,873,956","1,873,956",0,"7,750,000","7,750,000","7,750,000",0,0
Health / Medical,"379,419,925","80,066,878","80,066,878",0,"357,440,044","365,667,855","369,767,855","(12,327,811)","(4,100,000)"
Pension,"447,700,184","(7,841,215)","(7,841,215)",0,522007030,"522,007,030","512,207,030","9,800,000","9,800,000"
Pension Obligation Bonds,"100,103,959","11,823,002","11,823,002",0,"107,099,189","107,099,189","107,099,189",0,0
Tool Allowance,"91,825",0,0,0,125000,"125,000","125,000",0,0
Unemployment Compensation,"5,164,594","1,153,191","1,153,191",0,"5,580,260","5,580,260","5,580,260",0,0
Anticipated Workforce Savings (1),0,0,0,0,-10067000,"(10,067,000)","(10,067,000)",0,0
Finance PGW Rental Reimbursement,0,0,0,0,0,0,0,0,0
Fire,"195,049,508","42,170,221","42,170,221",0,189305204,"189,305,204","191,305,204","(2,000,000)","(2,000,000)"
First Judicial District,"116,949,256","26,690,191","26,690,191",0,101370322,"101,370,322","101,370,322",0,0
Common Pleas Court,"79,914,609","17,817,667","17,817,667",0,"67,718,281","67,718,281","67,718,281",0,0
Municipal Court,"8,494,504","1,996,006","1,996,006",0,7331577,"7,331,577","7,331,577",0,0
Office of the Exec. Administrator,"23,219,438","5,584,123","5,584,123",0,"21,382,250","21,382,250","21,382,250",0,0
Traffic Court,"5,320,705","1,292,395","1,292,395",0,4938214,"4,938,214","4,938,214",0,0
Fleet Management,"49,626,911","13,836,439","13,836,439",0,"44,909,814","44,909,814","49,909,814","(5,000,000)","(5,000,000)"
Fleet Management Vehicle Purchases,"6,288,709","4,521,359","4,521,359",0,10465000,"10,965,000","10,965,000","(500,000)",0
Free Library,"33,268,796","10,133,350","10,133,350",0,33682773,"33,682,773","33,682,773",0,0
Historical Commission,"358,585","80,640","80,640",0,387784,"387,784","387,784",0,0
Hero Award,"28,000","17,000","17,000",0,"25,000","25,000","25,000",0,0
Human Relations Commission,"1,829,869","349,450","349,450",0,1998475,"1,998,475","1,998,475",0,0
Human Services,"101,929,326","66,527,538","66,527,538",0,"111,037,535","102,809,724","102,809,724","8,227,811",0
Administration & Management,"4,844,392","1,559,130","1,559,130",0,"13,406,708","3,010,849","3,010,849","10,395,859",0
Performance Management & Accountability,"1,338,609","204,099","204,099",0,1142775,"466,463","466,463","676,312",0
Juvenile Justice Services,"34,173,527","27,384,025","27,384,025",0,25137387,"38,237,003","38,237,003","(13,099,616)",0
Children & Youth (Child Welfare),"47,226,493","37,380,284","37,380,284",0,"50,066,546","59,673,715","59,673,715","(9,607,169)",0
Community Based Prevention Services,"14,346,305",0,0,0,"21,284,119",0,0,"21,284,119",0
