0,1,2,3,4,5,6
Office of the Inspector General,"1,486,801","1,668,811","1,668,811","1,668,811",0,0
Office of Property Assessment,"12,570,273","13,285,146","13,285,146","13,285,146",0,0
Office of Supportive Housing,"45,178,263","45,544,382","45,721,917","45,721,917","(177,535)",0
Office of Sustainability,0,"835,327","835,327","835,327",0,0
Parks and Recreation,"56,719,070","57,874,883","58,205,968","58,205,968","(331,085)",0
Police,"632,692,801","643,009,937","650,380,424","650,380,424","(7,370,487)",0
Prisons,"246,159,162","253,791,576","254,413,576","254,413,576","(622,000)",0
Procurement,"4,857,830","4,837,672","5,837,672","5,837,672","(1,000,000)",0
Public Health,"113,479,766","116,292,446","122,031,824","122,031,824","(5,739,378)",0
Ambulatory Health Services,"49,471,071","48,304,448","48,304,448","48,304,448",0,0
"Early Childhood, Youth & Women's Health","1,760,954","558,082","558,082","558,082",0,0
Phila. Nursing Home,"36,384,405","39,006,773","44,746,151","44,746,151","(5,739,378)",0
Environmental Protection Services,"5,851,633","8,154,642","8,154,642","8,154,642",0,0
Administration and Support Svcs,"7,830,201","7,550,598","7,550,598","7,550,598",0,0
Medical Examiner's Office,"4,312,063","4,368,921","4,368,921","4,368,921",0,0
Infectious Disease Control,"5,702,133","5,948,214","5,948,214","5,948,214",0,0
Chronic Disease Control,"2,167,306","2,400,768","2,400,768","2,400,768",0,0
Public Property,"67,593,515","59,893,332","61,702,501","61,702,501","(1,809,169)",0
Public Property-SEPTA Subsidy,"70,415,000","74,215,000","74,215,000","74,215,000",0,0
Public Property-Space Rentals,"19,871,298","20,624,429","20,624,429","20,624,429",0,0
Public Property-Utilities,"31,355,461","33,092,334","33,092,334","33,092,334",0,0
Records,"4,495,535","4,822,825","4,822,825","4,822,825",0,0
Register of Wills,"3,608,407","3,522,195","3,772,195","3,772,195","(250,000)",0
Revenue,"23,022,718","25,771,489","26,179,489","26,179,489","(408,000)",0
Sheriff,"22,187,839","19,203,247","22,203,247","22,203,247","(3,000,000)",0
Sinking Fund Commission (Debt Service),"238,388,830","245,945,126","235,945,126","235,945,126","10,000,000",0
Streets-Sanitation,"107,128,376","92,288,259","93,702,331","93,702,331","(1,414,072)",0
Streets-Transportation,"37,463,661","33,118,461","38,867,886","38,867,886","(5,749,425)",0
Youth Commission,"72,413","142,740","142,740","142,740",0,0
TOTAL GENERAL FUND,"3,831,515,337","3,998,103,000","4,051,050,571","4,051,050,571","(52,947,571)",0
