0,1,2,3,4,5,6,7,8,9
Indemnities,"26,632,868","25,613,915","25,613,915",0,20113915,25613915,30613915,-10500000,-5000000
"Information Services, Mayor's Office of","13,654,014","30,652,598","30,554,642","97,956","28,942,018","30,652,598","30,652,598","(1,710,580)",0
Labor Relations,"547,044","549,350","549,350",0,"549,350","549,350","549,350",0,0
Law,"16,191,921","19,275,582","21,269,805","(1,994,223)","14,135,140","19,275,582","21,273,104","(7,137,964)","(1,997,522)"
Legal Services Icl. Defender Association,"35,403,767","36,725,660","36,725,660",0,"36,710,948","36,725,660","36,725,660","(14,712)",0
Licenses & Inspections,"20,426,549","19,635,668","19,538,872","96,796","19,728,668","19,635,668","19,635,668","93,000",0
Licenses & Inspections Demolitions,"8,049,417","10,000,000","9,841,674","158,326","10,000,000","10,000,000","10,000,000",0,0
Managing Director (MDO),"13,279,325","14,856,726","15,405,905","(549,179)","15,472,097","14,856,726","15,405,905","66,192","(549,179)"
Mayor,"5,059,120","5,651,767","5,529,189","122,578","4,951,280","5,651,767","5,651,767","(700,487)",0
Mayor Scholarships,"199,855","200,000","200,000",0,"200,000","200,000","200,000",0,0
Mayor's Office of Community Services,0,"2,738,000","2,738,000",,0,"2,738,000","2,738,000","(2,738,000)",0
Mural Arts Program,"723,787","826,876","826,876",0,"1,210,876","826,876","826,876","384,000",0
"Off, of Behavioral Hith./Mental Retard. Svcs.","14,351,805","14,261,952","14,150,752","111,200","14,261,952","14,261,952","14,261,952",0,0
Office of Housing and Comm. Developmt.,"6,317,287","5,200,000","5,200,000",0,"4,000,000","5,200,000","5,200,000","(1,200,000)",0
Office of Supportive Housing,"38,608,597","41,155,878","41,972,330","(816,452)","37,911,333","41,155,878","42,372,330","(4,460,997)","(1,216,452)"
Personnel,"4,792,508","4,876,627","4,876,627",0,"4,876,627","4,876,627","4,876,627",0,0
Police,"493,612,964","513,718,908","511,111,960","2,606,948","513,834,581","513,718,908","513,718,908","115,673",0
Prisons,"208,401,291","224,034,089","223,232,651","801,438","218,534,089","224,034,089","224,034,089","(5,500,000)",0
Procurement,"4,932,621","5,222,603","5,222,603",0,"5,275,357","5,222,603","5,222,603","52,754",0
Public Health,"112,764,487","118,693,884","116,277,672","2,416,212","116,461,273","118,693,884","118,693,884","(2,232,611)",0
Ambulatory Health Services,"45,221,229","46,272,534","46,093,758","178,776","44,621,737","46,272,534","46,272,534","(1,650,797)",o
"Early Childhood, Youth & Women's Health","2,746,002","3,783,521","2,720,875","1,062,646","2,723,000","3,783,521","3,783,521","(1,060,521)",o
Phila. Nursing Home,"36,289,006","40,977,838","40,453,553","524,285","40,966,138","40,977,838","40,977,838","(11,700)",0
Environmental Protection Services,"8,662,877","9,061,455","9,045,224","16,231","9,349,833","9,061,455","9,061,455","288,378",o
Administration and Support Svcs,"10,474,980","8,745,694","8,450,710","294,984","8,835,173","8,745,694","8,745,694","89,479",o
Medical Examiner's Office,"3,689,461","3,788,740","3,550,816","237,924","3,749,490","3,788,740","3,788,740","(39,250)",o
Infectious Disease Control,"5,680,932","6,064,102","5,962,736","101,366","6,215,902","6,064,102","6,064,102","151,800",o
Public Property,"64,817,098","59,287,969","37,238,839","22,049,130","54,918,158","59,287,969","59,287,969","(4,369,811)",0
Public Property - SEPTA Subsidy,"58,040,145","61,601,000","61,601,000",0,"61,601,000","61,601,000","61,601,000",0,0
Public Property - Space Rentals,"15,922,591","15,557,000","15,557,000",0,"15,386,457","15,557,000","15,557,000","(170,543)",0
Public Property . Telecommunications,"21,145,268","2,871,000","2,871,000",0,"2,900,000","2,871,000","2,871,000","29,000",0
Public Property Utilities,"32,070,658","32,165,100","32,165,100",0,"32,490,000","32,165,100","32,165,100","324,900",0
Records,"8,017,178","7,679,871","7,679,871",0,"7,757,445","7,679,871","7,679,871","77,574",0
Recreation,"35,594,137","39,662,009","39,171,545","490,464","38,759,545","39,662,009","39,171,545","(412,000)","490,464"
Refunds,"10,411","450,000","450,000",0,"500,000","450,000","450,000","50,000",0
Register of Wills,"3,443,391","3,776,976","3,776,976",0,"3,776,976","3,776,976","3,776,976",0,0
Revenue,"16,686,793","17,422,437","17,422,437",0,"17,598,421","17,422,437","17,422,437","175,984",0
