0,1,2,3,4,5,6,7,8,9
Managing Director-Base,"79,237,468","48,132,967","48,132,967",0,"132,637,002","133,137,002","136,735,002","(4,098,000)","(3,598,000)"
Managing Director-Citizens Police Oversight Commission,"825,616","498,030","498,030",0,"2,402,570","2,402,570","2,402,570",0,0
Managing Director-Legal Services,"52,404,449","55,856,541","55,856,541",0,"59,844,449","59,844,449","59,844,449",0,0
Mayor's Office,"6,333,266","3,499,731","3,499,731",0,"7,148,978","7,148,978","7,148,978",0,0
Mayor's Office-Scholarships,"200,000","76,000","76,000",0,"100,000","100,000","100,000",0,0
Mayor's Office-Comm. Empowerment & Opp.,"1,509,378","286,426","286,426",0,"1,895,000","1,895,000","1,895,000",0,0
Mural Arts Program,"2,469,930","221,552","221,552",0,"3,281,460","3,281,460","3,281,460",0,0
Office of Behavioral HIth & Intellectual disAbility,"22,325,035","18,619,707","18,619,707",0,"27,314,238","27,314,238","27,314,238",0,0
Office of the Chief Administrative Officer,"7,162,451","6,983,754","6,983,754",0,"14,877,756","15,591,068","15,591,068","(713,312)",0
Office of Children and Families,"377,938","257,378","257,378",0,"463,413","463,413","463,413",0,0
Office of Homeless Services,"55,280,961","50,912,804","50,912,804",0,"68,946,658","70,321,392","70,421,392","(1,474,734)","(100,000)"
Office of Human Resources,"6,131,614","3,261,010","3,261,010",0,"7,418,259","7,913,032","7,913,032","(494,773)",0
Office of Innovation and Technology-Base,"82,566,426","52,776,256","52,776,256",0,"91,632,802","91,702,802","92,677,802","(1,045,000)","(975,000)"
Office of Innovation and Technology-911,"16,992,063","14,737,573","14,737,573",0,"29,631,412","29,631,412","29,631,412",0,0
Office of the Inspector General,"1,515,056","816,377","816,377",0,"2,296,063","2,296,063","2,296,063",0,0
Office of Property Assessment,"14,953,046","7,708,712","7,708,712",0,"17,858,376","17,858,376","17,858,376",0,0
Office of Sustainability,"1,549,062","936,650","936,650",0,"1,664,001","1,664,001","2,166,001","(502,000)","(502,000)"
Parks and Recreation,"66,049,429","37,141,283","37,141,283",0,"73,136,403","73,136,403","74,986,403","(1,850,000)","(1,850,000)"
Planning & Development,"13,401,720","26,525,326","26,525,326",0,"30,213,137","35,505,537","36,759,537","(6,546,400)","(1,254,000)"
Police,"774,947,990","402,647,475","402,647,475",0,"788,044,264","789,547,923","799,733,123","(11,688,859)","(10,185,200)"
Prisons,"224,169,544","128,037,316","128,037,316",0,"246,110,502","272,531,066","272,531,066","(26,420,564)",0
Procurement,"5,003,058","2,419,871","2,419,871",0,"6,874,776","6,874,776","6,874,776",0,0
Public Health,"153,933,608","77,105,741","77,105,741",0,"161,209,808","161,209,808","161,209,808",0,0
Public Property,"75,404,863","45,306,130","45,306,130",0,"78,182,271","83,539,879","83,539,879","(5,357,608)",0
Public Property-SEPTA Subsidy,"91,214,000","50,349,500","50,349,500",0,"100,699,000","100,699,000","100,699,000",0,0
Public Property-Space Rentals,"27,430,707","33,754,695","33,754,695",0,"33,293,144","34,123,144","34,123,144","(830,000)",0
Public Property-Utilities,"24,767,455","32,894,460","32,894,460",0,"32,986,853","32,986,853","32,986,853",0,0
Records,"4,056,498","2,221,264","2,221,264",0,"4,277,078","4,277,078","4,277,078",0,0
Register of Wills,"4,519,129","2,251,324","2,251,324",0,"4,856,966","4,856,966","4,856,966",0,0
Revenue,"22,677,364","13,452,479","13,452,479",0,"27,808,577","27,808,577","27,808,577",0,0
Sheriff,"28,897,153","14,958,855","14,958,855",0,"30,853,801","30,853,801","30,853,801",0,0
Sinking Fund Commission (Debt Service),"284,467,595","194,358,549","194,358,549",0,"308,797,721","308,797,721","308,797,721",0,0
Streets-Disposal,"55,022,737","38,016,379","38,016,379",0,"55,389,886","55,389,886","55,389,886",0,0
Streets,"134,716,558","57,555,824","57,555,824",0,"162,449,826","161,849,826","161,849,826","600,000",0
TOTAL GENERAL FUND,"5,338,526,748","2,732,398,747","2,732,398,747",0,"5,842,480,000","6,020,378,251","6,033,561,864","(191,081,864)","(13,183,613)"
