0,1,2,3,4,0,1,2,3,4
Labor Relations,"543,077","221,168","203,072","18,096","553,453","553,453","553,453",0,0
Law,"14,391,775","8,368,769","8,756,854","(388,085)","12,822,255","12,822,255","13,090,255","(268,000)","(268,000)"
Licenses & Inspections,"21,473,909","12,742,781","12,402,084","340,697","22,588,074","22,588,074","25,588,074","(3,000,000)","(3,000,000)"
L&I-Board of Building Standards,"57,140","33,001","30,800","2,201","71,198","71,198","71,198",0,0
L&I-Board of L & I Review,"127,344","65,267","64,549",718,"162,034","162,034","162,034",0,0
L&IZZoning Board of Adjustment,"360,774","176,185","193,303","(17,118)","357,397","357,397","357,397",0,0
Managing Director's Office,"34,347,134","20,481,416","21,047,866","(566,450)","33,871,145","33,871,145","34,308,863","(437,718)","(437,718)"
Managing Director-Legal Services,"38,744,097","38,806,585","38,806,585",0,"40,146,067","40,146,067","40,596,067","(450,000)","(450,000)"
Mayor's Office,"3,728,856","2,789,371","2,724,167","65,204","5,191,881","5,191,881","5,191,881",0,0
Mayor's Office-Scholarships,"200,000","200,000","200,000",0,"200,000","200,000","200,000",0,0
Mayor's Office of Transportation & Utilities,"604,371","321,927","553,573","(231,647)","788,817","788,817","788,817",0,0
Mural Arts Program,"946,717","1,176,613","1,168,304","8,309","1,401,425","1,401,425","1,589,525","(188,100)","(188,100)"
Office of Arts and Culture,"2,596,034","687,729","687,729",0,"2,671,288","2,671,288","2,671,288",0,0
Off. of Behavioral Hith & Intellectual disAbility,"14,144,736","13,123,669","12,913,804","209,865","13,832,747","13,832,747","13,932,747","(100,000)","(100,000)"
Office of Housing and Comm. Development,"2,840,191","2,964,000","2,964,000",0,"3,020,000","3,020,000","3,020,000",0,0
Office of Human Resources,"5,241,637","2,701,647","2,717,759","(16,112)","5,886,218","5,886,218","5,886,218",o,0
Office of Innovation and Technology,"63,211,243","43,614,290","43,230,733","383,557","84,994,181","84,994,181","84,634,861","359,320","359,320"
Office of the Inspector General,"1,259,078","718,720","676,918","41,802","1,462,069","1,462,069","1,462,069",0,0
Office of Property Assessment,"11,565,024","5,668,036","5,260,633","407,403","13,326,276","13,326,276","13,326,276",0,0
Office of Supportive Housing,"42,101,436","37,317,895","37,673,730","(355,835)","43,616,630","43,616,630","45,052,630","(1,436,000)","(1,436,000)"
Parks and Recreation,"50,555,574","29,747,360","29,534,043","213,317","51,313,537","51,313,537","51,313,537",0,0
Police,"571,887,880","282,225,775","280,597,666","1,628,109","595,593,755","595,593,755","595,593,755",0,0
Prisons,"241,451,094","146,725,453","149,354,321","(2,628,868)","238,804,784","238,804,784","243,546,784","(4,742,000)","(4,742,000)"
Procurement,"4,562,719","1,872,144","1,742,263","129,881","4,643,115","4,643,115","4,643,115",0,0
Public Health,"108,985,533","80,889,965","80,626,169","263,796","114,482,597","114,482,597","114,482,597",0,0
Ambulatory Health Services,"46,340,550","28,340,966","29,349,428","(1,008,462)","46,873,949","46,873,949","46,873,949",o,0
"Early Childhood, Youth & Women's Health","1,258,467","718,057","657,714","60,343","1,821,512","1,821,512","1,821,512",o,o
Phila. Nursing Home,"37,466,736","37,473,604","37,127,050","346,554","40,380,077","40,380,077","40,380,077",o,o
Environmental Protection Services,"5,757,315","3,154,099","2,842,102","311,997","6,356,278","6,356,278","6,356,278",o,o
Administration and Support Svcs,"6,825,079","3,723,274","3,677,519","45,755","7,270,465","7,270,465","7,270,465",0,o
Medical Examiner's Office,"4,145,155","2,363,663","2,350,037","13,626","4,191,400","4,191,400","4,191,400",o,0
Infectious Disease Control,"5,411,592","3,848,949","3,425,370","423,579","5,556,105","5,556,105","5,556,105",0,o
Chronic Disease Control,"1,780,639","1,267,353","1,196,949","70,404","2,032,811","2,032,811","2,032,811",o,o
Public Property,"55,934,238","27,920,597","28,244,579","(323,982)","57,454,961","57,454,961","87,270,961","(29,816,000)","(29,816,000)"
Public Property-SEPTA Subsidy,"65,170,000","33,356,600","33,008,000","348,600","67,062,000","67,062,000","67,062,000",0,0
Public Property-Space Rentals,"18,157,661","19,074,779","18,971,980","102,799","19,074,780","19,074,780","19,074,780",0,0
Public Property-Utilities,"31,525,462","30,193,986","30,193,986",0,"30,313,424","30,313,424","30,313,424",0,0
Records,"3,932,868","2,173,344","2,200,017","(26,673)","4,026,317","4,026,317","4,546,317","(520,000)","(520,000)"
Register of Wills,"3,268,622","1,652,347","1,639,717","12,630","3,403,341","3,403,341","3,403,341",0,0
Revenue,"18,657,079","9,212,893","9,459,196","(246,303)","20,560,621","20,560,621","20,800,621","(240,000)","(240,000)"
Sheriff,"15,072,545","8,687,383","8,687,383",0,"14,669,842","15,478,245","17,178,245","(2,508,403)","(1,700,000)"
Sinking Fund Commission (Debt Service),"209,845,804","148,668,225","148,668,225",0,"226,258,358","226,258,358","222,758,358","3,500,000","3,500,000"
Streets-Sanitation,"84,231,027","63,212,579","63,498,582","(286,003)","85,303,423","85,303,423","85,303,423",0,0
Streets-Transportation,"24,946,496","16,885,512","14,333,468","2,552,044","30,257,266","30,257,266","31,757,266","(1,500,000)","(1,500,000)"
Youth Commission,"56,970","39,221","39,221",0,"140,080","140,080","140,080",0,0
TOTAL GENERAL FUND,"3,613,265,717","1,969,283,305","1,967,545,941","1,737,364","3,845,403,000","3,940,531,136","3,997,585,885","(152,182,885)","(57,054,749)"
