0,1,2,3,4,5,6,7,8,9
Art Museum Subsidy,"2,350,000","2,300,000","2,300,000",0,"2,300,000","2,300,000","2,300,000",0,0
Atwater Kent Museum,"267,101","96,226","96,226",0,"268,630","268,630","268,630",0,0
Auditing (City Controller's Office),"7,839,698","1,686,328","1,685,110","1,218","7,556,052","7,556,052","7,556,052",0,0
Board of Building Standards,"61,163","13,232","13,231",0,"71,601","71,601","71,601",0,0
Board of Ethics,"680,783","143,920","143,920",0,"810,000","810,000","810,000",0,0
Board of L & I Review,"135,740","26,849","26,846",3,"155,721","155,721","155,721",0,0
Board of Revision of Taxes,"1,879,866","114,957","114,957",0,"723,000","723,000","723,000",0,0
City Commissioners (Election Board),"8,804,511","1,370,535","1,370,535",0,"9,104,177","9,104,177","9,104,177",0,0
City Council,"13,772,226","3,762,243","3,120,503","641,740","15,049,272","15,049,272","15,049,272",0,0
City Planning Commission,"2,248,238","517,240","517,410",(170),"2,257,200","2,257,200","2,257,200",0,0
City Representative,"903,905","73,296","583,991","(510,695)","907,766","907,766","907,766",0,0
City Treasurer,"760,712","228,203","242,871","(14,668)","904,699","904,699","904,699",0,0
Civil Service Commission,"167,909","57,502","57,502",0,"170,309","170,309","170,309",0,0
Commerce,"1,950,658","475,647","475,647",0,"2,274,813","2,274,813","2,274,813",0,0
Commerce-Economic Stimulus,"1,372,143",0,0,0,"1,372,143","1,372,143","1,372,143",0,0
Community College Subsidy,"25,409,207","25,409,207","25,409,207",o,"25,409,207","25,409,207","25,409,207",0,0
Convention Center Subsidy,"15,000,000","15,000,000","15,000,000",0,"15,000,000","15,000,000","15,000,000",0,0
District Attorney,"30,503,120","6,875,601","6,977,247","(101,646)","31,054,996","31,054,996","31,054,996",0,0
Finance,"16,360,143","5,814,572","5,814,572",0,"12,703,760","12,703,760","12,703,760",0,0
Finance - Contribution to the School District,"38,600,000",0,o,0,"48,930,000","48,930,000","48,930,000",0,0
Finance Employee Benefits,"967,058,680","122,988,488","122,988,488",0,"1,022,702,609","1,022,702,609","1,022,702,609",0,0
Employee Disability,"55,122,313","17,847,359","17,847,359",o,"55,853,503","55,853,503","55,853,503",o,o
FICA,"64,599,482","17,112,819","17,112,819",o,"62,145,805","62,145,805","62,145,805",o,0
Flex Cash Payments,"742,077",o,o,o,"1,000,000","1,000,000","1,000,000",o,o
Group Legal,"4,050,926","952,498","952,498",o,"4,133,938","4,133,938","4,133,938",o,o
Group Life Insurance,"7,727,138","1,873,956","1,873,956",0,"7,690,367","7,690,367","7,690,367",0,o
Health/Medical,"343,612,891","80,066,878","80,066,878",0,"346,140,249","346,140,249","346,140,249",o,
Pension,"387,554,117","(7,841,215)","(7,841,215)",o,"452,250,487","452,250,487","452,250,487",0,o
Pension Obligation Bonds,"97,654,191","11,823,002","11,823,002",o,"102,075,000","102,075,000","102,075,000",0,o
Tool Allowance,"120,650",o,o,o,"100,000","100,000","100,000",o,o
Unemployment Compensation,"5,874,895","1,153,191","1,153,191",o,"3,180,260","3,180,260","3,180,260",o,o
Anticipated Workforce Savings (1),0,o,o,0,"(11,867,000)","(11,867,000)","(11,867,000)",o,o
Finance PGW Rental Reimbursement,"1,700,000",o,0,o,0,0,0,0,0
Fire,"193,766,312","42,472,051","42,972,042","(499,991)","190,031,950","190,031,950","192,031,950","(2,000,000)","(2,000,000)"
First Judicial District,"115,239,201","28,667,779","28,667,779",0,"110,817,323","110,817,323","110,817,323",0,0
Common Pleas Court,"75,832,442","19,635,683","19,635,683",o,"79,165,282","79,165,282","79,165,282",o,o
Municipal Court,"8,234,033","1,991,257","1,991,257",o,"7,331,577","7,331,577","7,331,577",0,
Office of the Exec. Administrator,"25,963,809","5,719,989","5,719,989",o,"19,382,250","19,382,250","19,382,250",o,o
Traffic Court,"5,208,917","1,320,850","1,320,850",o,"4,938,214","4,938,214","4,938,214",o,o
Fleet Management,"47,594,973","14,301,905","14,301,905",o,"45,151,989","45,151,989","45,151,989",o,0
Fleet Management Vehicle Purchases,"4,499,955","1,404,010","1,404,010",0,"8,500,000","8,500,000","8,500,000",0,
Free Library,"32,505,284","9,804,521","9,791,748","12,773","33,863,362","33,863,362","33,863,362",0,
Historical Commission,"377,336","89,924","90,616",(692),"387,784","387,784","387,784",0,
Hero Award,"35,000","25,000","28,000","(3,000)","25,000","25,000","25,000",0,
Human Relations Commission,"1,941,724","401,500","399,318","2,182","2,039,260","2,039,260","2,039,260",0,
Human Services,"542,877,321",0,0,0,111934770,109934770,109934770,"2,000,000",
Administration & Management,"13,568,582",o,o,o,"9,698,378","9,698,378","9,698,378",o,
Contract Admin. & Program Evaluation,"5,898,217",0,o,o,"647,756","647,756","647,756",0,0
Juvenile Justice Services,"135,598,652",o,o,0,"29,024,615","29,024,615","29,024,615",0,0
Children & Youth (Child Welfare),"309,909,159",o,o,o,"46,002,047","44,002,047","44,002,047","2,000,000",0
Community Based Prevention Services,"77,902,711",o,o,0,"26,561,974","26,561,974","26,561,974",o,o
