0,1,2,3,4,5,6,7,8,9
Indemnities,"33,617,728",0,o,0,"33,120,000","33,120,000","33,120,000",0,0
Law,"16,962,316","4,273,845","4,270,128","3,717","13,119,245","13,119,245","13,119,245",0,0
Legal Services icl. Defender Association,"36,616,187","37,566,187","37,566,187",0,"37,566,187","37,566,187","37,566,187",0,0
Licenses & Inspections,"18,098,275","3,929,118","3,929,120",(2),"21,780,905","21,780,905","21,780,905",0,0
Managing Director (MDO),"15,904,600","5,891,417","5,581,503","309,914","22,972,270","22,972,270","22,972,270",o,0
Mayor,"3,497,124","1,059,809","1,059,809",0,"3,786,915","3,786,915","3,786,915",0,0
Mayor Office of Arts and Culture,"2,549,976","2,450,960","2,450,960",0,"2,670,238","2,670,238","2,670,238",0,0
Mayor Office of the Inspector General,"1,171,003","291,563","291,593",(30),"1,281,451","1,281,451","1,281,451",0,0
Mayor Office of Labor Relations,"457,236","105,329","106,188",(859),"552,416","552,416","552,416",0,0
Mayor Scholarships,"197,600",0,0,0,"200,000","200,000","200,000",0,0
Mayor's Office of Community Services,0,0,0,0,0,0,0,o,0
Mayor's Office of Transportation,"419,184","117,600","173,450","(55,850)","480,000","480,000","480,000",0,0
Mural Arts Program,"960,757","590,535","599,667","(9,132)","1,060,000","1,060,000","1,060,000",0,0
Off. of Behavioral Hlth.& Intellectual Disability,"14,271,572","8,280,425","8,181,425","99,000","14,271,572","14,271,572","14,271,572",0,0
Office of Housing and Comm. Developmt.,"2,251,408","2,469,600","2,435,000","34,600","3,020,000","3,020,000","3,020,000",o,o
Office of Human Resources,"4,588,003","1,310,936","1,310,936",0,"5,228,327","5,228,327","5,228,327",0,0
Office of Innovation and Technology,"61,347,850","28,283,384","28,762,103","(478,719)","63,942,751","63,942,751","63,942,751",,
Office of Property Assessment,"5,730,108","1,660,458","1,660,458",0,"11,740,696","11,740,696","11,740,696",0,0
Office of Supportive Housing,"36,368,077","27,150,810","27,094,734","56,076","36,466,253","38,466,253","38,466,253","(2,000,000)",0
Parks and Recreation,"45,540,072","18,785,009","18,785,011",(2),"46,325,925","46,325,925","46,325,925",0,0
Police,"536,215,299","118,264,817","121,573,315","(3,308,498)","550,686,244","550,686,244","553,186,244","(2,500,000)","(2,500,000)"
Prisons,"231,163,979","119,090,613","118,999,536","91,077","227,172,870","227,172,870","230,172,870","(3,000,000)","(3,000,000)"
Procurement,"4,617,936","1,140,520","1,140,520",0,"4,151,574","4,151,574","4,151,574",0,0
Public Health,"108,848,360","68,470,418","67,760,096","710,322","110,426,170","110,426,170","110,426,170",0,0
Ambulatory Health Services,"44,002,312","20,958,537","22,029,423","(1,070,886)","44,747,526","44,747,526","44,747,526",o,o
"Early Childhood, Youth & Women's Health","1,383,881","424,224","470,466","(46,242)","1,629,322","1,629,322","1,629,322",o,0
Phila. Nursing Home,"37,716,005","39,407,742","37,530,702","1,877,040","40,377,775","40,377,775","40,377,775",o,o
Environmental Protection Services,"9,621,729","1,567,307","1,506,538","60,769","6,272,520","6,272,520","6,272,520",o,o
Administration and Support Svcs,"6,755,686","2,212,713","2,047,701","165,012","7,866,406","7,866,406","7,866,406",0,0
Medical Examiner's Office,"4,019,834","1,395,370","1,406,258","(10,888)","4,124,030","4,124,030","4,124,030",o,o
Infectious Disease Control,"5,348,913","2,504,525","2,769,008","(264,483)","5,408,591","5,408,591","5,408,591",o,0
Public Property,"54,595,326","23,741,343","23,741,201",142,"52,027,433","52,027,433","52,027,433",0,0
Public Property SEPTA Subsidy,"65,878,000","16,590,000","16,590,000",0,"66,360,000","66,360,000","66,360,000",0,o
Public Property Space Rentals,"15,211,472","17,282,171","17,282,170",1,"18,221,209","18,221,209","18,221,209",0,0
Public Property Utilities,"33,099,864","24,784,079","24,784,080",(1),"32,224,809","32,224,809","32,224,809",0,0
Records,"3,982,310","1,333,458","1,333,458",o,"4,009,212","4,009,212","4,009,212",0,0
Refunds,25,o,236,(236),"250,000","250,000","250,000",0,0
Register of Wills,"3,239,193","743,324","730,057","13,267","3,399,278","3,399,278","3,399,278",0,0
Revenue,"14,155,313","4,278,915","4,278,915",0,"19,899,715","19,899,715","19,899,715",0,0
Sheriff,"14,051,802","3,490,290","3,490,290",o,"13,088,657","13,088,657","15,088,657","(2,000,000)","(2,000,000)"
Sinking Fund (Debt Service),"197,918,470","89,002,778","89,002,778",o,"223,906,507","223,906,507","223,906,507",0,0
Streets,"33,779,435","7,508,803","7,508,803",0,"30,407,311","30,407,311","30,407,311",0,0
Engineering Design & Surveying,"4,777,947","1,095,452","1,095,452",o,"5,078,489","5,078,489","5,078,489",0,0
General Support,"2,915,173","744,473","744,473",o,"3,189,859","3,189,859","3,189,859",o,o
Highways,"20,130,929","3,356,660","3,356,660",o,"15,364,561","15,364,561","15,364,561",o,o
Street Lighting,"2,327,998","1,342,094","1,342,094",0,"3,327,329","3,327,329","3,327,329",o,o
Traffic Engineering,"3,627,388","970,124","970,124",o,"3,447,073","3,447,073","3,447,073",0,o
Streets Sanitation,"90,319,991","45,740,640","45,740,640",o,"90,945,823","90,945,823","90,945,823",o,o
Witness Fees,"131,755","24,845","24,845",0,"171,518","171,518","171,518",o,0
Youth Commission,"77,942","15,661","15,661",0,"96,000","96,000","96,000",0,0
Zoning Board of Adjustment,"329,950","77,318","77,316",2,"362,756","362,756","362,756",0,0
Zoning Code Commission,"464,923","124,013","124,014",(1),"225,000","225,000","225,000",0,0
TOTAL GENERAL FUND,"3,785,293,330","970,041,727","973,049,884","(3,008,157)","3,470,094,630","3,470,094,630",3479594630,-9500000,-9500000
