0,1,2,3,4,5,6,7,8,9
Managing Director-Base,"79,237,468","16,943,617","16,943,617",0,"132,637,002","132,637,002","133,137,002","(500,000)","(500,000)"
Managing Director-Citizens Police Oversight Commission,"825,616","229,670","229,670",0,"2,402,570","2,402,570","2,402,570",0,0
Managing Director-Legal Services,"52,404,449","54,396,100","54,396,100",0,"59,844,449","59,844,449","59,844,449",0,0
Mayor's Office,"6,333,266","1,563,115","1,563,115",0,"7,148,978","7,148,978","7,148,978",0,0
Mayor's Office-Scholarships,"200,000",0,0,0,"100,000","100,000","100,000",0,0
Mayor's Office-Comm. Empowerment & Opp.,"1,509,378",0,0,0,"1,895,000","1,895,000","1,895,000",0,0
Mural Arts Program,"2,469,930","93,786","93,786",0,"3,281,460","3,281,460","3,281,460",0,0
Office of Behavioral HIth & Intellectual disAbility,"22,325,035","11,236,467","11,236,467",0,"27,314,238","27,314,238","27,314,238",0,0
Office of the Chief Administrative Officer,"7,162,451","2,679,979","2,679,979",0,"14,877,756","14,877,756","15,591,068","(713,312)","(713,312)"
Office of Children and Families,"377,938","118,905","118,905",0,"463,413","463,413","463,413",0,0
Office of Homeless Services,"55,280,961","30,593,461","30,593,461",0,"68,946,658","68,946,658","70,321,392","(1,374,734)","(1,374,734)"
Office of Human Resources,"6,131,614","1,611,276","1,611,276",0,"7,418,259","7,418,259","7,913,032","(494,773)","(494,773)"
Office of Innovation and Technology-Base,"82,566,426","35,397,445","35,397,445",0,"91,632,802","91,632,802","91,702,802","(70,000)","(70,000)"
Office of Innovation and Technology-911,"16,992,063","10,994,153","10,994,153",0,"29,631,412","29,631,412","29,631,412",0,0
Office of the Inspector General,"1,515,056","390,197","390,197",0,"2,296,063","2,296,063","2,296,063",0,0
Office of Property Assessment,"14,953,046","3,802,426","3,802,426",0,"17,858,376","17,858,376","17,858,376",0,0
Office of Sustainability,"1,549,062","314,522","314,522",0,"1,664,001","1,664,001","1,664,001",0,0
Parks and Recreation,"66,049,429","22,748,204","22,748,204",0,"73,136,403","73,136,403","73,136,403",0,0
Planning & Development,"13,401,720","4,081,525","4,081,525",0,"30,213,137","30,213,137","35,505,537","(5,292,400)","(5,292,400)"
Police,"774,947,990","177,717,216","177,717,216",0,"788,044,264","788,044,264","789,547,923","(1,503,659)","(1,503,659)"
Prisons,"224,169,544","89,945,956","89,945,956",0,"246,110,502","246,110,502","272,531,066","(26,420,564)","(26,420,564)"
Procurement,"5,003,058","646,729","646,729",0,"6,874,776","6,874,776","6,874,776",0,0
Public Health,"153,933,608","46,253,236","46,253,236",0,"161,209,808","161,209,808","161,209,808",0,0
Public Property,"75,459,823","35,935,956","35,935,956",0,"78,182,271","78,182,271","83,539,879","(5,357,608)","(5,357,608)"
Public Property-SEPTA Subsidy,"91,214,000","25,174,750","25,174,750",0,"100,699,000","100,699,000","100,699,000",0,0
Public Property-Space Rentals,"27,430,707","33,099,515","33,099,515",0,"33,293,144","33,293,144","34,123,144","(830,000)","(830,000)"
Public Property-Utilities,"24,712,495","32,890,921","32,890,921",0,"32,986,853","32,986,853","32,986,853",0,0
Records,"4,056,498","1,263,734","1,263,734",0,"4,277,078","4,277,078","4,277,078",0,0
Register of Wills,"4,519,129","1,067,833","1,067,833",0,"4,856,966","4,856,966","4,856,966",0,0
Revenue,"22,677,364","6,901,050","6,901,050",0,"27,808,577","27,808,577","27,808,577",0,0
Sheriff,"28,897,153","6,467,535","6,467,535",0,"30,853,801","30,853,801","30,853,801",0,0
Sinking Fund Commission (Debt Service),"284,467,595","163,251,597","163,251,597",0,"308,797,721","308,797,721","308,797,721",0,0
Streets-Disposal,"55,022,737","17,620,950","17,620,950",0,"55,389,886","55,389,886","55,389,886",0,0
Streets,"134,716,558","33,560,798","33,560,798",0,"162,449,826","162,449,826","161,849,826","600,000","600,000"
TOTAL GENERAL FUND,"5,338,526,748","1,587,832,464","1,587,832,464",0,"5,842,480,000","5,842,480,000","6,020,378,251","(177,898,251)","(177,898,251)"
